version,1,reserved,reserved,reserved,reserved,reserved
Time Vortex,2CQ0CQRR,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/06/19,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Butterburger,11,PLQLJ8QU,,11,
3,jeff,11,GV9VUPCC,,11,
4,Nordar,11,90G8OUYU,,11,
5,DarthCarlos10,10,8YVP9R8V,,10,
6,Chief Joshy,10,VPPJUCV,,10,
7,Sno,10,GQV9G9VV,,10,
8,Nordar 2,10,Q2R202V2,,10,
9,Darth Carlos,10,VJG8CCUG,,10,
10,Eleazar,9,C8GRJVL0,1,9,
11,Czech1Czech2,9,22CP2Y828,1,9,
12,Amagnus,9,JVQ8JPQV,1,9,
13,RedACE,9,GRJLGCUQ,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,Andy,9,YQJYYJR8,1,9,
16,UTiger13,9,2OVQLGRUJ,1,9,
17,Ohio-Legend-216,9,29QLGYC9Q,1,9,
18,Corey,9,GLJRRGV9,1,9,
19,Jippieh Yeah,9,YCYV88UV,1,9,
20,Soulsek,9,2LRQGVR09,1,9,
21,AV7,9,RGPR9YJ9,1,9,
22,Dada 1974,9,GQ0JCQJQ,,9,
23,Aleister Crowle,9,Q9922RUU,,9,
24,Frog,9,2JVLYQQP,,9,
25,ttc15708,9,YYY20JP2,,9,
26,SlimShady,9,VQPRP0V0,,9,
27,Captain America,9,G9YRJ09,,9,
28,Joe,9,LG9GQQJ8,,10,
29,Poz,9,PPRYLOUY,,9,
30,beteljuice,9,29OV2LQRR,,9,
1,,,25,25,2,96
2,,,22,22,1,89
3,,,23,22,3,100
4,2,88,18,15,,
5,,,28,29,3,100
6,,,18,15,0,40
7,3,100,7,8,,
8,,,16,12,0,49
9,,,27,27,1,63
10,,,27,25,1,52
11,2,62,15,20,,
12,,,2,2,2,72
13,,,11,10,1,66
14,,,27,29,2,82
15,3,100,27,21,,
16,,,1,1,2,88
17,3,100,16,17,,
18,,,5,1,3,100
19,,,22,24,3,100
20,,,30,30,2,66
21,,,17,13,2,65
22,,,6,2,3,100
23,3,100,13,13,,
24,,,7,7,2,70
25,,,29,30,3,100
26,,,20,21,2,73
27,3,100,15,16,,
28,2,90,13,12,,
29,,,19,24,2,87
30,,,4,4,2,52
31,0,49,29,25,,
32,2,81,17,10,,
33,2,57,3,3,,
34,3,100,29,30,,
35,,,10,8,3,100
36,3,100,21,18,,
37,3,100,30,25,,
38,,,24,20,2,68
39,,,12,9,3,100
40,,,11,8,3,100
41,,,14,9,3,100
42,3,100,17,14,,
43,0,48,30,22,,
44,,,18,14,3,100
45,,,16,14,2,69
46,3,100,21,19,,
47,,,21,19,1,52
48,3,100,26,23,,
49,2,94,22,22,,
50,,,30,23,0,39
51,2,94,19,20,,
52,,,30,27,2,59
53,,,26,26,2,68
54,,,9,5,3,100
55,,,27,23,2,66
56,,,19,17,3,100
57,,,27,26,1,43
58,,,27,17,0,0
59,3,100,27,24,,
60,3,100,14,12,,
61,,,13,11,1,48
62,3,100,24,22,,
63,0,14,23,26,,
64,2,85,16,11,,
65,3,100,22,26,,
66,3,100,24,28,,
67,,,21,18,3,100
68,3,100,10,11,,
69,2,83,23,27,,
70,3,100,26,29,,
71,3,100,19,27,,
72,,,15,16,3,100
73,,,3,3,2,79
74,2,91,18,20,,
75,,,26,12,2,55
76,3,100,9,9,,
77,,,30,21,2,75
78,,,16,7,0,48
79,3,100,11,10,,
80,1,86,12,15,,
81,1,59,14,15,,
82,2,59,5,5,,
83,,,16,10,2,90
84,,,17,28,3,100
85,2,79,25,20,,
86,,,16,28,3,100
87,2,95,20,20,,
88,,,26,15,1,54
89,0,30,20,6,,
90,2,91,5,7,,
91,2,87,4,2,,
92,,,7,3,2,96
93,,,25,16,3,100
94,,,27,20,3,100
95,1,95,11,15,,
96,0,30,28,1,,
97,2,65,2,4,,
98,3,100,12,20,,
99,1,40,8,6,,
100,2,83,10,15,,
101,1,40,25,15,,
102,3,100,9,15,,
103,,,13,6,2,89
104,,,20,6,2,99
105,0,0,28,30,,
106,,,8,4,3,100
107,2,59,6,6,,
108,3,100,2,6,,
109,,,24,11,3,100
110,2,73,3,5,,
111,1,50,6,1,,
112,,,20,7,2,99
113,1,54,8,1,,
114,,,20,13,2,99
115,3,100,1,5,,
116,,,13,5,3,100
117,3,100,1,7,,
118,1,69,4,1,,
