version,1,reserved,reserved,reserved,reserved,reserved
Koca Kurtlar,82028G9R,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/06/22,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ButterBurger,11,PLQLJ8QU,,11,
3,Nordar,11,90G8OUYU,,11,
4,DarthCarlos10,10,8YVP9R8V,,11,
5,Chief Joshy,10,VPPJUCV,,10,
6,Sno,10,GQV9G9VV,,10,
7,Atlas,10,RJ9PJ9CC,,10,
8,Aboy,10,VQ9PUJV2,,10,
9,Nordar 2,10,Q2R202V2,,10,
10,Darth Carlos,10,VJG8CCUG,1,9,
11,Eleazar,9,C8GRJVL0,1,9,
12,Czech1Czech2,9,22CP2Y828,1,9,
13,Amagnus,9,JVQ8JPQV,1,9,
14,RedACE,9,GRJLGCUQ,1,9,
15,H,9,U8YJLOL9,1,9,
16,Whooboy,9,22UOVV2JJ,1,9,
17,Batman,9,2QU9CC8,1,9,
18,Mord,9,22JGQUCJQ,1,9,
19,Andy,9,YQJYYJR8,1,9,
20,Ohio-Legend-216,9,29QLGYC9Q,1,9,
21,Corey,9,GLJRRGV9,1,9,
22,Lacey Clan,9,R08YP9Q8,1,9,
23,Soulsek,9,2LRQGVR09,1,9,
24,Av7,9,RGPR9YJ9,,9,
25,Dada 1974,9,GQ0JCQJQ,,9,
26,Aleister Crowle,9,Q9922RUU,,9,
27,Frog,9,2JVLYQQP,,9,
28,SlimShady,9,VQPRP0V0,,9,
29,Joe,9,LG9GQQJ8,,8,
30,beteljuice,9,29OV2LQRR,,7,
1,,,23,23,2,72
2,,,14,14,1,78
3,,,7,7,2,52
4,,,18,18,2,97
5,,,19,19,2,66
6,3,100,17,21,,
7,,,15,15,1,49
8,,,26,26,2,64
9,2,77,24,22,,
10,2,94,24,19,,
11,3,100,19,16,,
12,,,1,1,0,44
13,1,74,18,14,,
14,,,14,12,2,69
15,,,6,3,2,70
16,,,13,13,2,72
17,3,100,28,23,,
18,2,99,27,17,,
19,,,27,14,1,42
20,3,100,28,20,,
21,,,8,8,2,84
22,,,10,21,2,66
23,2,76,27,18,,
24,2,56,1,1,,
25,,,9,4,2,78
26,2,99,2,4,,
27,3,100,29,29,,
28,2,99,30,28,,
29,,,2,1,2,72
30,1,80,22,27,,
31,3,100,1,2,,
32,3,100,25,25,,
33,3,100,15,27,,
34,2,75,30,26,,
35,3,100,25,28,,
36,,,12,21,2,53
37,1,66,12,14,,
38,3,100,21,11,,
39,3,100,23,26,,
40,2,79,2,3,,
41,2,85,14,14,,
42,2,93,12,12,,
43,2,83,19,10,,
44,1,72,20,13,,
45,2,97,4,7,,
46,3,100,14,15,,
47,3,100,20,17,,
48,,,17,17,1,47
49,,,11,10,3,100
50,,,30,28,2,67
51,,,10,6,2,69
52,,,30,22,2,75
53,,,30,23,2,92
54,,,13,9,3,100
55,1,54,17,18,,
56,,,27,22,2,58
57,,,28,24,3,100
58,,,25,19,2,75
59,3,100,26,24,,
60,,,5,4,1,50
61,2,85,26,10,,
62,,,30,17,0,46
63,3,100,29,30,,
64,,,24,20,2,60
65,2,78,22,22,,
66,,,1,5,1,48
67,2,86,7,5,,
68,2,85,15,19,,
69,,,26,16,2,89
70,,,21,12,1,49
71,,,16,10,2,78
72,2,52,7,8,,
73,,,15,7,3,100
74,,,21,15,2,93
75,3,100,16,10,,
76,,,29,25,1,45
77,3,100,10,12,,
78,,,20,11,2,85
79,2,79,9,6,,
80,2,82,13,19,,
81,,,4,5,2,60
82,2,60,5,9,,
83,3,100,16,14,,
84,,,16,8,3,100
85,2,93,3,1,,
86,2,66,6,8,,
87,3,100,23,19,,
88,2,82,21,13,,
89,2,54,4,1,,
90,2,94,11,13,,
91,,,3,2,1,40
92,3,100,3,5,,
93,1,52,5,8,,
94,3,100,10,13,,
95,3,100,13,18,,
96,2,54,6,9,,
97,,,17,18,1,72
98,1,56,9,9,,
99,,,17,11,2,93
100,3,100,11,22,,
101,,,12,6,3,100
102,,,5,2,2,68
103,,,9,16,1,41
104,,,1,3,1,50
