version,1,reserved,reserved,reserved,reserved,reserved
dunamis,8P2UYL9J,,JTJ,2R9RCV9V,,S4
25,,,,,,
2016/06/24,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Butterburger,11,PLQLJ8QU,,10,
3,Space12345,10,8002Y989,,10,
4,Chief Joshy,10,VPPJUCV,,10,
5,Sno,10,GQV9G9VV,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Darth Carlos,10,VJG8CCUG,,10,
8,Czech1Czech2,9,22CP2Y828,,10,
9,Amagnus,9,JVQ8JPQV,,10,
10,RedACE,9,GRJLGCUQ,,10,
11,H,9,U8YJLOL9,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Batman,9,2QU9CC8,1,9,
14,Mord,9,22JGQUCJQ,1,9,
15,Nato,9,2PQ9OVQOV,1,9,
16,Corey,9,GLJRRGV9,1,9,
17,Lacey Clan,9,R08YP9Q8,1,9,
18,Soulsek,9,2LRQGVR09,1,9,
19,Av7,9,RGPR9YJ9,1,9,
20,Aleister Crowle,9,Q9922RUU,,9,
21,Frog,9,2JVLYQQP,,9,
22,SlimShady,9,VQPRP0V0,,9,
23,Joe,9,LG9GQQJ8,,8,
24,Double G,9,JY8R9G9U,,7,
25,beteljuice,9,29OV2LQRR,,6,
1,,,19,17,1,75
2,,,21,19,3,100
3,,,20,16,1,81
4,1,75,1,1,,
5,3,100,23,23,,
6,2,86,21,16,,
7,,,1,1,0,37
8,2,74,10,13,,
9,0,35,21,19,,
10,1,77,24,20,,
11,2,99,15,16,,
12,3,100,11,20,,
13,2,85,2,3,,
14,1,72,18,14,,
15,1,68,16,11,,
16,3,100,19,18,,
17,3,100,10,11,,
18,3,100,23,21,,
19,,,18,13,2,60
20,2,66,18,15,,
21,3,100,13,12,,
22,2,87,19,17,,
23,3,100,25,22,,
24,,,12,10,3,100
25,,,20,18,2,90
26,,,19,15,2,77
27,2,86,22,14,,
28,,,24,21,3,100
29,3,100,17,24,,
30,3,100,1,2,,
31,,,7,6,2,78
32,3,100,22,17,,
33,,,6,7,2,55
34,2,75,16,19,,
35,,,23,21,2,97
36,,,8,5,2,97
37,3,100,2,4,,
38,,,25,23,2,72
39,3,100,17,25,,
40,,,22,15,3,100
41,2,95,6,5,,
42,,,23,14,2,77
43,,,25,22,2,78
44,3,100,12,16,,
45,,,5,3,2,60
46,3,100,20,15,,
47,3,100,15,14,,
48,,,11,9,2,90
49,,,10,8,3,100
50,2,95,14,13,,
51,,,17,12,2,83
52,2,74,6,6,,
53,3,100,9,13,,
54,,,9,10,3,100
55,3,100,20,19,,
56,,,14,9,2,99
57,,,25,18,2,52
58,,,23,22,1,69
59,,,23,23,1,29
60,1,64,9,9,,
61,,,16,11,2,69
62,,,20,14,2,64
63,,,15,12,2,99
64,0,42,11,8,,
65,,,4,4,0,41
66,,,1,2,1,50
67,2,59,5,1,,
68,2,90,7,9,,
69,,,4,3,1,42
70,,,2,1,0,45
71,2,83,24,19,,
72,2,77,7,8,,
73,2,77,4,7,,
74,,,13,11,2,85
75,3,100,3,7,,
76,2,62,8,10,,
77,3,100,12,12,,
78,,,20,13,2,82
79,3,100,14,14,,
80,1,93,3,10,,
81,1,43,13,10,,
82,,,19,6,2,93
83,,,7,5,2,74
84,,,25,16,3,100
85,3,100,5,8,,
86,,,3,4,1,40
87,2,74,4,5,,
88,,,11,17,2,90
89,,,2,2,0,33
90,2,79,8,13,,
91,,,3,7,1,47
