version,1,reserved,reserved,reserved,reserved,reserved
One31,82GYJ0YJ,,JTJ,2R9RCV9V,,S4
25,,,,,,
2016/06/26,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Butterburger,11,PLQLJ8QU,,11,
3,Space12345,10,8002Y989,,11,
4,Chief Joshy,10,VPPJUCV,,10,
5,Sno,10,GQV9G9VV,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,DarthCarlos10,10,8YVP9R8V,,10,
8,Czech1Czech2,9,22CP2Y828,1,9,
9,Amagnus,9,JVQ8JPQV,1,9,
10,RedACE,9,GRJLGCUQ,1,9,
11,H,9,U8YJLOL9,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Batman,9,2QU9CC8,1,9,
14,nato,9,2PQ9OVQOV,1,9,
15,Corey,9,GLJRRGV9,1,9,
16,Jippieh Yeah,9,YCYV88UV,1,9,
17,Soulsek,9,2LRQGVR09,1,9,
18,Aleister Crowle,9,Q9922RUU,1,9,
19,Frog,9,2JVLYQQP,1,9,
20,SlimShady,9,VQPRP0V0,,9,
21,WanG,9,LUYO999R,,9,
22,Double G,9,JY8R9G9U,,9,
23,Poz,9,PPRYLOUY,,8,
24,beteljuice,9,29OV2LQRR,,8,
25,Albino,9,2P8G0LPP8,,8,
1,,,22,20,3,100
2,3,100,18,13,,
3,3,100,14,16,,
4,,,3,23,0,9
5,,,25,22,2,75
6,,,3,2,3,100
7,,,7,5,3,100
8,,,4,23,0,21
9,,,24,22,2,72
10,3,100,22,21,,
11,,,1,24,0,30
12,2,78,15,12,,
13,3,100,22,25,,
14,3,100,19,17,,
15,3,100,17,18,,
16,,,2,24,0,32
17,2,99,17,15,,
18,,,11,14,2,94
19,,,14,14,2,94
20,2,99,19,11,,
21,,,14,8,3,100
22,2,75,11,14,,
23,,,5,25,0,20
24,,,10,8,1,77
25,,,12,10,3,100
26,,,4,4,2,77
27,,,5,5,2,71
28,3,100,24,22,,
29,,,9,1,1,53
30,,,2,2,2,86
31,,,8,11,2,97
32,2,75,21,10,,
33,3,100,25,23,,
34,2,79,24,20,,
35,3,100,25,24,,
36,2,77,18,9,,
37,3,100,13,8,,
38,2,74,20,20,,
39,0,48,11,19,,
40,,,17,18,3,100
41,,,18,18,3,100
42,1,61,12,10,,
43,,,23,20,3,100
44,,,16,16,1,74
45,,,6,25,0,15
46,,,13,9,3,100
47,3,100,12,11,,
48,,,6,3,3,100
49,2,63,16,19,,
50,3,100,5,7,,
51,2,98,15,15,,
52,3,100,14,14,,
53,2,90,7,6,,
54,,,20,17,3,100
55,2,72,6,4,,
56,,,15,9,3,100
57,1,75,20,10,,
58,1,52,23,20,,
59,,,1,1,2,87
60,,,19,17,2,94
61,,,16,10,2,77
62,2,84,10,12,,
63,3,100,5,6,,
64,,,21,15,2,89
65,2,92,23,19,,
66,,,24,19,2,56
67,,,19,12,1,86
68,1,70,13,12,,
69,2,58,4,5,,
70,2,68,2,3,,
71,1,47,1,2,,
72,3,100,9,12,,
73,3,100,21,20,,
74,,,11,13,2,72
75,,,24,16,3,100
76,3,100,8,10,,
77,,,5,3,2,96
78,,,16,12,1,65
79,,,9,7,3,100
80,,,10,7,3,100
81,,,19,15,2,84
82,3,100,16,15,,
83,,,21,21,2,65
84,,,21,6,3,100
85,,,25,19,3,100
86,3,100,10,19,,
87,,,19,13,3,100
88,1,87,9,9,,
89,1,64,7,9,,
90,,,16,6,3,100
91,0,37,3,2,,
92,2,97,4,7,,
93,,,11,4,3,100
94,1,39,8,1,,
95,3,100,6,9,,
96,1,82,1,1,,
97,1,77,3,4,,
98,1,54,2,2,,
99,,,5,1,3,100
100,,,8,21,2,79
