version,1,reserved,reserved,reserved,reserved,reserved
Above and Beyod QQ,2RC9YQCL,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/06/29,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ButterBurger,11,PLQLJ8QU,,11,
3,Nordar,11,90G8OUYU,,11,
4,Space12345,10,8002Y989,,10,
5,Atlas,10,RJ9PJ9CC,,10,
6,Aboy,10,VQ9PUJV2,,10,
7,Nordar 2,10,Q2R202V2,1,9,
8,Darth Carlos,10,VJG8CCUG,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Amagnus,9,JVQ8JPQV,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,H,9,U8YJLOL9,1,9,
13,Whooboy,9,22UOVV2JJ,1,9,
14,Andy,9,YQJYYJR8,1,9,
15,UTiger13,9,2OVQLGRUJ,1,9,
16,nato,9,2PQ9OVQOV,1,9,
17,Ohio-Legend-216,9,29QLGYC9Q,1,9,
18,corey,9,GLJRRGV9,1,9,
19,Jippieh Yeah,9,YCYV88UV,1,9,
20,Soulsek,9,2LRQGVR09,1,9,
21,Dada 1974,9,GQ0JCQJQ,1,9,
22,Av7,9,RGPR9YJ9,1,9,
23,Frog,9,2JVLYQQP,1,9,
24,Tum,9,8GRVPUQV,1,9,
25,Captain America,9,G9YRJ09,1,9,
26,WanG,9,LUYO999R,1,9,
27,Double G,9,JY8R9G9U,1,9,
28,Poz,9,PPRYLOUY,1,9,
29,Stump,9,JGY0PJ2U,,9,
30,beteljuice,9,29OV2LQRR,,9,
1,,,27,24,3,100
2,2,99,23,16,,
3,2,91,22,15,,
4,,,22,24,3,100
5,1,54,24,24,,
6,,,25,23,2,87
7,,,19,26,2,58
8,,,28,28,3,100
9,,,26,28,3,100
10,,,16,14,2,99
11,,,24,21,2,78
12,3,100,16,24,,
13,1,58,29,29,,
14,3,100,3,2,,
15,,,15,10,2,87
16,,,10,7,2,81
17,,,17,15,3,100
18,,,18,18,1,81
19,,,21,25,2,75
20,2,73,9,8,,
21,2,78,28,27,,
22,,,29,27,3,100
23,2,86,21,21,,
24,3,100,27,26,,
25,3,100,30,22,,
26,,,16,15,3,100
27,2,92,7,6,,
28,3,100,23,9,,
29,2,95,30,25,,
30,2,91,28,28,,
31,,,18,16,2,97
32,2,68,3,1,,
33,2,68,25,12,,
34,2,79,21,23,,
35,2,78,16,21,,
36,,,23,17,3,100
37,3,100,14,29,,
38,,,30,20,3,100
39,3,100,12,21,,
40,2,86,17,13,,
41,0,42,25,17,,
42,1,53,29,30,,
43,,,24,25,2,67
44,,,7,5,2,99
45,,,25,20,2,88
46,3,100,11,15,,
47,2,87,20,20,,
48,1,73,9,10,,
49,2,95,26,11,,
50,3,100,27,7,,
51,,,20,22,3,100
52,,,18,19,3,100
53,,,6,5,3,100
54,3,100,11,13,,
55,2,88,22,14,,
56,,,5,4,2,58
57,1,61,20,19,,
58,3,100,12,20,,
59,,,24,27,2,86
60,,,25,30,3,100
61,,,19,19,2,79
62,,,21,21,2,98
63,,,11,9,2,72
64,,,13,12,2,83
65,3,100,17,19,,
66,,,21,30,0,41
67,3,100,26,18,,
68,,,24,22,3,100
69,,,14,10,2,82
70,,,21,23,2,57
71,,,12,8,3,100
72,,,4,2,3,100
73,2,60,1,3,,
74,,,10,8,3,100
75,2,87,15,17,,
76,3,100,2,4,,
77,,,1,1,2,57
78,,,15,13,1,97
79,,,3,18,0,48
80,,,21,26,2,79
81,2,68,14,30,,
82,,,21,29,2,87
83,2,83,15,25,,
84,3,100,13,25,,
85,,,13,7,2,75
86,,,2,2,2,92
87,3,100,10,23,,
88,,,15,14,2,74
89,2,62,18,30,,
90,3,100,19,27,,
91,,,19,29,3,100
92,2,87,18,28,,
93,,,13,6,2,95
94,3,100,13,30,,
95,3,100,7,10,,
96,3,100,8,11,,
97,,,21,17,2,90
98,,,9,13,1,57
99,3,100,19,28,,
100,3,100,6,8,,
101,,,9,6,3,100
102,,,8,4,3,100
103,,,13,9,3,100
104,3,100,6,12,,
105,3,100,8,17,,
106,,,21,12,2,57
107,,,21,11,3,100
108,2,64,10,16,,
109,,,3,1,1,44
110,,,3,3,1,48
111,3,100,5,16,,
112,3,100,2,5,,
113,3,100,4,6,,
114,3,100,5,14,,
115,1,50,4,5,,
116,,,14,11,3,100
117,2,85,1,1,,
118,,,15,16,2,98
