version,1,reserved,reserved,reserved,reserved,reserved
Noble Hero,8G28UGQ2,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/07/01,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Butterburger,11,PLQLJ8QU,,11,
3,Nordar,11,90G8OUYU,,11,
4,DarthCarlos10,10,8YVP9R8V,,10,
5,Space12345,10,8002Y989,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Aboy,10,VQ9PUJV2,,10,
8,Darth Carlos,10,VJG8CCUG,,10,
9,Amagnus,9,JVQ8JPQV,,10,
10,RedACE,9,GRJLGCUQ,1,9,
11,H,9,U8YJLOL9,1,9,
12,Whooboy,9,22UOVV2JJ,,10,
13,Mord,9,22JGQUCJQ,1,9,
14,Andy,9,YQJYYJR8,1,9,
15,UTiger13,9,2OVQLGRUJ,1,9,
16,Ohio-Legend-216,9,29QLGYC9Q,1,9,
17,Jippieh Yeah,9,YCYV88UV,1,9,
18,Soulsek,9,2LRQGVR09,,9,
19,Dada 1974,9,GQ0JCQJQ,,9,
20,Av7,9,RGPR9YJ9,,9,
21,Jitsuka,9,J80090GV,,9,
22,Aleister Crowle,9,Q9922RUU,,9,
23,Frog,9,2JVLYQQP,,9,
24,SlimShady,9,VQPRP0V0,,9,
25,Captain America,9,G9YRJ09,,9,
26,WanG,9,LUYO999R,,9,
27,Joe,9,LG9GQQJ8,,9,
28,Double G,9,JY8R9G9U,,9,
29,Poz,9,PPRYLOUY,,9,
30,rohit,9,2QG0G9JYR,,8,
1,2,92,11,12,,
2,,,30,27,3,100
3,2,72,18,17,,
4,,,11,11,2,90
5,,,6,7,0,41
6,2,64,12,12,,
7,3,100,27,28,,
8,,,21,17,2,81
9,,,7,7,2,66
10,,,28,28,1,66
11,,,9,11,3,100
12,,,29,28,2,68
13,2,73,13,12,,
14,3,100,15,13,,
15,,,15,12,2,73
16,,,24,22,3,100
17,,,22,19,2,79
18,3,100,19,14,,
19,,,17,15,2,94
20,3,100,27,19,,
21,,,20,16,3,100
22,,,5,4,1,68
23,2,87,15,11,,
24,2,77,14,25,,
25,,,19,20,1,72
26,,,8,4,3,100
27,3,100,28,25,,
28,,,26,26,1,65
29,,,12,9,3,100
30,3,100,29,26,,
31,3,100,16,10,,
32,2,86,14,24,,
33,,,28,27,3,100
34,,,10,29,2,72
35,3,100,30,30,,
36,,,29,25,3,100
37,2,82,21,23,,
38,3,100,25,18,,
39,,,27,23,1,56
40,3,100,30,27,,
41,2,89,18,16,,
42,3,100,26,20,,
43,3,100,25,21,,
44,3,100,26,24,,
45,2,89,22,17,,
46,3,100,20,23,,
47,2,67,11,15,,
48,,,13,29,2,81
49,3,100,24,22,,
50,1,51,19,8,,
51,3,100,23,29,,
52,2,87,22,8,,
53,,,19,16,2,97
54,2,90,23,17,,
55,,,23,22,1,51
56,,,25,24,1,38
57,2,95,12,11,,
58,2,97,17,17,,
59,,,11,9,3,100
60,,,19,15,1,70
61,,,4,1,1,53
62,2,61,6,7,,
63,3,100,10,15,,
64,,,23,21,1,83
65,,,26,23,1,68
66,,,22,26,1,57
67,3,100,28,16,,
68,,,25,17,2,63
69,1,66,3,3,,
70,1,53,1,1,,
71,,,27,24,1,74
72,,,26,21,3,100
73,,,14,8,3,100
74,3,100,10,17,,
75,,,18,14,2,73
76,,,4,2,2,78
77,1,52,21,6,,
78,2,82,16,9,,
79,,,16,30,0,35
80,,,13,8,3,100
81,2,89,9,11,,
82,,,6,1,2,52
83,2,52,20,5,,
84,2,77,24,12,,
85,2,67,2,2,,
86,3,100,9,12,,
87,2,90,6,6,,
88,,,2,3,2,52
89,2,98,4,4,,
90,,,3,30,0,23
91,,,22,14,3,100
92,,,21,10,3,100
93,2,69,29,9,,
94,,,18,20,2,53
95,2,87,8,11,,
96,,,25,19,3,100
97,,,19,12,0,43
98,3,100,8,9,,
99,2,95,4,5,,
100,,,16,18,3,100
101,,,18,13,3,100
102,2,98,17,11,,
103,,,27,25,1,47
104,2,63,1,3,,
105,1,56,2,1,,
106,2,95,5,11,,
107,2,63,3,1,,
108,3,100,7,11,,
109,,,23,13,3,100
110,1,62,13,8,,
111,1,95,5,6,,
112,,,19,10,3,100
113,,,10,5,3,100
114,3,100,7,8,,
115,,,27,18,3,100
116,,,15,6,2,86
117,,,3,2,1,49
118,,,1,3,1,60
119,,,5,5,1,52
120,,,5,6,2,56
