version,1,reserved,reserved,reserved,reserved,reserved
Sunnys Warriors,8VQLU9C,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/07/03,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Butterburger,11,PLQLJ8QU,,11,
3,Nordar,11,90G8OUYU,,11,
4,DarthCarlos10,10,8YVP9R8V,,10,
5,Sno,10,GQV9G9VV,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Nordar 2,10,Q2R202V2,,10,
8,Darth Carlos,10,VJG8CCUG,,10,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Amagnus,9,JVQ8JPQV,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,H,9,U8YJLOL9,1,9,
13,Batman,9,2QU9CC8,1,9,
14,Mord,9,22JGQUCJQ,1,9,
15,UTiger13,9,2OVQLGRUJ,1,9,
16,Ohio-Legend-216,9,29QLGYC9Q,1,9,
17,Corey,9,GLJRRGV9,1,9,
18,Soulsek,9,2LRQGVR09,1,9,
19,Jippieh Yeah,9,YCYV88UV,1,9,
20,Khaos,9,U9C2QCY2,,9,
21,Dada 1974,9,GQ0JCQJQ,,9,
22,Av7,9,RGPR9YJ9,,9,
23,Aleister Crowle,9,Q9922RUU,,9,
24,Frog,9,2JVLYQQP,,9,
25,SlimShady,9,VQPRP0V0,,9,
26,Captain America,9,G9YRJ09,,9,
27,Joe,9,LG9GQQJ8,,9,
28,Double G,9,JY8R9G9U,,9,
29,Poz,9,PPRYLOUY,,9,
30,beteljuice,9,29OV2LQRR,,9,
1,,,7,8,3,100
2,,,28,30,2,99
3,2,95,28,25,,
4,,,12,17,3,100
5,,,29,29,1,59
6,,,19,22,3,100
7,,,21,21,3,100
8,,,27,25,2,79
9,,,4,3,3,100
10,,,2,8,1,40
11,,,17,22,3,100
12,,,25,26,1,74
13,,,13,17,3,100
14,,,20,24,3,100
15,2,79,15,14,,
16,,,9,7,3,100
17,,,29,30,3,100
18,,,26,26,2,92
19,1,83,30,30,,
20,2,86,20,18,,
21,,,27,29,3,100
22,,,22,21,3,100
23,,,16,16,3,100
24,3,100,17,17,,
25,2,89,21,20,,
26,,,5,3,3,100
27,3,100,29,27,,
28,,,14,24,1,64
29,1,90,30,26,,
30,,,11,16,2,74
31,1,85,24,26,,
32,1,75,17,16,,
33,,,8,7,3,100
34,3,100,21,19,,
35,1,83,15,15,,
36,2,97,26,26,,
37,3,100,27,21,,
38,2,91,28,23,,
39,2,66,7,8,,
40,,,3,6,2,59
41,2,95,3,1,,
42,3,100,27,22,,
43,2,57,22,12,,
44,,,6,5,2,79
45,,,15,9,3,100
46,2,50,16,10,,
47,,,23,27,2,94
48,3,100,29,28,,
49,1,57,18,13,,
50,,,2,6,1,46
51,1,87,22,11,,
52,1,94,12,26,,
53,1,60,19,18,,
54,2,87,18,9,,
55,,,1,1,2,58
56,,,18,18,1,77
57,,,2,1,2,72
58,2,73,26,23,,
59,3,100,25,24,,
60,,,10,13,3,100
61,2,85,8,7,,
62,3,100,25,29,,
63,,,25,20,2,79
64,1,48,8,6,,
65,,,24,11,3,100
66,,,6,4,3,100
67,3,100,5,8,,
68,2,65,1,2,,
69,3,100,13,25,,
70,3,100,20,15,,
71,3,100,23,30,,
72,,,25,11,2,91
73,,,30,15,2,74
74,3,100,16,20,,
75,1,74,24,23,,
76,2,97,5,7,,
77,2,79,14,12,,
78,3,100,23,26,,
79,,,18,19,3,100
80,3,100,10,14,,
81,2,86,13,16,,
82,2,83,14,23,,
83,,,26,20,3,100
84,3,100,11,18,,
85,,,30,28,3,100
86,,,28,27,2,98
87,1,63,1,3,,
88,2,81,11,13,,
89,,,28,25,3,100
90,3,100,10,12,,
91,3,100,12,23,,
92,3,100,6,10,,
93,,,14,14,2,82
94,2,92,2,4,,
95,,,25,28,2,75
96,3,100,4,7,,
97,,,23,23,2,75
98,1,68,3,3,,
99,3,100,9,11,,
100,3,100,6,9,,
101,,,11,4,3,100
102,,,14,5,3,100
103,,,25,12,2,70
104,,,23,14,3,100
105,,,25,10,2,99
106,2,80,4,6,,
107,,,25,23,2,96
108,2,66,19,13,,
109,2,86,2,5,,
110,,,25,9,2,83
111,,,3,2,1,47
112,3,100,9,16,,
113,,,25,18,2,75
114,1,43,7,3,,
115,,,25,15,0,38
116,,,25,19,3,100
117,,,7,10,1,23
118,,,7,13,1,10
119,,,11,12,1,50
120,,,1,2,0,48
