version,2,reserved,reserved,reserved,reserved,reserved,reserved
PALKU,8GGQQJ29,,JTJ,2R9RCV9V,,S5,
25,,,,,,,
2016/07/10,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,109
2,Butterburger,11,PLQLJ8QU,109,1,11,108
3,Nordar,11,90G8OUYU,109,1,11,108
4,DarthCarlos10,10,8YVP9R8V,90,,11,104
5,Dark Skull,10,9QJYP8RQ,89,1,10,89
6,Space12345,10,8002Y989,89,1,10,89
7,Sno,10,GQV9G9VV,88,1,10,88
8,Nordar 2,10,Q2R202V2,85,,10,87
9,Czech1Czech2,9,22CP2Y828,70,,11,70
10,Amagnus,9,JVQ8JPQV,69,1,9,70
11,RedACE,9,GRJLGCUQ,69,1,9,70
12,H,9,U8YJLOL9,69,1,9,69
13,Whooboy,9,22UOVV2JJ,69,1,9,68
14,Mord,9,22JGQUCJQ,69,1,9,68
15,UTiger13,9,2OVQLGRUJ,69,,9,67
16,Corey,9,GLJRRGV9,68,,9,67
17,Soulsek,9,2LRQGVR09,68,,9,67
18,Jippieh Yeah,9,YCYV88UV,68,,9,66
19,Twistadude,9,RCY80LUU,68,,9,65
20,Aleister Crowle,9,Q9922RUU,68,,9,65
21,Frog,9,2JVLYQQP,67,,9,65
22,WanG,9,LUYO999R,66,,9,64
23,Joe,9,LG9GQQJ8,65,,9,63
24,Poz,9,PPRYLOUY,65,,8,54
25,beteljuice,9,29OV2LQRR,64,,8,48
1,3,100,22,20,,,
2,3,100,16,11,,,
3,,,24,22,0,36,
4,,,21,19,0,38,
5,,,22,20,2,50,
6,2,70,1,1,,,
7,,,20,18,1,60,
8,1,74,23,21,,,
9,1,50,1,3,,,
10,3,100,2,4,,,
11,3,100,8,9,,,
12,,,2,1,1,45,
13,,,21,22,1,44,
14,3,100,15,14,,,
15,2,96,3,2,,,
16,,,15,13,2,52,
17,,,24,24,0,27,
18,2,66,20,18,,,
19,2,90,15,15,,,
20,2,95,5,6,,,
21,0,35,19,18,,,
22,3,100,17,16,,,
23,3,100,19,21,,,
24,3,100,24,22,,,
25,3,100,17,13,,,
26,2,75,5,5,,,
27,1,76,21,18,,,
28,3,100,20,25,,,
29,3,100,25,23,,,
30,,,9,7,3,100,
31,,,25,25,2,50,
32,,,23,21,2,75,
33,2,85,22,19,,,
34,,,24,20,2,59,
35,,,19,17,2,50,
36,2,77,25,17,,,
37,3,100,18,15,,,
38,,,21,23,1,47,
39,,,12,10,2,68,
40,,,11,9,2,75,
41,,,25,17,1,48,
42,,,5,3,2,61,
43,0,35,6,7,,,
44,,,17,15,1,77,
45,,,25,21,2,90,
46,,,6,8,1,37,
47,,,13,3,3,100,
48,1,68,16,10,,,
49,,,1,1,0,44,
50,,,1,3,0,43,
51,2,94,14,17,,,
52,,,14,5,3,100,
53,,,20,13,1,52,
54,3,100,13,12,,,
55,2,92,14,18,,,
56,,,20,12,2,75,
57,1,64,7,8,,,
58,2,94,9,10,,,
59,2,53,21,17,,,
60,,,7,5,2,71,
61,,,16,10,3,100,
62,3,100,10,10,,,
63,,,21,11,2,84,
64,3,100,11,18,,,
65,3,100,24,24,,,
66,3,100,10,17,,,
67,3,100,9,19,,,
68,,,18,16,2,72,
69,,,10,12,3,100,
70,,,25,19,1,67,
71,2,58,8,8,,,
72,2,75,18,10,,,
73,2,53,12,7,,,
74,,,15,11,2,82,
75,1,61,13,11,,,
76,0,36,4,6,,,
77,3,100,12,10,,,
78,2,68,6,8,,,
79,0,39,7,3,,,
80,0,49,4,5,,,
81,,,17,9,3,100,
82,,,8,8,2,68,
83,,,6,6,1,45,
84,2,61,11,8,,,
85,,,6,7,2,68,
86,,,4,4,2,55,
87,2,54,2,2,,,
88,3,100,3,3,,,
