version,2,reserved,reserved,reserved,reserved,reserved,reserved
Dostlar Kervani,L9J0VRCP,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/07/13,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Butterburger,11,PLQLJ8QU,109,1,11,109
3,Nordar,11,90G8OUYU,109,1,11,108
4,Dark Skull,10,9QJYP8RQ,89,,11,105
5,Space12345,10,8002Y989,89,,11,105
6,Sno,10,GQV9G9VV,88,1,10,89
7,ConcretePanda,10,GR2PPPVJ,88,1,10,86
8,Atlas,10,RJ9PJ9CC,87,,10,85
9,Nordar 2,10,Q2R202V2,85,,10,81
10,Czech1Czech2,9,22CP2Y828,70,,10,68
11,Amagnus,9,JVQ8JPQV,69,1,9,67
12,RedACE,9,GRJLGCUQ,69,1,9,67
13,Whooboy,9,22UOVV2JJ,69,1,9,67
14,Batman,9,2QU9CC8,69,1,9,66
15,Mord,9,22JGQUCJQ,69,1,9,66
16,Ohio-Legend-216,9,29QLGYC9Q,69,,9,65
17,Corey,9,GLJRRGV9,68,,9,65
18,Jippieh Yeah,9,YCYV88UV,68,,9,65
19,Dada 1974,9,GQ0JCQJQ,68,,9,63
20,Av7,9,RGPR9YJ9,68,,9,63
21,Jitsuka,9,J80090GV,68,,9,63
22,Twistadude,9,RCY80LUU,68,,9,63
23,Aleister Crowle,9,Q9922RUU,68,,9,63
24,Frog,9,2JVLYQQP,67,,9,63
25,SlimShady,9,VQPRP0V0,66,,9,62
26,Chief Aarya,9,20JUV92GG,66,,9,56
27,Captain America,9,G9YRJ09,66,,8,50
28,WanG,9,LUYO999R,66,,8,48
29,Poz,9,PPRYLOUY,65,,8,48
30,beteljuice,9,29OV2LQRR,64,,7,38
1,,,30,29,2,54,
2,,,23,23,2,65,
3,,,19,21,2,75,
4,,,17,21,2,68,
5,2,75,24,14,,,
6,2,79,19,18,,,
7,,,25,25,2,74,
8,,,15,23,2,69,
9,,,13,13,2,56,
10,3,100,24,15,,,
11,3,100,29,23,,,
12,3,100,21,20,,,
13,3,100,29,25,,,
14,3,100,19,22,,,
15,3,100,30,24,,,
16,3,100,15,10,,,
17,3,100,4,8,,,
18,3,100,30,21,,,
19,2,68,17,17,,,
20,1,74,4,6,,,
21,3,100,21,19,,,
22,3,100,15,11,,,
23,3,100,28,18,,,
24,,,28,28,1,28,
25,,,24,19,1,67,
26,,,11,28,1,3,
27,1,78,16,16,,,
28,0,44,20,17,,,
29,3,100,17,16,,,
30,,,8,8,2,54,
31,2,74,22,12,,,
32,3,100,11,14,,,
33,3,100,8,9,,,
34,2,80,20,12,,,
35,1,59,26,12,,,
36,2,94,12,12,,,
37,1,74,22,13,,,
38,1,60,7,7,,,
39,3,100,27,26,,,
40,3,100,26,27,,,
41,,,12,26,0,24,
42,,,24,24,1,42,
43,,,10,10,2,62,
44,,,9,8,2,56,
45,3,100,27,17,,,
46,3,100,14,28,,,
47,2,58,25,12,,,
48,3,100,23,29,,,
49,,,12,24,2,52,
50,,,16,10,2,57,
51,,,18,13,1,41,
52,1,51,23,12,,,
53,2,70,1,2,,,
54,,,7,6,2,58,
55,,,29,30,1,32,
56,,,26,29,2,52,
57,3,100,18,12,,,
58,,,14,14,1,40,
59,,,30,18,2,94,
60,,,29,16,2,68,
61,,,20,17,2,61,
62,,,27,30,1,24,
63,2,74,1,1,,,
64,2,56,13,7,,,
65,2,60,6,7,,,
66,,,22,19,1,50,
67,2,56,9,7,,,
68,3,100,12,13,,,
69,1,66,13,13,,,
70,,,21,12,1,49,
71,3,100,16,30,,,
72,1,43,11,6,,,
73,1,58,6,6,,,
74,,,6,6,0,45,
75,1,67,9,6,,,
76,,,18,22,2,66,
77,,,2,2,2,62,
78,1,56,8,7,,,
79,,,28,16,2,81,
80,1,54,3,3,,,
81,,,6,3,1,36,
82,,,9,18,1,40,
83,0,49,25,6,,,
84,,,6,5,1,33,
85,1,84,3,5,,,
86,1,68,7,6,,,
87,1,74,2,4,,,
88,,,9,5,1,37,
89,,,27,22,2,68,
90,2,65,18,6,,,
91,,,5,2,2,90,
92,,,4,7,1,43,
93,,,1,1,1,64,
94,2,63,2,5,,,
95,,,21,3,3,100,
96,,,11,4,2,74,
97,,,14,7,3,100,
98,1,86,14,14,,,
99,2,55,5,7,,,
100,,,22,4,3,100,
101,,,24,25,0,26,
102,,,3,1,2,71,
103,,,24,17,2,79,
104,1,76,28,19,,,
105,2,62,5,3,,,
