version,2,reserved,reserved,reserved,reserved,reserved,reserved
ZX-Stars,Y9CV0PU,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/07/15,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109
2,Butterburger,11,PLQLJ8QU,109,1,11,109
3,Nordar,11,90G8OUYU,109,1,11,109
4,DarthCarlos10,10,8YVP9R8V,90,1,11,109
5,Dark Skull,10,9QJYP8RQ,89,,11,105
6,Space12345,10,8002Y989,89,1,10,89
7,ConcretePanda,10,GR2PPPVJ,88,1,10,88
8,Atlas,10,RJ9PJ9CC,87,1,10,88
9,Aboy,10,VQ9PUJV2,85,1,10,88
10,Nordar 2,10,Q2R202V2,85,,10,86
11,Amagnus,9,JVQ8JPQV,69,1,9,70
12,Whooboy,9,22UOVV2JJ,69,1,9,70
13,Batman,9,2QU9CC8,69,1,9,70
14,Mord,9,22JGQUCJQ,69,1,9,69
15,UTiger13,9,2OVQLGRUJ,69,1,9,69
16,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
17,Corey,9,GLJRRGV9,68,1,9,69
18,Soulsek,9,2LRQGVR09,68,1,9,69
19,Jippieh Yeah,9,YCYV88UV,68,1,9,68
20,Dada 1974,9,GQ0JCQJQ,68,1,9,68
21,Av7,9,RGPR9YJ9,68,1,9,68
22,Jitsuka,9,J80090GV,68,,9,67
23,Aleister Crowle,9,Q9922RUU,68,,9,67
24,Frog,9,2JVLYQQP,67,,9,67
25,SlimShady,9,VQPRP0V0,66,,9,67
26,Captain America,9,G9YRJ09,66,,9,63
27,Double G,9,JY8R9G9U,66,,9,58
28,Joe,9,LG9GQQJ8,65,,10,57
29,Poz,9,PPRYLOUY,65,,7,9
30,beteljuice,9,29OV2LQRR,64,,7,2
1,,,3,29,0,0,
2,,,4,29,0,2,
3,3,100,30,28,,,
4,2,67,27,25,,,
5,3,100,18,21,,,
6,,,17,17,3,100,
7,,,18,16,2,90,
8,,,25,18,2,68,
9,,,14,14,1,56,
10,,,30,26,2,91,
11,,,26,18,3,100,
12,,,27,16,2,72,
13,,,29,21,1,64,
14,,,14,10,3,100,
15,2,68,18,18,,,
16,,,15,11,1,58,
17,2,59,20,20,,,
18,,,30,21,2,63,
19,3,100,26,25,,,
20,3,100,29,26,,,
21,,,19,13,2,64,
22,,,20,11,3,100,
23,,,11,7,3,100,
24,,,12,9,1,83,
25,,,15,10,2,78,
26,,,24,23,3,100,
27,1,62,30,23,,,
28,,,29,26,3,100,
29,,,5,7,2,52,
30,1,92,27,27,,,
31,,,9,6,2,72,
32,2,91,23,11,,,
33,,,8,27,0,4,
34,,,30,25,3,100,
35,,,23,23,3,100,
36,,,28,25,3,100,
37,2,86,7,10,,,
38,,,22,24,2,90,
39,,,18,15,2,69,
40,3,100,23,15,,,
41,3,100,16,20,,,
42,,,27,20,2,76,
43,3,100,22,22,,,
44,1,85,29,24,,,
45,,,15,12,2,61,
46,,,21,13,2,81,
47,,,27,24,3,100,
48,3,100,28,27,,,
49,2,65,21,18,,,
50,,,4,5,2,73,
51,,,18,12,3,100,
52,3,100,28,29,,,
53,,,16,19,2,57,
54,,,22,28,3,100,
55,3,100,16,18,,,
56,,,2,4,0,26,
57,,,6,3,2,86,
58,,,1,2,2,85,
59,,,21,28,3,100,
60,,,8,5,2,75,
61,,,10,6,2,84,
62,1,82,21,11,,,
63,,,19,15,3,100,
64,,,13,9,2,99,
65,2,93,20,19,,,
66,,,25,22,2,75,
67,,,12,3,3,100,
68,,,2,2,2,76,
69,3,100,13,19,,,
70,1,53,24,24,,,
71,,,25,17,3,100,
72,,,7,1,3,100,
73,2,89,25,16,,,
74,2,82,17,12,,,
75,,,15,14,2,99,
76,3,100,17,17,,,
77,,,13,4,3,100,
78,,,15,8,3,100,
79,3,100,25,13,,,
80,2,78,14,11,,,
81,2,79,15,16,,,
82,3,100,24,30,,,
83,2,81,15,12,,,
84,1,47,13,16,,,
85,2,60,6,5,,,
86,,,16,8,3,100,
87,,,3,1,1,87,
88,3,100,26,23,,,
89,1,45,10,2,,,
90,2,70,4,6,,,
91,3,100,12,11,,,
92,2,97,22,14,,,
93,1,52,6,3,,,
94,,,4,22,1,28,
95,1,55,4,9,,,
96,2,58,11,16,,,
97,2,64,12,12,,,
98,2,60,2,2,,,
99,2,71,7,8,,,
100,,,11,30,1,3,
101,,,17,30,1,7,
102,,,30,27,1,7,
103,2,72,3,1,,,
104,3,100,19,16,,,
105,3,100,11,24,,,
106,1,77,8,7,,,
107,3,100,9,12,,,
108,1,62,1,4,,,
109,3,100,19,14,,,
110,2,75,8,9,,,
111,3,100,2,10,,,
112,1,45,10,3,,,
113,3,100,3,9,,,
114,0,37,14,7,,,
115,2,50,9,6,,,
116,1,61,1,7,,,
