version,2,reserved,reserved,reserved,reserved,reserved,reserved
Beastly Clique,RRURL2P,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/07/17,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109
2,Butterburger,11,PLQLJ8QU,109,1,11,109
3,Nordar,11,90G8OUYU,109,,11,107
4,DarthCarlos10,10,8YVP9R8V,90,1,10,89
5,CactusClan,10,2PQ89PQ82,88,1,10,87
6,Atlas,10,RJ9PJ9CC,87,1,10,87
7,Nordar 2,10,Q2R202V2,85,,10,86
8,Eleazar,9,C8GRJVL0,70,,10,85
9,Czech1Czech2,9,22CP2Y828,70,,10,82
10,Amagnus,9,JVQ8JPQV,69,1,9,69
11,Whooboy,9,22UOVV2JJ,69,1,9,69
12,Batman,9,2QU9CC8,69,1,9,69
13,UTiger13,9,2OVQLGRUJ,69,1,9,68
14,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,68
15,Corey,9,GLJRRGV9,68,1,9,68
16,Soulsek,9,2LRQGVR09,68,1,9,68
17,Jippieh Yeah,9,YCYV88UV,68,1,9,68
18,Av7,9,RGPR9YJ9,68,1,9,67
19,Jitsuka,9,J80090GV,68,,9,67
20,Twistadude,9,RCY80LUU,68,,9,67
21,Aleister Crowle,9,Q9922RUU,68,,9,67
22,Frog,9,2JVLYQQP,67,,9,67
23,SlimShady,9,VQPRP0V0,66,,9,67
24,Chief Aarya,9,20JUV92GG,66,,9,64
25,Captain America,9,G9YRJ09,66,,9,63
26,WanG,9,LUYO999R,66,,9,62
27,Double G,9,JY8R9G9U,66,,9,56
28,Poz,9,PPRYLOUY,65,,8,55
29,Stump,9,JGY0PJ2U,65,,8,48
30,TheWryhorn,9,P8RUP8RR,65,,5,19
1,,,22,22,2,76,
2,3,100,27,26,,,
3,3,100,30,30,,,
4,3,100,28,25,,,
5,3,100,29,29,,,
6,,,1,16,0,34,
7,2,56,27,23,,,
8,,,26,26,1,37,
9,3,100,28,24,,,
10,1,86,16,11,,,
11,2,81,22,23,,,
12,,,2,16,0,19,
13,3,100,30,27,,,
14,1,48,5,9,,,
15,3,100,29,28,,,
16,,,23,9,2,51,
17,3,100,7,9,,,
18,3,100,15,23,,,
19,3,100,24,22,,,
20,3,100,7,8,,,
21,3,100,26,10,,,
22,,,8,12,2,56,
23,1,67,16,12,,,
24,3,100,3,3,,,
25,3,100,9,13,,,
26,3,100,11,12,,,
27,3,100,22,20,,,
28,,,9,12,2,72,
29,,,7,4,2,75,
30,1,68,25,16,,,
31,2,94,25,21,,,
32,,,6,4,2,59,
33,2,89,21,14,,,
34,3,100,14,11,,,
35,2,99,20,18,,,
36,2,98,18,21,,,
37,2,60,21,17,,,
38,2,99,18,16,,,
39,1,68,23,15,,,
40,1,58,20,15,,,
41,2,93,14,17,,,
42,1,50,5,7,,,
43,,,7,5,2,50,
44,2,57,23,19,,,
45,,,5,7,2,56,
46,2,98,12,19,,,
47,3,100,4,7,,,
48,,,21,21,2,70,
49,0,39,4,2,,,
50,,,28,27,0,27,
51,,,4,2,2,72,
52,3,100,11,16,,,
53,2,79,2,2,,,
54,,,24,9,2,70,
55,2,77,1,1,,,
56,2,93,8,14,,,
57,1,62,12,15,,,
58,2,89,15,21,,,
59,3,100,8,15,,,
60,1,62,13,18,,,
61,,,10,10,2,70,
62,2,87,6,6,,,
63,,,19,19,1,60,
64,3,100,17,17,,,
65,1,85,13,21,,,
66,,,18,19,1,77,
67,2,51,6,5,,,
68,,,29,29,2,50,
69,,,14,14,2,85,
70,,,13,13,2,69,
71,2,96,26,19,,,
72,,,8,6,1,69,
73,,,1,1,2,70,
74,,,3,3,1,63,
75,3,100,24,14,,,
76,,,11,11,2,84,
77,,,12,10,2,83,
78,3,100,10,18,,,
79,,,30,29,1,49,
80,,,25,24,1,30,
81,,,30,25,3,100,
82,,,2,1,2,65,
83,,,20,21,1,45,
84,,,10,6,1,44,
85,3,100,10,19,,,
86,,,4,3,2,87,
87,2,97,19,21,,,
88,,,15,14,3,100,
89,3,100,9,21,,,
90,,,5,5,2,92,
91,,,16,13,1,72,
92,1,52,17,4,,,
93,2,87,3,4,,,
94,3,100,19,18,,,
95,,,17,17,2,85,
96,,,16,11,2,82,
97,,,27,17,3,100,
98,2,68,2,4,,,
99,2,92,1,2,,,
100,,,28,22,1,42,
101,,,3,2,1,58,
