version,2,reserved,reserved,reserved,reserved,reserved,reserved
Pilleur d Elite,QUVLQR0,,JTJ,2R9RCV9V,,S5,
25,,,,,,,
2016/07/17,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Butterburger,11,PLQLJ8QU,109,1,11,109
3,CactusClan,10,2PQ89PQ82,88,1,11,109
4,ConcretePanda,10,GR2PPPVJ,88,,11,104
5,Atlas,10,RJ9PJ9CC,87,,10,87
6,Aboy,10,VQ9PUJV2,85,,10,85
7,Darth Carlos,10,VJG8CCUG,71,,10,85
8,Eleazar,9,C8GRJVL0,70,1,9,69
9,Czech1Czech2,9,22CP2Y828,70,1,9,69
10,Amagnus,9,JVQ8JPQV,69,1,9,69
11,Whooboy,9,22UOVV2JJ,69,1,9,68
12,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,68
13,Corey,9,GLJRRGV9,68,1,9,68
14,Jippieh Yeah,9,YCYV88UV,68,1,9,68
15,Dada 1974,9,GQ0JCQJQ,68,1,9,68
16,Jitsuka,9,J80090GV,68,1,9,68
17,Aleister Crowle,9,Q9922RUU,68,,9,67
18,Frog,9,2JVLYQQP,67,,9,67
19,SlimShady,9,VQPRP0V0,67,,9,66
20,Captain America,9,G9YRJ09,66,,9,66
21,Double G,9,JY8R9G9U,66,,9,64
22,Poz,9,PPRYLOUY,65,,9,63
23,Stump,9,JGY0PJ2U,65,,9,63
24,TheWryhorn,9,P8RUP8RR,65,,9,63
25,beteljuice,9,29OV2LQRR,64,,9,61
1,2,98,23,23,,,
2,,,16,15,1,65,
3,,,25,24,2,60,
4,1,64,24,24,,,
5,,,12,9,2,97,
6,2,62,18,15,,,
7,3,100,23,22,,,
8,2,79,24,14,,,
9,2,64,18,18,,,
10,3,100,4,5,,,
11,2,95,16,16,,,
12,2,89,15,17,,,
13,3,100,15,23,,,
14,3,100,21,20,,,
15,2,99,13,10,,,
16,3,100,1,3,,,
17,2,61,13,11,,,
18,1,65,25,25,,,
19,3,100,9,13,,,
20,1,93,3,7,,,
21,,,20,20,2,64,
22,2,77,21,21,,,
23,2,70,4,6,,,
24,2,94,12,8,,,
25,3,100,25,19,,,
26,3,100,17,21,,,
27,,,10,10,2,50,
28,3,100,12,9,,,
29,2,90,3,12,,,
30,,,4,1,3,100,
31,3,100,20,11,,,
32,,,24,25,1,52,
33,,,19,18,2,86,
34,3,100,14,17,,,
35,,,25,25,2,99,
36,,,9,7,3,100,
37,,,21,21,2,84,
38,,,15,14,1,52,
39,,,17,16,1,61,
40,3,100,8,12,,,
41,,,15,8,2,74,
42,,,24,24,1,45,
43,,,16,13,0,44,
44,,,22,22,2,55,
45,2,99,1,1,,,
46,2,99,8,10,,,
47,,,17,13,3,100,
48,,,18,17,1,27,
49,,,2,2,1,46,
50,1,91,20,24,,,
51,,,15,15,1,61,
52,2,87,11,16,,,
53,3,100,19,18,,,
54,2,86,2,2,,,
55,,,24,12,1,74,
56,,,13,10,2,91,
57,3,100,7,7,,,
58,2,99,10,8,,,
59,3,100,10,14,,,
60,,,1,1,1,52,
61,1,83,22,24,,,
62,,,5,4,2,74,
63,3,100,2,4,,,
64,2,81,5,6,,,
65,3,100,19,16,,,
66,3,100,11,15,,,
67,,,24,20,0,47,
68,,,8,6,2,81,
69,,,18,14,3,100,
70,,,24,17,2,52,
71,,,14,11,2,58,
72,3,100,9,10,,,
73,1,41,5,7,,,
74,,,23,230,29,,
75,,,23,19,1,79,
76,3,100,17,24,,,
77,3,100,22,25,,,
78,,,24,8,3,100,
79,3,100,14,8,,,
80,,,23,11,1,37,
81,2,81,6,6,,,
82,2,99,7,6,,,
83,,,11,6,3,100,
84,,,22,21,1,79,
85,,,23,18,2,94,
86,,,3,2,2,62,
87,,,14,9,2,91,
88,,,23,22,1,40,
89,,,7,7,2,78,
90,,,25,19,2,95,
91,,,16,16,2,68,
92,,,15,5,3,100,
93,,,16,12,1,50,
94,,,6,4,2,96,
95,,,8,3,3,100,
96,,,7,3,3,100,
97,3,100,6,7,,,
98,,,25,5,3,100,
