version,2,reserved,reserved,reserved,reserved,reserved,reserved
Iraq Monsters,9YCL9U0G,,JTJ,2R9RCV9V,,S5,
25,,,,,,,
2016/07/22,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,108
2,Butterburger,11,PLQLJ8QU,109,,11,106
3,DarthCarlos10,10,8YVP9R8V,90,1,10,87
4,CactusClan,10,2PQ89PQ82,88,,10,86
5,ConcretePanda,10,GR2PPPVJ,88,,10,85
6,Sno,10,GQV9G9VV,88,,10,84
7,Aboy,10,VQ9PUJV2,85,1,9,69
8,Eleazar,9,C8GRJVL0,70,1,9,69
9,Czech1Czech2,9,22CP2Y828,70,1,9,69
10,Amagnus,9,JVQ8JPQV,69,1,9,68
11,RedACE,9,GRJLGCUQ,69,1,9,68
12,Whooboy,9,22UOVV2JJ,69,1,9,68
13,Batman,9,2QU9CC8,69,1,9,68
14,Ohio-Legend-216,9,29QLGYC9Q,69,,9,68
15,Corey,9,GLJRRGV9,68,,9,68
16,Mr. Pizza,9,LU2L8JUV,68,,9,67
17,Dada 1974,9,GQ0JCQJQ,68,,9,67
18,Aigamisou,9,PL0U898C,68,,9,66
19,Aleister Crowle,9,Q9922RUU,68,,9,66
20,Frog,9,2JVLYQQP,67,,9,66
21,SlimShady,9,VQPRP0V0,67,,9,66
22,Captain America,9,G9YRJ09,66,,9,65
23,Double G,9,JY8R9G9U,66,,9,61
24,Poz,9,PPRYLOUY,65,,8,54
25,beteljuice,9,29OV2LQRR,64,,8,54
1,,,17,20,3,100,
2,,,6,4,2,56,
3,,,24,22,3,100,
4,2,81,20,11,,,
5,,,7,5,2,99,
6,3,100,23,19,,,
7,,,22,20,3,100,
8,1,73,17,17,,,
9,,,10,9,2,68,
10,1,61,21,13,,,
11,2,85,18,18,,,
12,3,100,24,21,,,
13,2,94,16,17,,,
14,1,69,23,20,,,
15,3,100,12,13,,,
16,0,48,17,22,,,
17,1,90,4,5,,,
18,3,100,18,25,,,
19,1,60,9,11,,,
20,,,25,24,1,48,
21,3,100,20,8,,,
22,3,100,16,20,,,
23,2,92,5,3,,,
24,2,85,11,11,,,
25,1,77,14,9,,,
26,3,100,25,23,,,
27,,,25,25,0,0,
28,2,99,22,17,,,
29,,,16,14,1,70,
30,2,58,14,14,,,
31,,,16,24,1,40,
32,2,77,5,6,,,
33,2,70,21,15,,,
34,,,13,11,2,86,
35,,,12,14,2,56,
36,2,98,8,9,,,
37,3,100,22,18,,,
38,,,1,1,2,76,
39,3,100,13,10,,,
40,3,100,19,22,,,
41,,,5,4,2,52,
42,3,100,13,7,,,
43,,,20,18,2,66,
44,,,8,8,2,53,
45,,,23,25,1,44,
46,,,4,6,1,40,
47,,,18,13,2,58,
48,2,84,1,1,,,
49,,,19,16,2,94,
50,,,4,2,2,78,
51,,,3,2,2,59,
52,2,95,6,5,,,
53,3,100,8,11,,,
54,2,69,1,2,,,
55,3,100,12,9,,,
56,,,2,1,0,38,
57,,,9,10,2,61,
58,,,11,12,2,73,
59,3,100,24,16,,,
60,3,100,25,24,,,
61,3,100,15,17,,,
62,2,78,7,4,,,
63,,,14,15,2,60,
64,,,15,9,2,89,
65,2,75,19,12,,,
66,2,90,10,15,,,
67,2,72,6,6,,,
68,,,21,16,2,87,
69,,,23,23,1,39,
70,,,10,23,1,2,
71,3,100,10,12,,,
72,2,99,11,14,,,
73,,,25,19,1,54,
74,3,100,3,3,,,
75,2,53,2,2,,,
76,,,16,7,2,98,
77,,,8,7,2,53,
78,1,66,15,15,,,
79,1,59,2,1,,,
80,3,100,7,14,,,
81,,,25,17,3,100,
82,,,23,15,2,67,
83,2,70,3,4,,,
84,,,11,11,3,100,
85,,,23,12,2,75,
86,2,83,9,15,,,
87,2,58,4,6,,,
