version,2,reserved,reserved,reserved,reserved,reserved,reserved
Sjana,9YCL9,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/07/24,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109
2,Butterburger,11,PLQLJ8QU,109,1,11,109
3,DarthCarlos10,10,8YVP9R8V,90,1,10,88
4,Space12345,10,8002Y989,89,1,10,88
5,CactusClan,10,2PQ89PQ82,88,1,10,87
6,ConcretePanda,10,GR2PPPVJ,88,,10,85
7,Eleazar,9,C8GRJVL0,70,1,9,70
8,Czech1Czech2,9,22CP2Y828,70,1,9,70
9,Amagnus,9,JVQ8JPQV,69,1,9,70
10,RedACE,9,GRJLGCUQ,69,1,9,69
11,Batman,9,2QU9CC8,69,1,9,69
12,Mord,9,22JGQUCJQ,69,1,9,69
13,Whooboy,9,22UOVV2JJ,69,1,9,69
14,UTiger13,9,2OVQLGRUJ,69,1,9,69
15,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
16,Corey,9,GLJRRGV9,68,1,9,68
17,Mr. Pizza,9,LU2L8JUV,68,1,9,68
18,Jippieh Yeah,9,YCYV88UV,68,1,9,68
19,Dada 1974,9,GQ0JCQJQ,68,1,9,68
20,Aigamisou,9,PL0U898C,68,1,9,68
21,Twistadude,9,RCY80LUU,68,1,9,68
22,Aleister Crowle,9,Q9922RUU,68,1,9,68
23,Frog,9,2JVLYQQP,67,,9,66
24,SlimShady,9,VQPRP0V0,67,,9,66
25,Captain America,9,G9YRJ09,67,,9,66
26,WanG,9,LUYO999R,66,,9,65
27,Poz,9,PPRYLOUY,65,,9,65
28,Stump,9,JGY0PJ2U,65,,9,65
29,beteljuice,9,29OV2LQRR,64,,9,64
30,MonkeyMan117,9,YCVYQJQQ,64,,9,63
1,,,21,23,3,100,
2,3,100,15,19,,,
3,3,100,28,27,,,
4,,,13,30,3,100,
5,,,12,11,2,95,
6,,,26,26,2,81,
7,3,100,28,28,,,
8,3,100,30,30,,,
9,3,100,27,24,,,
10,,,30,27,2,83,
11,3,100,29,29,,,
12,,,16,10,2,70,
13,,,28,26,2,94,
14,2,93,25,16,,,
15,,,14,16,2,99,
16,1,55,6,3,,,
17,3,100,23,16,,,
18,2,90,29,25,,,
19,0,49,25,18,,,
20,2,79,30,22,,,
21,,,19,21,1,85,
22,1,87,14,10,,,
23,3,100,16,17,,,
24,3,100,20,23,,,
25,3,100,16,15,,,
26,,,15,16,3,100,
27,2,89,26,13,,,
28,3,100,27,26,,,
29,2,99,14,12,,,
30,,,6,5,1,59,
31,,,17,14,3,100,
32,,,24,18,2,88,
33,3,100,21,25,,,
34,3,100,20,22,,,
35,,,23,18,2,70,
36,1,52,21,21,,,
37,3,100,24,20,,,
38,,,20,15,1,62,
39,3,100,15,14,,,
40,,,29,29,2,52,
41,,,27,24,2,99,
42,,,20,23,3,100,
43,,,30,29,3,100,
44,1,65,22,8,,,
45,3,100,26,9,,,
46,1,70,22,11,,,
47,,,26,22,3,100,
48,,,22,13,2,89,
49,,,19,20,2,89,
50,2,70,19,7,,,
51,1,75,11,18,,,
52,,,18,13,3,100,
53,2,86,24,10,,,
54,3,100,19,18,,,
55,,,25,10,2,91,
56,,,22,11,3,100,
57,3,100,13,13,,,
58,,,28,22,3,100,
59,,,5,6,0,46,
60,,,24,21,3,100,
61,,,19,17,0,37,
62,,,1,1,1,84,
63,2,94,13,11,,,
64,,,5,4,1,47,
65,,,16,28,3,100,
66,3,100,23,21,,,
67,,,3,1,3,100,
68,,,27,27,3,100,
69,2,98,9,12,,,
70,2,77,7,10,,,
71,,,19,28,3,100,
72,3,100,11,11,,,
73,2,86,1,2,,,
74,,,29,19,2,52,
75,,,29,25,1,60,
76,2,87,18,12,,,
77,3,100,9,10,,,
78,2,91,12,7,,,
79,,,29,24,2,94,
80,,,9,30,2,95,
81,,,4,5,3,100,
82,2,81,10,8,,,
83,2,97,7,8,,,
84,,,25,17,1,63,
85,2,73,10,12,,,
86,2,64,5,6,,,
87,3,100,18,8,,,
88,,,25,25,2,70,
89,1,58,1,1,,,
90,1,79,12,12,,,
91,3,100,17,12,,,
92,3,100,3,3,,,
93,2,99,17,7,,,
94,,,25,20,2,67,
95,,,29,12,2,91,
96,,,8,9,3,100,
97,2,58,8,4,,,
98,2,66,2,4,,,
99,2,86,4,6,,,
100,,,11,7,3,100,
101,2,73,3,4,,,
102,,,9,9,2,99,
103,,,6,4,1,42,
104,,,23,14,2,96,
105,,,29,15,1,66,
106,,,2,2,1,55,
107,,,25,19,1,54,
108,,,12,8,2,77,
109,2,91,4,5,,,
110,,,5,2,3,100,
111,2,81,8,7,,,
112,,,7,7,2,90,
113,1,48,2,1,,,
114,,,10,6,3,100,
115,,,25,12,3,100,
116,,,7,3,3,100,
117,2,94,5,7,,,
118,3,100,6,7,,,
119,,,29,8,3,100,
120,,,12,3,3,100,
