version,2,reserved,reserved,reserved,reserved,reserved,reserved
Fluvial,P2CJL922,,JTJ,2R9RCV9V,,S5,
25,,,,,,,
2016/07/27,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,108
2,Butterburger,11,PLQLJ8QU,109,1,11,108
3,Space12345,10,8002Y989,89,,11,90
4,CactusClan,10,2PQ89PQ82,88,1,10,88
5,ConcretePanda,10,GR2PPPVJ,88,1,10,87
6,Sno,10,GQV9G9VV,88,,10,86
7,Aboy,10,VQ9PUJV2,85,,10,84
8,Eleazar,9,C8GRJVL0,70,1,9,70
9,Czech1Czech2,9,22CP2Y828,70,1,9,70
10,Amagnus,9,JVQ8JPQV,69,1,9,70
11,RedACE,9,GRJLGCUQ,69,1,9,70
12,Whooboy,9,22UOVV2JJ,69,1,9,70
13,Nato,9,2PQ9OVQOV,69,1,9,70
14,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,70
15,Corey,9,GLJRRGV9,69,1,9,69
16,Jippieh Yeah,9,YCYV88UV,68,1,9,69
17,Dada 1974,9,GQ0JCQJQ,68,1,9,69
18,Jitsuka,9,J80090GV,68,1,9,69
19,Chief Aarya,9,20JUV92GG,66,1,9,69
20,WanG,9,LUYO999R,66,1,9,68
21,Double G,9,JY8R9G9U,66,,9,65
22,Poz,9,PPRYLOUY,66,,9,65
23,Joe,9,LG9GQQJ8,66,,9,61
24,Stump,9,JGY0PJ2U,65,,9,61
25,MonkeyMan117,9,YCVYQJQQ,64,,3,1
1,,,10,9,3,100,
2,3,100,12,12,,,
3,,,11,8,2,65,
4,,,17,13,3,100,
5,3,100,21,15,,,
6,2,69,19,19,,,
7,,,21,21,2,99,
8,,,22,13,3,100,
9,3,100,23,23,,,
10,3,100,25,24,,,
11,3,100,25,25,,,
12,,,9,10,3,100,
13,,,4,4,2,52,
14,2,88,24,21,,,
15,,,18,16,3,100,
16,2,63,19,16,,,
17,3,100,4,8,,,
18,3,100,21,18,,,
19,,,8,10,2,95,
20,,,19,19,2,81,
21,,,25,24,3,100,
22,2,89,23,20,,,
23,,,20,14,2,53,
24,2,65,6,7,,,
25,,,8,4,3,100,
26,2,66,17,17,,,
27,,,7,5,2,61,
28,3,100,13,20,,,
29,,,13,5,3,100,
30,2,99,15,13,,,
31,2,92,17,16,,,
32,3,100,24,22,,,
33,3,100,10,11,,,
34,3,100,11,10,,,
35,3,100,15,14,,,
36,3,100,13,21,,,
37,3,100,20,13,,,
38,3,100,14,19,,,
39,3,100,9,9,,,
40,3,100,22,16,,,
41,3,100,4,6,,,
42,3,100,18,17,,,
43,2,50,14,5,,,
44,1,37,10,4,,,
45,2,65,8,7,,,
46,,,23,23,3,100,
47,,,21,20,2,92,
48,,,20,20,3,100,
49,,,14,12,1,85,
50,,,12,8,2,71,
51,,,5,3,2,87,
52,,,15,19,2,90,
53,,,19,16,3,100,
54,,,24,18,2,90,
55,,,16,14,3,100,
56,,,24,24,3,100,
57,0,49,8,3,,,
58,,,21,23,3,100,
59,,,2,3,0,39,
60,,,11,15,3,100,
61,,,15,21,3,100,
62,,,7,6,3,100,
63,,,12,12,2,80,
64,,,6,6,2,71,
65,0,33,16,1,,,
66,1,55,11,4,,,
67,0,45,12,2,,,
68,,,14,17,2,87,
69,0,33,22,2,,,
70,,,1,1,2,54,
71,0,47,9,1,,,
72,1,56,2,1,,,
73,0,40,18,2,,,
74,0,47,20,7,,,
75,,,2,7,2,64,
76,,,14,18,1,64,
77,0,48,5,3,,,
78,2,58,6,4,,,
79,2,88,1,2,,,
80,2,70,3,7,,,
81,,,14,15,3,100,
82,1,42,7,3,,,
83,,,12,11,2,70,
84,0,48,16,3,,,
85,,,12,22,0,43,
86,,,4,2,3,100,
87,2,70,5,7,,,
88,3,100,2,3,,,
89,,,5,22,2,65,
90,,,12,17,2,70,
91,2,54,7,7,,,
92,,,3,1,3,100,
93,2,56,3,4,,,
94,,,12,9,3,100,
95,,,6,2,3,100,
96,3,100,1,1,,,
97,,,8,11,2,94,
98,,,5,7,2,85,
