version,2,reserved,reserved,reserved,reserved,reserved,reserved
Brazil War Team,2QL92RG,,JTJ,2R9RCV9V,,S5,
25,,,,,,,
2016/07/29,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109
2,Butterburger,11,PLQLJ8QU,109,1,10,88
3,Space12345,10,8002Y989,89,,11,87
4,CactusClan,10,2PQ89PQ82,88,,10,86
5,Sno,10,GQV9G9VV,88,,11,86
6,Atlas,10,RJ9PJ9CC,87,,10,86
7,Aboy,10,VQ9PUJV2,85,,10,85
8,Eleazar,9,C8GRJVL0,70,,10,84
9,Czech1Czech2,9,22CP2Y828,70,,10,84
10,ThatAmagnus,9,GPGQC89C,70,1,9,70
11,Amagnus,9,JVQ8JPQV,69,1,9,70
12,RedACE,9,GRJLGCUQ,69,1,9,70
13,Whooboy,9,22UOVV2JJ,69,1,9,70
14,nato,9,2PQ9OVQOV,69,1,9,70
15,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,70
16,SlimShady,9,VQPRP0V0,69,1,9,70
17,Corey,9,GLJRRGV9,68,1,9,69
18,Jippieh Yeah,9,YCYV88UV,68,1,9,69
19,WanG,9,LUYO999R,66,1,9,69
20,Double G,9,JY8R9G9U,66,1,9,69
21,Poz,9,PPRYLOUY,66,1,9,68
22,Joe,9,LG9GQQJ8,66,1,9,68
23,Stump,9,JGY0PJ2U,65,1,9,68
24,beteljuice,9,29OV2LQRR,64,,9,66
25,MonkeyMan117,9,YCVYQJQQ,64,,9,64
1,1,69,23,22,,,
2,,,11,14,1,97,
3,,,17,19,2,87,
4,,,24,25,3,100,
5,3,100,21,21,,,
6,3,100,16,16,,,
7,1,90,24,25,,,
8,2,87,17,10,,,
9,2,72,17,11,,,
10,,,17,14,3,100,
11,,,10,20,3,100,
12,2,85,21,19,,,
13,,,3,25,2,59,
14,2,57,24,23,,,
15,,,9,13,2,62,
16,,,11,19,1,78,
17,,,12,17,2,98,
18,,,21,24,1,70,
19,,,14,10,2,83,
20,,,13,12,1,66,
21,,,23,23,2,82,
22,,,18,18,3,100,
23,3,100,20,18,,,
24,,,3,7,2,98,
25,,,6,23,2,60,
26,,,11,20,3,100,
27,3,100,14,11,,,
28,2,82,20,13,,,
29,,,19,12,1,77,
30,,,6,6,3,100,
31,,,15,18,2,98,
32,,,19,11,3,100,
33,,,23,24,3,100,
34,1,83,9,10,,,
35,3,100,19,17,,,
36,,,16,13,3,100,
37,3,100,12,12,,,
38,,,7,4,2,96,
39,2,52,23,20,,,
40,,,3,6,3,100,
41,2,58,9,15,,,
42,,,20,17,1,34,
43,,,5,2,2,84,
44,3,100,14,20,,,
45,2,78,15,13,,,
46,,,25,21,3,100,
47,,,20,21,2,92,
48,1,77,15,19,,,
49,,,7,9,3,100,
50,3,100,16,13,,,
51,,,1,1,3,100,
52,,,20,16,3,100,
53,,,2,1,2,59,
54,,,4,3,2,58,
55,3,100,13,15,,,
56,,,21,11,3,100,
57,3,100,6,9,,,
58,,,4,7,3,100,
59,2,99,12,14,,,
60,2,81,11,10,,,
61,2,54,1,1,,,
62,3,100,13,22,,,
63,3,100,2,2,,,
64,3,100,10,14,,,
65,2,83,19,19,,,
66,,,8,8,3,100,
67,,,13,10,1,80,
68,2,99,6,4,,,
69,1,68,5,6,,,
70,3,100,8,24,,,
71,0,0,3,8,,,
72,2,94,11,19,,,
73,3,100,18,25,,,
74,2,97,4,8,,,
75,1,50,22,23,,,
76,,,9,2,3,100,
77,2,75,8,10,,,
78,3,100,5,10,,,
79,1,78,22,19,,,
80,3,100,18,19,,,
81,,,22,22,3,100,
82,,,13,16,3,100,
83,2,64,7,7,,,
84,3,100,1,3,,,
85,2,79,10,23,,,
86,,,12,22,3,100,
87,3,100,7,23,,,
88,,,14,5,2,95,
89,,,5,3,3,100,
90,2,72,4,5,,,
91,,,15,8,3,100,
92,,,14,9,3,100,
93,0,49,3,6,,,
94,2,96,2,5,,,
95,,,2,4,0,42,
