version,2,reserved,reserved,reserved,reserved,reserved,reserved
Uptown Crew,28RGJJ,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/07/31,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Butterburger,11,PLQLJ8QU,109,1,11,109
3,Nordar,11,90G8OUYU,109,1,10,89
4,Space12345,10,8002Y989,89,1,10,89
5,CactusClan,10,2PQ89PQ82,88,,10,87
6,ConcretePanda,10,GR2PPPVJ,88,,10,87
7,Sno,10,GQV9G9VV,88,,10,87
8,Atlas,10,RJ9PJ9CC,87,,10,87
9,Chris,10,229YCRYQV,86,,10,86
10,Nordar 2,10,Q2R202V2,85,,10,86
11,Aboy,10,VQ9PUJV2,85,,10,86
12,Fresh,10,YQ82L9GP,70,,10,86
13,JD,10,CYVJP0QQ,70,,10,85
14,Czech1Czech2,9,22CP2Y828,70,,10,84
15,ThatAmagnus,9,GPGQC89C,70,1,9,69
16,Amagnus,9,JVQ8JPQV,69,1,9,69
17,Batman,9,2QU9CC8,69,1,9,69
18,UTiger13,9,2OVQLGRUJ,69,1,9,68
19,Mord,9,22JGQUCJQ,69,1,9,68
20,Whooboy,9,22UOVV2JJ,69,1,9,68
21,Ohio-Legend-216,9,29QLGYC9Q,69,,9,67
22,SlimShady,9,VQPRP0V0,69,,9,67
23,Corey,9,GLJRRGV9,68,,9,67
24,Mr. Pizza,9,LU2L8JUV,68,,9,66
25,Jippieh Yeah,9,YCYV88UV,68,,9,66
26,Aleister Crowle,9,Q9922RUU,68,,9,66
27,Frog,9,2JVLYQQP,67,,9,65
28,Poz,9,PPRYLOUY,66,,9,65
29,Stump,9,JGY0PJ2U,65,,9,64
30,beteljuice,9,29OV2LQRR,64,,9,62
1,,,8,6,2,58,
2,,,21,19,3,100,
3,2,90,29,29,,,
4,,,7,5,2,59,
5,2,89,19,15,,,
6,3,100,24,18,,,
7,,,30,29,3,100,
8,,,15,13,3,100,
9,,,14,12,3,100,
10,2,60,20,15,,,
11,,,6,5,2,59,
12,,,12,10,2,79,
13,2,94,18,19,,,
14,,,10,8,1,50,
15,1,66,24,17,,,
16,3,100,23,29,,,
17,,,1,3,0,40,
18,,,29,28,2,73,
19,3,100,21,20,,,
20,,,28,26,0,36,
21,3,100,27,17,,,
22,3,100,22,23,,,
23,2,80,13,10,,,
24,3,100,25,19,,,
25,2,91,18,16,,,
26,,,16,14,3,100,
27,3,100,8,13,,,
28,,,28,27,1,67,
29,,,29,26,2,65,
30,3,100,16,15,,,
31,0,33,13,12,,,
32,,,3,4,1,60,
33,1,94,21,21,,,
34,,,1,4,0,36,
35,,,13,11,3,100,
36,,,22,20,1,83,
37,3,100,25,21,,,
38,,,2,3,1,42,
39,2,55,29,30,,,
40,3,100,17,16,,,
41,,,23,23,1,64,
42,,,24,22,2,63,
43,1,70,30,24,,,
44,,,9,7,0,48,
45,,,11,9,2,72,
46,2,99,30,26,,,
47,3,100,22,22,,,
48,,,18,16,3,100,
49,,,28,25,2,92,
50,2,95,26,25,,,
51,1,62,26,24,,,
52,,,20,18,2,58,
53,,,17,15,2,64,
54,,,29,30,0,40,
55,,,27,27,1,59,
56,3,100,27,24,,,
57,,,19,23,2,68,
58,3,100,20,26,,,
59,2,99,23,25,,,
60,,,27,25,1,42,
61,3,100,28,30,,,
62,3,100,17,25,,,
63,3,100,19,27,,,
64,,,26,24,2,81,
65,3,100,28,28,,,
66,,,25,22,2,65,
67,,,23,17,1,91,
68,2,56,16,8,,,
69,2,60,15,7,,,
70,,,1,2,1,45,
71,2,96,4,7,,,
72,1,48,14,2,,,
73,3,100,12,12,,,
74,2,53,15,5,,,
75,,,27,21,2,95,
76,,,10,7,2,73,
77,,,17,13,3,100,
78,2,83,1,1,,,
79,2,63,14,9,,,
80,3,100,8,14,,,
81,2,93,9,9,,,
82,,,19,11,3,100,
83,2,75,2,3,,,
84,,,29,21,0,40,
85,3,100,5,11,,,
86,1,49,7,8,,,
87,,,22,18,3,100,
88,2,92,12,10,,,
89,1,84,6,6,,,
90,2,85,10,10,,,
91,3,100,1,2,,,
92,,,29,29,2,62,
93,,,20,12,3,100,
94,2,61,9,8,,,
95,,,25,15,2,64,
96,2,75,10,6,,,
97,3,100,11,10,,,
98,,,5,8,1,48,
99,,,28,20,2,88,
100,2,78,5,4,,,
101,3,100,7,7,,,
102,,,29,24,1,68,
103,1,50,6,9,,,
104,3,100,3,4,,,
105,,,24,14,1,64,
106,,,4,1,3,100,
107,,,23,16,2,99,
108,,,28,30,2,51,
109,,,1,1,1,54,
110,,,23,10,2,68,
111,,,24,17,2,80,
112,,,25,19,1,53,
113,3,100,3,5,,,
114,,,9,9,2,64,
115,1,61,4,6,,,
116,2,61,2,6,,,
117,,,5,6,1,56,
118,1,69,11,9,,,
119,,,2,2,2,67,
