version,2,reserved,reserved,reserved,reserved,reserved,reserved
Olimpo Magic,2RLVGPQC,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/08/03,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Butterburger,11,PLQLJ8QU,109,1,11,110
3,Nordar,11,90G8OUYU,109,1,11,109
4,DarthCarlos10,10,8YVP9R8V,90,1,10,90
5,Space12345,10,8002Y989,89,1,10,90
6,CactusClan,10,2PQ89PQ82,88,1,10,90
7,ConcretePanda,10,GR2PPPVJ,88,1,10,88
8,Sno,10,GQV9G9VV,88,1,10,88
9,Atlas,10,RJ9PJ9CC,87,1,10,87
10,SwuTangClan,10,8G9LVLP0,87,,10,84
11,Chris,10,229YCRYQV,86,,10,74
12,Aboy,10,VQ9PUJV2,85,,10,71
13,Darth Carlos,10,VJG8CCUG,71,,9,68
14,JD,10,CYVJP0QQ,70,,9,68
15,Czech1Czech2,9,22CP2Y828,70,,9,68
16,Amagnus,9,JVQ8JPQV,69,,9,68
17,Batman,9,2QU9CC8,69,,9,68
18,Simlin,9,2GO989G2U,69,,9,68
19,UTiger13,9,2OVQLGRUJ,69,,9,68
20,Mord,9,22JGQUCJQ,69,,9,68
21,Whooboy,9,22UOVV2JJ,69,,9,68
22,Ohio-Legend-216,9,29QLGYC9Q,69,,9,67
23,Mr. Pizza,9,LU2L8JUV,68,,9,67
24,Corey,9,GLJRRGV9,68,,9,67
25,Dada 1974,9,GQ0JCQJQ,68,,9,64
26,Frog,9,2JVLYQQP,67,,9,63
27,Captain America,9,G9YRJ09,67,,9,56
28,SlimShady,9,VQPRP0V0,67,,9,55
29,Poz,9,PPRYLOUY,66,,8,
30,Stump,9,JGY0PJ2U,65,,8,
1,3,100,30,29,,,
2,3,100,29,25,,,
3,,,28,17,0,43,
4,,,29,29,2,60,
5,3,100,30,30,,,
6,,,1,1,2,82,
7,,,17,9,2,68,
8,,,20,15,2,89,
9,1,69,14,13,,,
10,,,28,20,2,50,
11,3,100,29,26,,,
12,,,18,12,3,100,
13,3,100,15,15,,,
14,2,95,24,16,,,
15,1,58,19,17,,,
16,2,74,25,24,,,
17,1,87,15,13,,,
18,3,100,25,28,,,
19,3,100,21,13,,,
20,3,100,18,20,,,
21,3,100,27,27,,,
22,3,100,24,14,,,
23,2,86,19,21,,,
24,3,100,23,24,,,
25,2,55,27,23,,,
26,3,100,22,19,,,
27,3,100,23,23,,,
28,3,100,22,22,,,
29,,,30,26,2,66,
30,,,25,18,3,100,
31,,,30,22,3,100,
32,,,12,4,3,100,
33,,,6,2,2,89,
34,,,2,3,3,100,
35,,,27,29,1,44,
36,,,19,7,2,81,
37,1,91,17,17,,,
38,,,27,23,1,48,
39,,,4,2,2,96,
40,2,97,28,21,,,
41,,,26,19,3,100,
42,,,29,24,3,100,
43,,,14,5,3,100,
44,2,66,20,18,,,
45,,,22,18,2,68,
46,,,21,21,2,74,
47,,,3,3,2,53,
48,,,24,14,2,56,
49,2,83,18,18,,,
50,2,77,26,16,,,
51,,,23,21,2,88,
52,,,27,25,2,54,
53,,,28,16,2,80,
54,,,13,5,1,66,
55,2,85,26,21,,,
56,,,27,17,2,68,
57,,,13,4,3,100,
58,2,98,16,17,,,
59,2,94,14,16,,,
60,,,28,28,2,68,
61,3,100,20,17,,,
62,,,27,20,3,100,
63,,,15,6,3,100,
64,,,23,28,2,86,
65,3,100,9,10,,,
66,3,100,21,18,,,
67,,,24,13,2,77,
68,3,100,16,21,,,
69,2,86,28,16,,,
70,3,100,10,11,,,
71,,,28,22,2,90,
72,0,44,2,2,,,
73,1,64,7,6,,,
74,2,80,9,12,,,
75,,,28,27,1,42,
76,1,47,17,16,,,
77,,,24,16,1,72,
78,2,79,3,2,,,
79,,,28,19,2,58,
80,3,100,11,8,,,
81,,,5,11,2,83,
82,,,28,23,2,68,
83,,,28,26,2,67,
84,2,75,5,5,,,
85,3,100,4,6,,,
86,,,9,8,2,59,
87,3,100,8,12,,,
88,3,100,10,9,,,
89,3,100,12,16,,,
90,0,42,13,1,,,
91,1,74,1,1,,,
92,2,56,6,7,,,
93,,,28,25,2,80,
94,2,62,11,7,,,
95,,,7,11,2,60,
96,2,66,4,7,,,
97,2,69,6,4,,,
98,2,60,8,5,,,
99,2,66,5,7,,,
100,0,47,7,3,,,
101,1,92,1,3,,,
102,2,66,2,4,,,
103,2,70,13,7,,,
104,1,74,3,3,,,
105,,,16,12,2,94,
106,,,10,8,2,58,
107,,,16,14,1,8,
108,1,66,12,7,,,
109,,,11,9,2,70,
110,,,24,27,1,32,
111,,,8,1,2,98,
112,,,28,13,2,99,
113,,,17,15,2,82,
