version,2,reserved,reserved,reserved,reserved,reserved,reserved
The Swarm,8G9RYC0Y,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/08/07,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Butterburger,11,PLQLJ8QU,109,1,11,109
3,DarthCarlos10,10,8YVP9R8V,90,1,10,89
4,CactusClan,10,2PQ89PQ82,89,1,10,89
5,ConcretePanda,10,GR2PPPVJ,88,1,10,89
6,Sno,10,GQV9G9VV,88,1,10,88
7,SwuTangClan,10,8G9LVLP0,87,1,10,87
8,Aboy,10,VQ9PUJV2,85,1,10,87
9,Eleazar,9,C8GRJVL0,70,1,9,70
10,ThatAmagnus,9,GPGQC89C,70,1,9,70
11,Czech1Czech2,9,22CP2Y828,70,1,9,70
12,Amagnus,9,JVQ8JPQV,69,1,9,70
13,Batman,9,2QU9CC8,69,1,9,70
14,Simlin,9,2GO989G2U,69,1,9,70
15,Mord,9,22JGQUCJQ,69,1,9,70
16,UTiger13,9,2OVQLGRUJ,69,1,9,70
17,nato,9,2PQ9OVQOV,69,1,9,69
18,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
19,SlimShady,9,VQPRP0V0,69,1,9,69
20,corey,9,GLJRRGV9,69,1,9,69
21,Mr. Pizza,9,LU2L8JUV,68,1,9,68
22,Jippieh Yeah,9,YCYV88UV,68,1,9,68
23,Dada 1974,9,GQ0JCQJQ,68,1,9,68
24,Frog,9,2JVLYQQP,68,1,9,68
25,Captain America,9,G9YRJ09,67,1,9,68
26,SlimShady,9,VQPRP0V0,67,1,9,68
27,Poz,9,PPRYLOUY,66,1,9,67
28,Double G,9,JY8R9G9U,66,,9,66
29,Stump,9,JGY0PJ2U,65,,9,66
30,beteljuice,9,29OV2LQRR,64,,9,66
1,2,91,17,18,,,
2,,,22,22,3,100,
3,,,19,24,3,100,
4,3,100,13,17,,,
5,,,9,15,3,100,
6,1,50,19,15,,,
7,,,16,18,3,100,
8,2,87,24,11,,,
9,,,13,24,1,82,
10,2,81,19,13,,,
11,,,10,11,3,100,
12,,,15,16,1,57,
13,1,85,14,20,,,
14,,,17,17,3,100,
15,3,100,17,21,,,
16,,,11,27,3,100,
17,,,1,8,2,70,
18,,,15,9,3,100,
19,,,27,30,3,100,
20,1,53,14,16,,,
21,,,23,20,1,85,
22,2,88,24,19,,,
23,,,14,27,2,62,
24,,,12,17,1,66,
25,,,21,18,1,35,
26,,,24,21,1,71,
27,3,100,27,27,,,
28,,,13,16,3,100,
29,2,89,23,25,,,
30,2,82,16,14,,,
31,,,21,14,3,100,
32,,,14,13,2,87,
33,,,20,12,3,100,
34,,,28,20,3,100,
35,,,26,22,2,64,
36,2,95,12,15,,,
37,3,100,23,26,,,
38,,,12,9,3,100,
39,,,18,13,1,72,
40,1,56,21,25,,,
41,,,23,12,3,100,
42,1,68,28,23,,,
43,1,41,16,10,,,
44,,,24,25,3,100,
45,,,18,11,3,100,
46,2,99,18,15,,,
47,,,30,30,3,100,
48,3,100,30,30,,,
49,2,88,21,23,,,
50,,,26,29,2,95,
51,,,25,28,3,100,
52,2,99,30,28,,,
53,,,14,15,1,54,
54,,,26,23,2,99,
55,1,61,27,25,,,
56,,,26,25,3,100,
57,,,14,23,2,64,
58,,,24,28,2,72,
59,1,54,28,24,,,
60,3,100,25,25,,,
61,3,100,18,20,,,
62,2,73,13,18,,,
63,,,24,29,3,100,
64,,,14,21,2,94,
65,3,100,25,24,,,
66,,,14,19,3,100,
67,3,100,26,28,,,
68,,,8,5,2,90,
69,3,100,1,2,,,
70,,,6,6,2,59,
71,,,2,26,0,47,
72,2,67,20,23,,,
73,,,7,26,2,64,
74,2,70,15,9,,,
75,,,2,3,0,47,
76,,,3,10,0,27,
77,2,52,22,12,,,
78,3,100,20,29,,,
79,,,7,7,3,100,
80,,,4,19,2,54,
81,2,99,15,10,,,
82,,,5,10,1,45,
83,,,8,8,2,91,
84,2,60,29,22,,,
85,,,2,6,0,33,
86,3,100,22,19,,,
87,2,62,26,22,,,
88,2,98,10,18,,,
89,2,75,7,8,,,
90,,,2,14,0,42,
91,3,100,7,9,,,
92,2,89,10,15,,,
93,2,74,6,10,,,
94,2,56,3,1,,,
95,3,100,12,18,,,
96,2,96,1,3,,,
97,1,79,29,23,,,
98,3,100,8,12,,,
99,2,68,2,4,,,
100,,,8,3,3,100,
101,2,83,2,7,,,
102,,,2,2,2,93,
103,3,100,9,16,,,
104,,,5,5,2,92,
105,2,58,5,6,,,
106,2,73,11,13,,,
107,,,3,2,3,100,
108,3,100,8,11,,,
109,1,63,11,23,,,
110,,,5,1,3,100,
111,3,100,4,22,,,
112,,,4,7,1,68,
113,,,6,4,1,52,
114,2,62,3,5,,,
115,,,4,4,0,39,
116,3,100,6,13,,,
117,2,68,9,23,,,
118,,,6,1,3,100,
119,3,100,4,23,,,
