version,2,reserved,reserved,reserved,reserved,reserved,reserved,
Team Iran,PJ28JVQ9,,JTJ,2R9RCV9V,,S5,,
30,,,,,,,,
2016/08/10,,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,107,
2,Butterburger,11,PLQLJ8QU,109,,11,107,
3,Nordar,11,90G8OUYU,109,,11,107,
4,Bob,11,CG2GP2PV,94,,11,106,
5,DarthCarlos10,10,8YVP9R8V,90,,11,105,
6,CactusClan,10,2PQ89PQ82,89,,11,103,
7,ConcretePanda,10,GR2PPPVJ,88,,10,87,
8,SWuTangClan,10,8G9LVLP0,87,,10,85,
9,Chris,10,229YCRYQV,86,,10,84,
10,Nordar 2,10,Q2R202V2,86,,10,84,
11,Aboy,10,VQ9PUJV2,85,,10,83,
12,726,10,YPQVU8G8,70,,10,82,
13,ThatAmagnus,10,GPGQC89C,70,,9,68,
14,Czech1Czech2,9,22CP2Y828,70,,9,68,
15,Amagnus,9,JVQ8JPQV,70,,9,68,
16,RedACE,9,GRJLGCUQ,69,,9,68,
17,Mord,9,22JGQUCJQ,69,,9,68,
18,UTiger13,9,2OVQLGRUJ,69,,9,67,
19,Nato,9,2PQ9OVQOV,69,,9,67,
20,Whooboy,9,22UOVV2JJ,69,,9,66,
21,Ohio-Legend-216,9,29QLGYC9Q,69,,9,65,
22,Corey,9,GLJRRGV9,69,,9,64,
23,Jippieh Yeah,9,YCYV88UV,68,,9,63,
24,Frog,9,2JVLYQQP,68,,9,61,
25,Neifen,9,98QU2PQP,68,,9,61,
26,Captain America,9,G9YRJ09,67,,9,56,
27,WanG,9,LUYO999R,66,,8,12750,
28,Double G,9,JY8R9G9U,66,,8,12250,
29,MrBates,9,22Y)YUL9,64,,8,12667,6000
30,YeahRocks,9,8880VGP80,62,,6,9000,
1,3,100,15,15,,,,
2,3,100,8,8,,,,
3,3,100,11,11,,,,
4,2,62,24,21,,,,
5,3,100,19,28,,,,
6,3,100,4,5,,,,
7,3,100,8,9,,,,
8,3,100,11,10,,,,
9,,,29,28,1,41,,
10,3,100,17,19,,,,
11,,,4,4,1,32,,
12,3,100,24,22,,,,
13,,,5,5,2,68,,
14,3,100,15,16,,,,
15,3,100,13,14,,,,
16,3,100,28,23,,,,
17,3,100,19,27,,,,
18,,,27,21,2,56,,
19,3,100,28,24,,,,
20,3,100,26,30,,,,
21,3,100,26,29,,,,
22,1,60,13,13,,,,
23,2,90,14,18,,,,
24,3,100,21,17,,,,
25,3,100,30,25,,,,
26,1,58,14,13,,,,
27,3,100,3,4,,,,
28,,,25,14,3,100,,
29,2,60,10,8,,,,
30,3,100,18,20,,,,
31,3,100,22,26,,,,
32,3,100,18,18,,,,
33,1,93,6,12,,,,
34,3,100,10,7,,,,
35,3,100,22,21,,,,
36,1,78,21,13,,,,
37,3,100,27,17,,,,
38,3,100,29,13,,,,
39,3,100,16,13,,,,
40,1,52,25,12,,,,
41,1,65,12,12,,,,
42,0,49,25,13,,,,
43,1,55,29,12,,,,
44,3,100,5,12,,,,
45,,,14,8,2,61,,
46,,,18,18,0,29,,
47,,,30,14,3,100,,
48,,,17,15,2,78,,
49,3,100,30,17,,,,
50,3,100,4,6,,,,
51,,,13,11,1,59,,
52,,,1,1,0,44,,
53,,,24,20,2,72,,
54,,,12,11,2,78,,
55,,,2,4,1,42,,
56,,,9,9,1,30,,
57,1,86,17,13,,,,
58,,,18,9,2,66,,
59,2,52,1,1,,,,
60,,,19,17,1,32,,
61,,,22,16,2,60,,
62,2,85,12,17,,,,
63,2,96,1,2,,,,
64,,,11,7,2,60,,
65,2,78,20,13,,,,
66,2,70,9,8,,,,
67,1,67,3,3,,,,
68,2,55,2,2,,,,
69,2,85,20,14,,,,
70,,,23,20,1,60,,
71,3,100,9,7,,,,
72,,,21,12,2,81,,
73,1,70,2,3,,,,
74,,,6,1,2,66,,
75,,,28,16,2,76,,
76,3,100,5,8,,,,
77,,,10,10,2,56,,
78,,,1,2,0,35,,
79,,,15,12,2,97,,
80,,,28,26,1,30,,
81,3,100,27,14,,,,
82,,,7,6,1,54,,
83,1,55,7,3,,,,
84,3,100,16,16,,,,
85,,,29,27,1,44,,
86,1,55,6,3,,,,
87,,,1,3,1,68,,
88,,,3,2,1,57,,
89,,,16,10,1,49,,
90,,,20,18,0,42,,
91,,,26,23,1,50,,
92,,,8,3,2,92,,
93,,,29,25,2,52,,
94,,,20,19,0,47,,
95,,,20,15,1,39,,
96,,,23,21,2,75,,
97,,,28,30,1,18,,
98,3,100,23,14,,,,
99,,,26,24,2,63,,
100,,,20,7,2,87,,
101,3,100,23,16,,,,
