version,2,reserved,reserved,reserved,reserved,reserved,reserved
UCBC.ph,2CVLYC8U,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/08/12,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109
2,Butterburger,11,PLQLJ8QU,109,1,11,108
3,Nordar,11,90G8OUYU,109,1,11,108
4,Bob,11,CG2GP2PV,95,1,11,108
5,Space12345,10,8002Y989,89,,11,107
6,Sno,10,GQV9G9VV,88,,10,86
7,SwuTangClan,10,8G9LVLP0,87,,10,86
8,Chris,10,229YCRYQV,86,,10,86
9,Nordar 2,10,Q2R202V2,86,,10,84
10,Aboy,10,VQ9PUJV2,85,,10,83
11,Darth Carlos,10,VJG8CCUG,72,,10,81
12,ThatAmagnus,10,GPGQC89C,70,,10,80
13,Czech1Czech2,9,22CP2Y828,70,1,9,68
14,RedACE,9,GRJLGCUQ,69,1,9,68
15,Simlin,9,2GO989G2U,69,1,9,68
16,Batman,9,2QU9CC8,69,,9,67
17,UTiger13,9,2OVQLGRUJ,69,,9,67
18,Nato,9,2PQ9OVQOV,69,,9,67
19,Whooboy,9,22UOVV2JJ,69,,9,66
20,Ohio-Legend-216,9,29QLGYC9Q,69,,9,66
21,Corey,9,GLJRRGV9,69,,9,65
22,Mr. Pizza,9,LU2L8JUV,69,,9,64
23,Jippieh Yeah,9,YCYV88UV,68,,9,64
24,Frog,9,2JVLYQQP,68,,9,64
25,Captain America,9,G9YRJ09,67,,9,61
26,WanG,9,LUYO999R,66,,9,61
27,Poz,9,PPRYLOUY,66,,8,55
28,Double G,9,JY8R9G9U,66,,8,55
29,beteljuice,9,29OV2LQRR,64,,8,54
30,MrBates,9,22Y)YUL9,64,,8,49
1,3,100,25,21,,,
2,3,100,7,8,,,
3,3,100,10,12,,,
4,3,100,26,22,,,
5,2,90,24,23,,,
6,3,100,28,24,,,
7,3,100,22,20,,,
8,3,100,27,27,,,
9,2,94,4,2,,,
10,2,87,25,23,,,
11,2,70,15,16,,,
12,3,100,8,6,,,
13,,,30,29,2,57,
14,2,95,7,7,,,
15,2,82,4,5,,,
16,3,100,27,28,,,
17,3,100,28,25,,,
18,,,21,19,1,77,
19,3,100,12,13,,,
20,2,77,20,15,,,
21,,,26,22,2,74,
22,3,100,10,11,,,
23,3,100,22,23,,,
24,2,75,13,18,,,
25,,,22,18,2,72,
26,3,100,24,26,,,
27,3,100,17,19,,,
28,2,95,13,15,,,
29,,,29,26,2,75,
30,3,100,9,10,,,
31,3,100,17,17,,,
32,3,100,9,9,,,
33,,,29,22,2,55,
34,3,100,12,14,,,
35,3,100,21,29,,,
36,,,16,12,2,61,
37,,,14,10,2,69,
38,2,97,29,18,,,
39,3,100,19,18,,,
40,3,100,20,16,,,
41,3,100,8,7,,,
42,2,54,21,12,,,
43,,,29,25,2,88,
44,2,85,14,15,,,
45,3,100,14,12,,,
46,,,8,3,3,100,
47,1,68,11,7,,,
48,1,72,29,15,,,
49,,,30,25,2,68,
50,1,64,11,4,,,
51,3,100,30,30,,,
52,1,62,16,15,,,
53,3,100,23,15,,,
54,,,21,18,2,73,
55,,,30,27,2,56,
56,,,20,10,2,87,
57,,,24,12,2,78,
58,,,29,28,0,0,
59,,,28,24,2,83,
60,,,10,6,2,54,
61,2,74,30,13,,,
62,,,18,14,2,74,
63,,,11,8,1,39,
64,,,2,3,2,54,
65,2,97,19,13,,,
66,,,9,5,3,100,
67,2,55,1,1,,,
68,,,27,30,1,32,
69,0,39,6,3,,,
70,3,100,18,12,,,
71,,,17,14,2,56,
72,,,8,24,1,21,
73,2,71,18,11,,,
74,,,13,9,2,61,
75,,,30,28,2,64,
76,,,7,8,1,8,
77,,,25,23,2,91,
78,1,55,5,7,,,
79,,,19,15,2,68,
80,,,3,5,1,50,
81,,,15,16,1,2,
82,1,83,2,3,,,
83,,,25,21,1,30,
84,1,62,5,3,,,
85,,,5,1,2,64,
86,2,98,1,3,,,
87,,,23,20,2,50,
88,,,12,13,2,77,
89,,,27,17,2,84,
90,,,7,15,1,3,
91,,,4,4,1,49,
92,,,7,23,1,2,
93,,,7,9,1,2,
94,,,7,17,1,2,
95,,,7,13,1,2,
96,,,7,20,1,2,
97,1,72,3,4,,,
98,,,11,11,1,39,
99,,,7,2,1,2,
100,,,6,2,1,42,
101,,,7,4,1,2,
102,,,7,16,1,2,
103,,,7,30,1,30,
104,,,7,11,1,2,
105,2,99,3,5,,,
106,2,93,2,4,,,
107,,,6,21,1,5,
108,3,100,16,14,,,
109,,,7,7,1,2,
110,2,91,6,7,,,
111,,,4,7,1,40,
112,,,7,1,1,3,
113,3,100,23,16,,,
114,3,100,26,14,,,
