version,2,reserved,reserved,reserved,reserved,reserved,reserved
Faked Wargasm,9JLQ0Q8J,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/08/14,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Butterburger,11,PLQLJ8QU,109,1,11,109
3,Nordar,11,90G8OUYU,109,1,11,109
4,Space12345,10,8002Y989,89,1,10,90
5,CactusClan,10,2PQ89PQ82,89,1,10,89
6,ConcretePanda,10,GR2PPPVJ,88,1,10,89
7,Sno,10,GQV9G9VV,88,1,10,88
8,Chris,10,229YCRYQV,86,,10,87
9,Nordar 2,10,Q2R202V2,86,,10,85
10,Darth Carlos,10,VJG8CCUG,72,,10,70
11,726,10,YPQVU8G8,70,1,9,70
12,ThatAmagnus,10,GPGQC89C,70,1,9,70
13,Eleazar,9,C8GRJVL0,70,1,9,70
14,Czech1Czech2,9,22CP2Y828,70,1,9,70
15,Amagnus,9,JVQ8JPQV,69,1,9,69
16,RedACE,9,GRJLGCUQ,69,1,9,69
17,Mord,9,22JGQUCJQ,69,1,9,69
18,UTiger13,9,2OVQLGRUJ,69,1,9,68
19,Soulsek,9,2LRQGVR09,69,1,9,68
20,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,68
21,Mr. Pizza,9,LU2L8JUV,69,1,9,68
22,Corey,9,GLJRRGV9,69,1,9,68
23,Dada 1974,9,GQ0JCQJQ,68,,9,67
24,Aleister Crowle,9,Q9922RUU,68,,9,67
25,Frog,9,2JVLYQQP,68,,9,67
26,Captain America,9,G9YRJ09,67,,9,67
27,Poz,9,PPRYLOUY,66,,9,67
28,Double G,9,JY8R9G9U,66,,9,66
29,MrBates,9,22Y)YUL9,64,,9,65
30,YeahRocks,9,8880VGP80,62,,9,65
1,,,24,24,2,94,
2,2,94,25,17,,,
3,,,18,19,3,100,
4,3,100,20,13,,,
5,,,15,13,3,100,
6,,,25,24,2,96,
7,,,26,28,2,67,
8,,,13,15,2,98,
9,,,28,28,2,87,
10,3,100,28,27,,,
11,,,16,15,3,100,
12,,,22,25,2,99,
13,2,79,17,16,,,
14,3,100,25,15,,,
15,,,14,18,3,100,
16,,,11,13,3,100,
17,,,20,19,3,100,
18,,,19,18,2,90,
19,3,100,27,25,,,
20,3,100,30,30,,,
21,,,28,25,2,92,
22,,,27,30,3,100,
23,1,85,16,16,,,
24,,,25,22,3,100,
25,,,28,30,3,100,
26,3,100,19,22,,,
27,2,58,30,26,,,
28,1,60,27,24,,,
29,1,74,28,26,,,
30,2,73,16,17,,,
31,2,97,22,26,,,
32,,,6,4,2,84,
33,,,22,22,3,100,
34,,,30,29,3,100,
35,3,100,21,24,,,
36,1,61,12,10,,,
37,,,13,14,3,100,
38,,,29,29,3,100,
39,2,79,20,12,,,
40,1,49,26,26,,,
41,1,43,6,2,,,
42,,,8,27,2,62,
43,2,65,19,23,,,
44,,,8,6,3,100,
45,,,26,27,2,76,
46,,,17,23,1,58,
47,,,26,23,1,47,
48,2,83,24,21,,,
49,2,66,23,23,,,
50,,,7,4,3,100,
51,3,100,11,11,,,
52,,,12,12,1,65,
53,,,23,26,3,100,
54,2,70,24,20,,,
55,,,1,8,2,56,
56,2,64,29,29,,,
57,2,75,23,21,,,
58,,,2,26,0,35,
59,,,21,12,3,100,
60,1,70,11,10,,,
61,,,2,2,2,76,
62,,,19,11,2,97,
63,3,100,17,14,,,
64,,,17,17,2,98,
65,,,26,11,0,47,
66,,,10,10,3,100,
67,,,19,17,2,78,
68,2,98,22,29,,,
69,2,68,13,19,,,
70,,,17,16,3,100,
71,2,64,29,28,,,
72,2,82,7,6,,,
73,2,93,18,20,,,
74,,,26,21,3,100,
75,3,100,18,28,,,
76,,,24,20,2,99,
77,,,9,5,2,79,
78,3,100,21,29,,,
79,,,4,1,3,100,
80,1,72,15,17,,,
81,,,19,21,3,100,
82,3,100,14,20,,,
83,,,6,5,2,83,
84,,,12,10,3,100,
85,2,86,8,9,,,
86,3,100,15,23,,,
87,2,59,1,2,,,
88,,,24,14,3,100,
89,2,86,13,18,,,
90,2,97,26,19,,,
91,3,100,14,17,,,
92,3,100,9,10,,,
93,1,94,12,26,,,
94,3,100,8,12,,,
95,,,9,9,3,100,
96,,,5,16,1,42,
97,0,46,1,1,,,
98,,,3,20,0,22,
99,,,3,3,3,100,
100,,,1,1,1,65,
101,3,100,4,16,,,
102,,,6,8,1,40,
103,3,100,7,26,,,
104,2,91,2,4,,,
105,,,5,6,1,56,
106,,,6,7,2,67,
107,2,52,4,8,,,
108,2,92,10,7,,,
109,3,100,9,18,,,
110,2,60,2,5,,,
111,,,6,9,2,83,
112,2,94,3,3,,,
113,,,6,2,3,100,
114,3,100,10,19,,,
115,,,5,7,0,40,
116,2,83,3,1,,,
117,3,100,5,21,,,
118,,,5,3,3,100,
119,2,60,5,9,,,
