version,2,reserved,reserved,reserved,reserved,reserved,reserved
Wolverines 3,82U88CR9,,JTJ,2R9RCV9V,,S5,
40,,,,,,,
2016/08/16,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109
2,Butterburger,11,PLQLJ8QU,109,1,11,109
3,Bob,11,CG2GP2PV,109,,11,107
4,Nordar,11,90G8OUYU,109,,11,107
5,DarthCarlos10,10,8YVP9R8V,90,,11,107
6,CactusClan,10,2PQ89PQ82,89,1,10,89
7,ConcretePanda,10,GR2PPPVJ,88,1,10,88
8,Atlas,10,RJ9PJ9CC,88,1,10,88
9,SwuTangClan,10,8G9LVLP0,87,1,10,88
10,Chris,10,229YCRYQV,86,,10,85
11,Nordar 2,10,Q2R202V2,86,,10,85
12,Aboy,10,VQ9PUJV2,85,,10,85
13,Darth Carlos,10,VJG8CCUG,72,,10,85
14,ThatAmagnus,10,GPGQC89C,70,,10,85
15,Eleazar,9,C8GRJVL0,70,,10,85
16,Czech1Czech2,9,22CP2Y828,70,,10,84
17,Mord,9,22JGQUCJQ,69,,10,70
18,Amagnus,9,JVQ8JPQV,69,1,9,68
19,RedACE,9,GRJLGCUQ,69,1,9,68
20,Dawnny,9,20C09U82U,69,1,9,68
21,nato,9,2PQ9OVQOV,69,1,9,68
22,Whooboy,9,22UOVV2JJ,69,,9,67
23,Ohio-Legend-216,9,29QLGYC9Q,69,,9,67
24,Mr. Pizza,9,LU2L8JUV,69,,9,67
25,Corey,9,GLJRRGV9,69,,9,65
26,Dada 1974,9,GQ0JCQJQ,68,,9,64
27,Lacey Clan,9,R08YP9Q8,68,,9,63
28,Prince Mohsin,9,8GGJ8P2G,68,,9,63
29,Neifen,9,98QU2PQP,68,,9,63
30,Frog,9,2JVLYQQP,68,,9,63
31,Aleister Crowle,9,Q9922RUU,68,,9,62
32,Captain America,9,G9YRJ09,67,,9,62
33,SlimShady,9,VQPRP0V0,67,,9,62
34,Poz,9,PPRYLOUY,66,,9,60
35,Double G,9,JY8R9G9U,66,,9,59
36,beteljuice,9,29OV2LQRR,64,,8,55
37,YeahRocks,9,8880VGP80,62,,8,55
38,K.,9,2PJRJYGYV,58,,8,54
39,Amagnus8,8,8U8GCLJR,51,,8,52
40,ThatDude,8,VJV8J98G,51,,5,4
1,,,40,37,3,100,
2,3,100,35,27,,,
3,3,100,40,40,,,
4,3,100,3,5,,,
5,,,39,37,2,71,
6,3,100,32,35,,,
7,,,39,38,3,100,
8,,,37,29,1,50,
9,2,84,12,15,,,
10,3,100,29,29,,,
11,3,100,12,16,,,
12,3,100,24,22,,,
13,3,100,39,37,,,
14,,,37,39,1,49,
15,3,100,40,39,,,
16,3,100,3,1,,,
17,,,16,16,1,87,
18,3,100,32,36,,,
19,,,38,38,2,98,
20,,,12,10,2,74,
21,,,29,28,2,66,
22,3,100,35,30,,,
23,,,38,29,3,100,
24,,,37,33,1,72,
25,,,36,39,2,54,
26,3,100,39,38,,,
27,,,17,16,2,83,
28,3,100,30,33,,,
29,2,98,23,18,,,
30,,,9,7,1,58,
31,,,36,33,1,50,
32,3,100,31,34,,,
33,3,100,21,23,,,
34,3,100,34,31,,,
35,2,86,10,12,,,
36,3,100,22,18,,,
37,2,94,24,21,,,
38,,,15,11,2,85,
39,2,82,14,17,,,
40,3,100,21,21,,,
41,,,17,30,1,53,
42,3,100,30,32,,,
43,1,63,26,26,,,
44,2,78,7,10,,,
45,1,90,18,19,,,
46,2,94,20,20,,,
47,,,19,14,2,90,
48,,,13,12,2,83,
49,,,34,26,1,58,
50,2,56,11,13,,,
51,2,94,37,26,,,
52,3,100,14,19,,,
53,,,35,30,3,100,
54,,,11,9,2,72,
55,3,100,38,28,,,
56,,,17,14,3,100,
57,3,100,26,25,,,
58,2,74,11,15,,,
59,3,100,23,24,,,
60,1,70,22,17,,,
61,,,16,11,3,100,
62,,,32,26,1,63,
63,2,52,20,17,,,
64,2,60,16,20,,,
65,3,100,34,26,,,
66,,,34,31,2,62,
67,,,26,25,0,43,
68,,,14,8,2,97,
69,,,26,19,2,98,
70,2,82,37,20,,,
71,,,9,8,2,68,
72,,,30,24,1,59,
73,,,24,22,0,39,
74,2,94,36,17,,,
75,,,30,25,2,76,
76,1,47,19,20,,,
77,2,93,9,14,,,
78,2,84,10,11,,,
79,,,18,13,2,97,
80,0,49,19,9,,,
81,2,57,28,17,,,
82,3,100,9,13,,,
83,3,100,18,20,,,
84,2,52,7,7,,,
85,1,90,5,10,,,
86,,,31,35,1,56,
87,3,100,13,14,,,
88,3,100,33,17,,,
89,,,33,35,3,100,
90,,,37,31,2,66,
91,2,52,29,20,,,
92,,,27,27,2,51,
93,2,50,33,8,,,
94,,,36,32,3,100,
95,0,26,31,2,,,
96,,,20,9,3,100,
97,,,21,17,3,100,
98,,,31,22,2,83,
99,1,47,38,12,,,
100,2,62,28,20,,,
101,1,67,1,2,,,
102,1,54,17,4,,,
103,2,85,1,3,,,
104,,,37,24,1,70,
105,2,89,25,20,,,
106,2,79,2,4,,,
107,,,37,34,2,81,
108,1,52,17,6,,,
109,,,37,23,2,93,
110,,,32,20,1,78,
111,2,93,8,9,,,
112,3,100,15,19,,,
113,,,3,2,2,76,
114,3,100,27,25,,,
115,2,58,25,18,,,
116,,,22,17,2,92,
117,,,24,19,2,74,
118,,,23,18,2,56,
119,,,10,13,2,52,
120,,,8,4,2,73,
121,2,58,4,2,,,
122,3,100,2,6,,,
123,,,34,23,1,86,
124,3,100,13,15,,,
125,2,74,8,10,,,
126,,,2,2,2,60,
127,1,77,27,21,,,
128,,,26,28,2,73,
129,,,5,3,2,62,
130,3,100,15,18,,,
131,,,1,1,0,43,
132,1,34,36,12,,,
133,,,34,20,2,68,
134,,,7,4,2,79,
135,,,6,6,2,53,
136,,,1,3,0,30,
137,1,78,4,4,,,
138,,,4,1,1,67,
139,,,11,10,2,72,
140,2,78,6,12,,,
141,,,25,21,2,61,
142,,,1,6,0,37,
143,,,15,18,1,7,
144,2,75,5,9,,,
145,,,10,12,2,50,
146,,,37,32,2,86,
147,,,28,7,3,100,
148,2,68,6,11,,,
149,3,100,16,24,,,
