version,2,reserved,reserved,reserved,reserved,reserved,reserved
Team Taiwan,J9QGCLG,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/08/21,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109
2,Nordar,11,90G8OUYU,109,1,11,109
3,CactusClan,10,2PQ89PQ82,89,1,11,109
4,ConcretePanda,10,GR2PPPVJ,88,,11,106
5,Sno,10,GQV9G9VV,88,1,10,89
6,Atlas,10,RJ9PJ9CC,88,1,10,88
7,SwuTangClan,10,8G9LVLP0,87,1,10,88
8,Chris,10,229YCRYQV,86,,10,87
9,Nordar 2,10,Q2R202V2,86,,10,86
10,Aboy,10,VQ9PUJV2,85,,10,86
11,ThatAmagnus,10,GPGQC89C,70,1,9,69
12,Eleazar,9,C8GRJVL0,70,1,9,69
13,Czech1Czech2,9,22CP2Y828,70,1,9,69
14,Mord,9,22JGQUCJQ,69,1,9,68
15,RedACE,9,GRJLGCUQ,69,1,9,68
16,Dawnny,9,20C09U82U,69,1,9,68
17,UTiger13,9,2OVQLGRUJ,69,1,9,68
18,Whooboy,9,22UOVV2JJ,69,1,9,68
19,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,68
20,Corey,9,GLJRRGV9,69,,9,67
21,Mr. Pizza,9,LU2L8JUV,69,,9,66
22,Lacey Clan,9,R08YP9Q8,68,,9,66
23,Prince Mohsin,9,8GGJ8P2G,68,,10,66
24,Aleister Crowle,9,Q9922RUU,68,,9,65
25,Captain America,9,G9YRJ09,67,,9,64
26,SlimShady,9,VQPRP0V0,67,,9,63
27,Poz,9,PPRYLOUY,66,,9,61
28,Double G,9,JY8R9G9U,66,,8,55
29,YeahRocks,9,8880VGP80,62,,8,50
30,K.,9,2PJRJYGYV,58,,8,49
1,3,100,30,30,,,
2,,,29,24,1,56,
3,3,100,28,21,,,
4,2,58,25,26,,,
5,3,100,30,29,,,
6,,,11,9,2,98,
7,,,27,18,2,62,
8,1,71,28,25,,,
9,3,100,19,15,,,
10,3,100,14,12,,,
11,,,16,15,1,60,
12,3,100,22,22,,,
13,2,99,20,16,,,
14,2,74,16,17,,,
15,,,30,26,2,68,
16,,,22,21,3,100,
17,,,30,24,2,98,
18,3,100,14,14,,,
19,,,12,11,2,85,
20,2,94,17,13,,,
21,,,3,3,2,80,
22,2,98,10,10,,,
23,,,20,21,2,68,
24,2,64,20,11,,,
25,,,29,29,2,56,
26,2,86,10,8,,,
27,2,50,9,3,,,
28,,,24,15,3,100,
29,2,91,22,24,,,
30,3,100,27,26,,,
31,,,14,12,0,45,
32,2,93,19,18,,,
33,3,100,21,25,,,
34,,,28,20,3,100,
35,,,15,11,0,41,
36,,,10,8,2,80,
37,,,25,29,1,47,
38,,,29,26,2,75,
39,2,50,9,4,,,
40,,,2,3,1,63,
41,3,100,21,24,,,
42,,,23,14,1,75,
43,3,100,17,11,,,
44,,,18,12,2,78,
45,2,92,7,9,,,
46,3,100,16,18,,,
47,2,78,23,19,,,
48,,,4,4,0,45,
49,,,26,23,2,68,
50,,,4,2,3,100,
51,3,100,15,19,,,
52,2,91,8,7,,,
53,,,7,4,2,50,
54,,,1,2,2,77,
55,,,6,1,2,81,
56,3,100,26,20,,,
57,3,100,8,9,,,
58,,,29,27,2,52,
59,,,19,14,2,94,
60,,,13,10,3,100,
61,,,23,23,1,60,
62,2,82,23,27,,,
63,,,8,7,2,75,
64,,,5,1,1,47,
65,,,25,20,2,72,
66,3,100,29,28,,,
67,,,14,9,3,100,
68,2,98,26,13,,,
69,,,11,10,3,100,
70,,,30,27,1,53,
71,,,21,22,2,71,
72,,,27,16,1,50,
73,1,59,1,1,,,
74,,,15,8,2,94,
75,,,30,25,3,100,
76,,,17,6,2,98,
77,,,9,5,2,58,
78,,,29,17,3,100,
79,1,53,1,2,,,
80,,,27,25,1,60,
81,3,100,12,13,,,
82,3,100,27,23,,,
83,,,16,6,2,97,
84,,,5,5,2,59,
85,3,100,12,16,,,
86,,,27,28,1,27,
87,1,87,7,7,,,
88,2,72,11,5,,,
89,,,23,7,3,100,
90,,,26,18,2,99,
91,3,100,13,17,,,
92,,,27,22,1,44,
93,3,100,24,27,,,
94,,,25,16,0,35,
95,0,48,24,6,,,
96,2,52,29,12,,,
97,2,55,11,6,,,
98,3,100,18,11,,,
99,0,35,25,4,,,
100,3,100,18,13,,,
101,2,83,6,10,,,
102,2,83,5,8,,,
103,1,85,2,2,,,
104,2,99,13,15,,,
105,2,61,4,10,,,
106,1,74,2,1,,,
107,0,44,5,2,,,
108,2,74,6,8,,,
109,,,30,28,2,76,
110,2,68,4,5,,,
111,,,26,17,2,78,
112,1,50,3,2,,,
113,3,100,15,13,,,
114,2,92,3,5,,,
