version,2,reserved,reserved,reserved,reserved,reserved,reserved
Mega Persian,PPGGVLCQ,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/08/24,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,110
2,Nordar,11,90G8OUYU,109,,11,104
3,CactusClan,10,2PQ89PQ82,89,,10,87
4,ConcretePanda,10,GR2PPPVJ,88,,10,87
5,Sno,10,GQV9G9VV,88,,10,86
6,SwuTangClan,10,8G9LVLP0,87,,10,86
7,Nordar 2,10,Q2R202V2,86,,10,85
8,Aboy,10,VQ9PUJV2,85,,10,85
9,Darth Carlos,10,VJG8CCUG,72,,10,84
10,ThatAmagnus,10,GPGQC89C,70,,10,84
11,Eleazar,9,C8GRJVL0,70,,10,83
12,Czech1Czech2,9,22CP2Y828,70,,10,82
13,Mord,9,22JGQUCJQ,69,,10,82
14,Amagnus,9,JVQ8JPQV,69,,9,67
15,RedACE,9,GRJLGCUQ,69,,9,67
16,Karen,9,22PLL9GCQ,69,,9,66
17,Nato,9,2PQ9OVQOV,69,,9,66
18,UTiger13,9,2OVQLGRUJ,69,,9,66
19,Whooboy,9,22UOVV2JJ,69,,9,66
20,Ohio-Legend-216,9,29QLGYC9Q,69,,9,66
21,Corey,9,GLJRRGV9,69,,9,65
22,Lacey Clan,9,R08YP9Q8,68,,9,65
23,Prince Mohsin,9,8GGJ8P2G,68,,9,65
24,Aleister Crowle,9,Q9922RUU,68,,9,65
25,Captain America,9,G9YRJ09,67,,9,63
26,SlimShady,9,VQPRP0V0,67,,9,63
27,Double G,9,JY8R9G9U,66,,9,62
28,beteljuice,9,29OV2LQRR,65,,9,62
29,YeahRocks,9,8880VGP80,63,,8,53
30,K.,9,2PJRJYGYV,58,,8,53
1,2,78,27,19,,,
2,,,28,24,1,76,
3,,,11,11,0,45,
4,2,60,27,22,,,
5,3,100,30,30,,,
6,3,100,12,14,,,
7,3,100,22,25,,,
8,2,92,14,17,,,
9,3,100,21,23,,,
10,3,100,30,29,,,
11,3,100,18,18,,,
12,0,48,22,26,,,
13,1,76,12,17,,,
14,2,61,20,15,,,
15,3,100,18,19,,,
16,2,91,21,22,,,
17,3,100,28,28,,,
18,3,100,20,17,,,
19,3,100,25,27,,,
20,3,100,23,26,,,
21,3,100,26,22,,,
22,,,2,1,1,63,
23,,,7,7,1,40,
24,,,30,19,3,100,
25,3,100,14,15,,,
26,2,83,28,20,,,
27,3,100,25,24,,,
28,0,44,23,20,,,
29,,,1,1,0,36,
30,,,25,18,2,59,
31,3,100,24,21,,,
32,2,64,16,16,,,
33,,,26,24,1,46,
34,,,18,16,2,53,
35,3,100,24,16,,,
36,,,6,3,2,61,
37,,,10,10,3,100,
38,,,24,21,1,47,
39,,,26,22,2,79,
40,,,8,6,2,73,
41,,,22,20,2,71,
42,,,14,14,2,82,
43,3,100,11,20,,,
44,3,100,29,15,,,
45,2,50,17,13,,,
46,0,45,26,13,,,
47,1,59,11,12,,,
48,,,23,22,2,65,
49,0,35,29,13,,,
50,,,3,3,2,52,
51,1,61,19,9,,,
52,0,47,17,11,,,
53,2,83,19,8,,,
54,,,12,12,1,48,
55,1,79,5,5,,,
56,2,67,6,9,,,
57,1,50,13,12,,,
58,1,62,2,2,,,
59,,,27,26,2,58,
60,0,32,1,1,,,
61,3,100,7,5,,,
62,1,46,2,1,,,
63,2,63,16,11,,,
64,2,52,10,10,,,
65,2,93,7,10,,,
66,3,100,6,12,,,
67,2,68,5,13,,,
68,,,21,26,0,41,
69,2,60,4,6,,,
70,2,81,1,3,,,
71,,,29,29,1,25,
72,1,68,15,7,,,
73,1,54,4,4,,,
74,,,21,23,2,61,
75,,,9,7,2,61,
76,2,90,10,7,,,
77,,,29,28,2,66,
78,3,100,9,9,,,
79,3,100,15,18,,,
80,,,1,2,0,40,
81,,,5,4,2,54,
82,2,61,8,13,,,
83,,,20,21,1,16,
84,2,84,9,4,,,
85,1,72,8,11,,,
86,,,1,10,0,30,
87,,,11,8,2,78,
88,1,62,3,3,,,
89,,,4,8,1,45,
90,,,29,15,2,98,
91,,,15,17,2,70,
92,,,28,29,1,27,
93,,,13,13,2,60,
94,,,19,18,2,60,
95,1,61,3,13,,,
96,,,17,17,2,58,
97,,,16,13,2,79,
