version,2,reserved,reserved,reserved,reserved,reserved,reserved
Da Bears,800VYPCG,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/08/30,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Nordar,11,90G8OUYU,109,1,11,109
3,DarthCarlos10,10,8YVP9R8V,90,1,11,107
4,CactusClan,10,2PQ89PQ82,89,1,11,107
5,ConcretePanda,10,GR2PPPVJ,88,,11,90
6,Sno,10,GQV9G9VV,88,,11,90
7,Atlas,10,RJ9PJ9CC,88,,11,90
8,SwuTangClan,10,8G9LVLP0,87,1,10,89
9,Chris,10,229YCRYQV,86,1,10,89
10,Nordar 2,10,Q2R202V2,86,1,10,88
11,Aboy,10,VQ9PUJV2,85,,10,71
12,726,10,YPQVU8G8,70,,10,70
13,ThatAmagnus,10,GPGQC89C,70,,10,70
14,Czech1Czech2,9,22CP2Y828,70,,10,70
15,nato,9,2PQ9OVQOV,69,,10,70
16,Amagnus,9,JVQ8JPQV,69,1,9,69
17,RedACE,9,GRJLGCUQ,69,1,9,68
18,Batman,9,2QU9CC8,69,,9,67
19,UTiger13,9,2OVQLGRUJ,69,,9,66
20,Whooboy,9,22UOVV2JJ,69,,11,66
21,Ohio-Legend-216,9,29QLGYC9Q,69,,10,65
22,Jippieh Yeah,9,YCYV88UV,69,,9,63
23,Corey,9,GLJRRGV9,69,,9,63
24,Lacey Clan,9,R08YP9Q8,68,,9,61
25,Dada 1974,9,GQ0JCQJQ,68,,9,59
26,Michael,9,VU2V9CLV,68,,9,57
27,Aleister Crowle,9,Q9922RUU,68,,9,57
28,Poz,9,PPRYLOUY,65,,10,33
29,YeahRocks,9,8880VGP80,63,,9,26
30,K.,9,2PJRJYGYV,59,,6,20
1,,,30,29,2,58,
2,,,18,16,2,91,
3,,,4,4,1,70,
4,,,29,27,2,82,
5,,,30,24,3,100,
6,,,28,22,1,71,
7,,,10,7,2,75,
8,,,26,17,0,43,
9,,,16,13,3,100,
10,3,100,6,11,,,
11,,,28,29,2,55,
12,3,100,8,12,,,
13,,,12,12,3,100,
14,,,15,13,3,100,
15,,,13,28,3,100,
16,,,29,22,3,100,
17,,,23,16,3,100,
18,,,9,7,2,75,
19,2,89,6,13,,,
20,,,3,30,1,5,
21,3,100,25,25,,,
22,,,14,14,3,100,
23,,,26,23,1,55,
24,,,1,8,0,39,
25,,,6,30,0,6,
26,2,86,15,21,,,
27,,,3,2,2,77,
28,2,77,16,16,,,
29,3,100,5,15,,,
30,3,100,8,14,,,
31,,,11,9,2,96,
32,,,19,14,2,99,
33,,,18,15,2,97,
34,3,100,30,30,,,
35,3,100,23,22,,,
36,,,28,27,1,94,
37,,,19,12,3,100,
38,3,100,28,26,,,
39,,,28,26,2,71,
40,3,100,24,24,,,
41,,,17,15,3,100,
42,3,100,14,17,,,
43,3,100,30,29,,,
44,3,100,23,23,,,
45,3,100,15,18,,,
46,3,100,24,28,,,
47,2,59,13,8,,,
48,3,100,19,20,,,
49,,,27,17,2,74,
50,,,26,18,1,82,
51,2,88,25,19,,,
52,3,100,26,27,,,
53,3,100,16,19,,,
54,3,100,19,16,,,
55,3,100,14,21,,,
56,,,1,3,2,87,
57,2,69,17,5,,,
58,2,64,21,10,,,
59,2,64,13,9,,,
60,,,28,18,1,84,
61,1,37,20,4,,,
62,,,28,24,1,82,
63,2,68,17,7,,,
64,0,33,27,1,,,
65,,,18,11,3,100,
66,2,74,21,13,,,
67,,,20,11,3,100,
68,,,27,25,2,99,
69,,,21,25,0,37,
70,2,89,18,13,,,
71,,,21,19,3,100,
72,,,22,19,3,100,
73,2,59,27,13,,,
74,,,2,1,2,60,
75,2,99,26,13,,,
76,0,49,18,6,,,
77,,,26,26,1,87,
78,,,24,28,3,100,
79,2,94,12,13,,,
80,3,100,20,13,,,
81,,,11,6,3,100,
82,,,9,6,2,75,
83,2,65,12,6,,,
84,2,71,7,10,,,
85,,,7,4,3,100,
86,,,25,23,2,94,
87,3,100,9,9,,,
88,,,28,21,3,100,
89,,,27,21,3,100,
90,2,61,10,7,,,
91,2,86,3,8,,,
92,2,60,10,10,,,
93,2,99,2,4,,,
94,,,26,8,3,100,
95,1,33,4,3,,,
96,2,68,3,2,,,
97,2,96,9,8,,,
98,,,8,20,2,78,
99,2,59,11,8,,,
100,2,56,2,1,,,
101,1,39,29,10,,,
102,2,54,5,3,,,
103,,,6,5,2,79,
104,,,5,20,3,100,
105,1,31,29,8,,,
106,0,42,7,8,,,
107,,,4,2,3,100,
108,2,79,11,10,,,
109,3,100,1,8,,,
110,,,9,1,3,100,
111,,,10,5,2,78,
112,,,25,9,3,100,
113,1,46,4,10,,,
114,3,100,22,17,,,
115,2,72,1,10,,,
