version,2,reserved,reserved,reserved,reserved,reserved,reserved
Shadow Ravens,2VVLCUC2,,JTJ,2R9RCV9V,,S5,
30,,,,,,,
2016/09/04,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Butterburger,11,PLQLJ8QU,110,1,11,109
3,CactusClan,10,2PQ89PQ82,89,1,10,89
4,Atlas,10,RJ9PJ9CC,88,1,10,89
5,SwuTangClan,10,8G9LVLP0,87,1,10,88
6,Matley,10,G9RGC8G8,87,,10,87
7,Chris,10,229YCRYQV,86,,10,86
8,Uclagee,10,V2QV8R08,86,,10,86
9,Eleazar,9,C8GRJVL0,70,1,9,70
10,Czech1Czech2,9,22CP2Y828,70,1,9,70
11,Japan-1,9,L9Q0JCJJ,70,1,9,70
12,rOb,9,28PPGJY8R,70,1,9,70
13,RedACE,9,GRJLGCUQ,70,1,9,70
14,Amagnus,9,JVQ8JPQV,70,1,9,70
15,Batman,9,2QU9CC8,69,1,9,70
16,UTiger13,9,2OVQLGRUJ,69,1,9,70
17,Hades,9,QVRVCL2J,69,1,9,70
18,Whooboy,9,22UOVV2JJ,69,1,9,69
19,Slim Shady,9,202VRUP9G,69,1,9,69
20,Jippieh Yeah,9,YCYV88UV,69,1,9,69
21,Ace,9,RCYG9J2J,69,1,9,69
22,Mr. Pizza,9,LU2L8JUV,69,1,9,69
23,Michael,9,VU2V9CLV,68,1,9,69
24,Aleister Crowle,9,Q9922RUU,68,1,9,69
25,Captain America,9,G9YRJ09,67,1,9,69
26,Abyan,9,LJVUQ2Q,67,1,9,68
27,SlimShady,9,VQPRP0V0,67,,9,67
28,Poz,9,PPRYLOUY,66,,9,67
29,Double G,9,JY8R9G9U,66,,9,67
30,YeahRocks,9,8880VGP80,63,,9,66
1,,,17,17,2,72,
2,,,27,27,1,83,
3,2,87,29,23,,,
4,2,97,27,26,,,
5,,,18,21,3,100,
6,3,100,29,24,,,
7,,,28,27,3,100,
8,,,10,11,2,93,
9,,,27,30,1,52,
10,2,85,28,21,,,
11,,,21,25,2,79,
12,2,94,22,23,,,
13,1,68,4,6,,,
14,,,9,18,2,82,
15,,,11,22,2,82,
16,,,12,12,1,47,
17,,,29,29,3,100,
18,,,15,19,1,49,
19,,,27,29,3,100,
20,,,22,22,3,100,
21,2,61,4,8,,,
22,,,12,9,3,100,
23,,,26,28,3,100,
24,,,11,9,2,74,
25,2,61,6,3,,,
26,1,89,28,22,,,
27,,,23,26,3,100,
28,,,20,19,3,100,
29,2,95,21,20,,,
30,,,25,30,1,51,
31,,,16,25,2,77,
32,,,30,28,3,100,
33,,,21,26,2,95,
34,,,13,14,2,87,
35,,,16,20,2,98,
36,1,52,21,22,,,
37,2,94,16,15,,,
38,,,24,20,3,100,
39,,,8,7,1,73,
40,,,2,6,2,57,
41,,,7,7,1,70,
42,,,9,12,2,94,
43,,,9,23,3,100,
44,2,91,23,25,,,
45,2,85,17,26,,,
46,3,100,22,25,,,
47,,,14,17,2,87,
48,,,15,16,3,100,
49,,,10,24,2,75,
50,2,94,26,30,,,
51,2,70,24,14,,,
52,,,10,23,3,100,
53,2,76,25,10,,,
54,,,13,16,1,99,
55,2,87,23,27,,,
56,2,79,26,29,,,
57,2,89,17,21,,,
58,1,72,15,19,,,
59,3,100,9,9,,,
60,3,100,25,12,,,
61,3,100,19,10,,,
62,,,1,6,2,59,
63,,,11,13,2,94,
64,,,25,24,1,74,
65,,,19,14,1,69,
66,1,68,27,23,,,
67,2,98,30,28,,,
68,,,16,10,0,47,
69,3,100,7,6,,,
70,3,100,11,16,,,
71,1,97,12,18,,,
72,,,19,18,2,90,
73,2,95,30,26,,,
74,2,97,16,29,,,
75,,,11,15,3,100,
76,3,100,24,30,,,
77,2,83,1,2,,,
78,3,100,15,23,,,
79,2,89,13,20,,,
80,1,90,10,22,,,
81,,,3,1,2,74,
82,3,100,12,28,,,
83,,,14,8,3,100,
84,3,100,14,27,,,
85,2,54,1,1,,,
86,,,25,11,3,100,
87,3,100,13,26,,,
88,3,100,5,7,,,
89,3,100,8,13,,,
90,,,17,21,3,100,
91,3,100,19,29,,,
92,,,21,15,3,100,
93,1,56,18,22,,,
94,2,72,2,4,,,
95,3,100,3,22,,,
96,3,100,6,11,,,
97,3,100,10,18,,,
98,3,100,18,21,,,
99,2,70,3,17,,,
100,,,6,5,2,79,
101,2,72,9,19,,,
102,3,100,14,20,,,
103,2,79,8,15,,,
104,3,100,2,5,,,
105,,,13,13,3,100,
106,,,4,1,3,100,
107,2,99,20,15,,,
108,,,19,3,3,100,
109,,,5,2,3,100,
110,,,7,4,2,83,
111,2,89,11,14,,,
112,,,8,10,1,36,
113,,,8,3,1,62,
114,,,16,8,3,100,
115,,,8,5,2,83,
116,2,79,7,8,,,
117,1,68,5,8,,,
118,1,54,20,19,,,
119,,,7,2,3,100,
120,,,8,4,2,86,
