version,2,reserved,reserved,reserved,reserved,reserved,reserved
Jakarta,22VUQPPL,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/09/07,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,106
2,Butterburger,11,PLQLJ8QU,110,,11,105
3,Space12345,10,8002Y989,89,1,10,89
4,CactusClan,10,2PQ89PQ82,89,1,10,88
5,SwuTangClan,10,8G9LVLP0,87,,10,87
6,Matley,10,G9RGC8G8,87,,10,86
7,Chris,10,229YCRYQV,86,,10,86
8,Aboy,10,VQ9PUJV2,86,,10,86
9,ThatAmagnus,10,GPGQC89C,70,,10,86
10,Eleazar,9,C8GRJVL0,70,,10,85
11,Czech1Czech2,9,22CP2Y828,70,,10,85
12,rOb,9,28PPGJY8R,70,,10,84
13,Amagnus,9,JVQ8JPQV,70,1,9,68
14,nato,9,2PQ9OVQOV,70,1,9,68
15,RedACE,9,GRJLGCUQ,70,1,9,68
16,Karen,9,22PLL9GCQ,70,1,9,68
17,Batman,9,2QU9CC8,70,,9,67
18,UTiger13,9,2OVQLGRUJ,69,,9,67
19,Whooboy,9,22UOVV2JJ,69,,9,67
20,Slim Shady,9,202VRUP9G,69,,9,67
21,Jippieh Yeah,9,YCYV88UV,69,,9,67
22,corey,9,GLJRRGV9,69,,9,67
23,Neifen,9,98QU2PQP,68,,9,66
24,Michael,9,VU2V9CLV,68,,9,65
25,Captain America,9,G9YRJ09,67,,9,65
26,SlimShady,9,VQPRP0V0,67,,9,65
27,Poz,9,PPRYLOUY,66,,9,62
28,Double G,9,JY8R9G9U,66,,8,53
29,XXSREMMLIFEXX,9,R8GG8YL8,64,,8,51
30,YeahRocks,9,8880VGP80,63,,8,49
1,3,100,28,24,,,
2,3,100,28,30,,,
3,1,86,27,25,,,
4,3,100,29,29,,,
5,,,27,27,2,60,
6,,,13,10,2,86,
7,3,100,11,15,,,
8,,,29,26,2,96,
9,2,78,27,26,,,
10,3,100,29,27,,,
11,,,30,28,2,54,
12,,,14,11,2,54,
13,2,86,22,14,,,
14,,,22,22,1,49,
15,,,12,9,3,100,
16,,,22,18,3,100,
17,,,16,15,2,54,
18,3,100,11,13,,,
19,3,100,14,18,,,
20,3,100,22,17,,,
21,,,3,3,2,60,
22,3,100,18,19,,,
23,3,100,14,14,,,
24,3,100,24,21,,,
25,3,100,13,22,,,
26,,,23,23,2,70,
27,1,82,10,16,,,
28,2,56,13,7,,,
29,3,100,15,16,,,
30,3,100,10,23,,,
31,,,30,27,1,43,
32,,,28,25,2,70,
33,,,9,6,2,95,
34,1,62,23,20,,,
35,,,4,4,2,59,
36,3,100,17,20,,,
37,,,10,12,2,69,
38,,,15,13,2,78,
39,3,100,12,26,,,
40,,,17,7,2,97,
41,,,18,15,2,60,
42,,,21,21,2,91,
43,1,54,23,25,,,
44,3,100,20,25,,,
45,2,77,7,9,,,
46,2,80,1,1,,,
47,,,2,2,0,34,
48,,,11,10,2,57,
49,1,52,18,12,,,
50,1,46,24,11,,,
51,,,24,24,2,95,
52,1,48,25,5,,,
53,,,5,5,1,41,
54,1,52,16,10,,,
55,2,99,7,10,,,
56,3,100,1,2,,,
57,,,8,1,2,71,
58,,,26,18,2,86,
59,1,48,19,8,,,
60,1,59,8,11,,,
61,,,19,19,2,68,
62,,,2,3,1,42,
63,3,100,25,28,,,
64,0,48,26,5,,,
65,3,100,2,3,,,
66,,,7,8,1,49,
67,0,40,16,6,,,
68,1,40,19,4,,,
69,,,20,20,1,39,
70,0,48,12,6,,,
71,1,55,26,12,,,
72,,,29,14,2,87,
73,1,74,30,24,,,
74,,,29,28,1,48,
75,3,100,5,12,,,
76,,,20,17,2,91,
77,,,1,11,1,44,
78,,,25,26,1,63,
79,2,78,30,17,,,
80,2,74,15,5,,,
81,2,70,3,6,,,
82,,,25,16,2,58,
83,,,20,16,1,11,
84,2,67,9,4,,,
85,,,25,24,2,60,
86,1,55,4,8,,,
87,3,100,2,4,,,
88,2,56,17,5,,,
89,3,100,6,11,,,
90,,,24,17,2,68,
91,1,70,8,9,,,
92,3,100,3,9,,,
93,0,42,9,8,,,
94,2,61,20,13,,,
95,3,100,4,7,,,
96,0,47,5,6,,,
97,2,71,6,8,,,
