version,2,reserved,reserved,reserved,reserved,reserved,reserved
Gunung Selok,8QYPCR00,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/09/08,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109
2,Butterburger,11,PLQLJ8QU,110,1,11,107
3,Space12345,10,8002Y989,89,,11,105
4,CactusClan,10,2PQ89PQ82,89,,11,99
5,SWuTangClan,10,8G9LVLP0,87,1,10,87
6,Matley,10,G9RGC8G8,87,,10,86
7,Chris,10,229YCRYQV,86,,10,84
8,Aboy,10,VQ9PUJV2,86,,10,83
9,ThatAmagnus,10,GPGQC89C,70,,10,82
10,Eleazar,9,C8GRJVL0,70,1,10,69
11,Czech1Czech2,9,22CP2Y828,70,1,9,68
12,nato,9,2PQ9OVQOV,70,1,9,68
13,Karen,9,22PLL9GCQ,70,1,9,68
14,rOb,9,28PPGJY8R,70,,9,67
15,Amagnus,9,JVQ8JPQV,70,,9,67
16,RedACE,9,GRJLGCUQ,70,,9,66
17,Batman,9,2QU9CC8,70,,9,66
18,UTiger13,9,2OVQLGRUJ,69,,9,65
19,Whooboy,9,22UOVV2JJ,69,,9,65
20,Corey,9,GLJRRGV9,69,,9,65
21,Neifen,9,98QU2PQP,68,,9,64
22,Lacey Clan,9,R08YP9Q8,68,,9,64
23,Michael,9,VU2V9CLV,68,,9,63
24,Aleister Crowle,9,Q9922RUU,68,,9,63
25,SlimShady,9,VQPRP0V0,67,,9,63
26,Poz,9,PPRYLOUY,66,,9,62
27,Double G,9,JY8R9G9U,66,,10,62
28,XXSREMMLIFEXX,9,R8GG8YL8,64,,9,60
29,YeahRocks,9,8880VGP80,63,,9,54
30,K.,9,2PJRJYGYV,59,,8,52
1,,,25,25,2,52,
2,1,54,6,8,,,
3,,,24,24,2,50,
4,,,19,19,2,52,
5,3,100,12,11,,,
6,,,30,30,3,100,
7,3,100,30,30,,,
8,,,6,6,1,45,
9,,,28,28,2,60,
10,,,23,23,1,47,
11,1,84,12,12,,,
12,2,86,27,15,,,
13,2,84,27,22,,,
14,,,7,7,2,55,
15,2,92,26,17,,,
16,,,22,22,2,67,
17,2,91,14,16,,,
18,,,21,21,1,40,
19,2,70,28,27,,,
20,,,20,20,2,65,
21,3,100,25,16,,,
22,,,18,18,2,65,
23,3,100,22,23,,,
24,2,80,2,1,,,
25,,,17,17,2,58,
26,,,15,15,0,47,
27,,,12,12,1,45,
28,,,13,13,2,77,
29,3,100,15,14,,,
30,2,99,1,2,,,
31,3,100,18,17,,,
32,3,100,16,12,,,
33,,,3,3,2,60,
34,3,100,20,13,,,
35,2,82,22,19,,,
36,3,100,20,15,,,
37,3,100,5,6,,,
38,3,100,26,21,,,
39,1,82,30,29,,,
40,3,100,23,18,,,
41,3,100,15,19,,,
42,3,100,14,25,,,
43,3,100,19,10,,,
44,,,27,27,2,67,
45,2,58,7,7,,,
46,2,76,29,20,,,
47,,,26,26,3,100,
48,,,15,7,1,78,
49,3,100,24,26,,,
50,,,10,10,2,91,
51,,,9,9,2,54,
52,0,48,5,4,,,
53,,,8,8,2,71,
54,,,21,26,2,89,
55,,,14,14,2,62,
56,2,75,10,9,,,
57,2,98,29,24,,,
58,,,15,14,2,78,
59,3,100,21,20,,,
60,3,100,25,22,,,
61,3,100,24,28,,,
62,,,11,12,1,48,
63,3,100,13,24,,,
64,2,61,17,5,,,
65,2,89,21,27,,,
66,3,100,23,29,,,
67,2,85,17,9,,,
68,2,80,10,8,,,
69,3,100,18,27,,,
70,,,12,8,2,99,
71,,,16,16,2,61,
72,2,97,1,3,,,
73,3,100,8,8,,,
74,,,2,2,1,45,
75,,,4,4,2,55,
76,,,5,5,2,50,
77,,,29,30,2,54,
78,,,29,28,2,58,
79,,,29,27,1,66,
80,,,1,1,2,52,
81,,,23,29,1,47,
82,,,6,1,3,100,
83,3,100,2,4,,,
84,3,100,7,4,,,
85,1,71,9,7,,,
86,1,77,13,9,,,
87,3,100,3,9,,,
88,3,100,28,20,,,
89,2,58,19,9,,,
90,3,100,16,14,,,
91,1,62,3,7,,,
92,,,29,23,2,93,
93,,,11,6,3,100,
94,,,29,25,3,100,
95,,,28,24,2,67,
96,,,28,22,1,67,
97,,,27,21,2,86,
98,,,23,20,2,72,
99,2,65,9,9,,,
100,2,98,4,7,,,
101,,,27,16,2,86,
102,,,10,3,3,100,
103,2,72,8,7,,,
104,1,75,4,5,,,
105,2,92,11,11,,,
106,2,92,6,7,,,
