version,2,reserved,reserved,reserved,reserved,reserved,reserved
Shqiptaret 2,R9JY9VL,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/09/11,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Space12345,10,8002Y989,89,1,11,110
3,CactusClan,10,2PQ89PQ82,89,,11,107
4,Sno,10,GQV9G9VV,89,,11,91
5,Atlas,10,RJ9PJ9CC,88,,11,91
6,SwuTangClan,10,8G9LVLP0,87,1,10,89
7,Matley,10,G9RGC8G8,87,1,10,89
8,Chris,10,229YCRYQV,86,1,10,88
9,Aboy,10,VQ9PUJV2,86,1,10,88
10,726,10,YPQVU8G8,70,,10,70
11,ThatAmagnus,10,GPGQC89C,70,1,9,70
12,Eleazar,9,C8GRJVL0,70,1,9,69
13,Czech1Czech2,9,22CP2Y828,70,1,9,69
14,nato,9,2PQ9OVQOV,70,1,9,69
15,Karen,9,22PLL9GCQ,70,1,9,69
16,rOb,9,28PPGJY8R,70,1,9,69
17,Amagnus,9,JVQ8JPQV,70,1,9,69
18,Batman,9,2QU9CC8,70,1,9,68
19,UTiger13,9,2OVQLGRUJ,69,1,9,68
20,corey,9,GLJRRGV9,69,,9,67
21,Mr. Pizza,9,LU2L8JUV,69,,9,67
22,Lacey Clan,9,R08YP9Q8,68,,9,67
23,Michael,9,VU2V9CLV,68,,9,60
24,SlimShady,9,VQPRP0V0,67,,9,59
25,Chief Aarya,9,20JUV92GG,67,,7,38
26,Poz,9,PPRYLOUY,66,,7,38
27,Double G,9,JY8R9G9U,66,,7,36
28,XXSREMMLIFEXX,9,R8GG8YL8,64,,6,22
29,YeahRocks,9,8880VGP80,63,,7,22
30,K.,9,2PJRJYGYV,59,,8,2
1,3,100,28,29,,,
2,3,100,27,22,,,
3,3,100,26,23,,,
4,2,82,24,11,,,
5,3,100,6,9,,,
6,3,100,14,15,,,
7,2,77,20,12,,,
8,3,100,14,19,,,
9,3,100,28,25,,,
10,3,100,30,30,,,
11,3,100,30,28,,,
12,1,88,22,24,,,
13,1,80,6,6,,,
14,0,45,20,14,,,
15,3,100,27,20,,,
16,1,65,22,21,,,
17,3,100,23,18,,,
18,1,46,3,2,,,
19,2,97,26,21,,,
20,2,56,8,6,,,
21,3,100,17,14,,,
22,3,100,21,21,,,
23,1,49,7,7,,,
24,0,46,5,1,,,
25,3,100,11,10,,,
26,2,81,17,13,,,
27,,,27,22,2,71,
28,,,28,22,3,100,
29,3,100,29,24,,,
30,1,75,23,16,,,
31,,,27,19,3,100,
32,,,2,30,0,10,
33,,,26,17,3,100,
34,,,25,15,2,82,
35,,,21,13,3,100,
36,,,2,1,3,100,
37,3,100,25,26,,,
38,0,42,2,1,,,
39,,,19,21,3,100,
40,3,100,29,27,,,
41,,,29,19,2,73,
42,3,100,12,11,,,
43,,,29,17,3,100,
44,,,25,16,3,100,
45,2,73,25,17,,,
46,,,24,15,1,72,
47,,,16,13,2,89,
48,,,24,12,0,2,
49,,,17,21,1,69,
50,,,24,16,3,100,
51,,,23,14,2,72,
52,2,70,15,13,,,
53,,,22,12,3,100,
54,,,11,7,3,100,
55,2,97,18,17,,,
56,1,52,10,7,,,
57,,,23,18,2,82,
58,,,17,11,2,93,
59,2,93,16,13,,,
60,,,17,20,1,86,
61,,,1,6,2,66,
62,,,20,14,2,82,
63,3,100,24,12,,,
64,2,89,19,17,,,
65,,,23,20,3,100,
66,,,30,23,2,94,
67,1,47,4,3,,,
68,1,83,16,16,,,
69,3,100,21,13,,,
70,2,67,10,8,,,
71,2,96,8,7,,,
72,2,90,19,16,,,
73,,,3,30,0,9,
74,,,13,8,3,100,
75,2,78,18,16,,,
76,,,4,23,1,28,
77,,,6,27,0,22,
78,,,8,29,0,15,
79,2,70,12,16,,,
80,,,4,1,3,100,
81,1,48,5,4,,,
82,,,20,11,1,72,
83,,,10,7,3,100,
84,,,30,24,3,100,
85,,,12,10,3,100,
86,0,49,4,1,,,
87,,,5,29,0,20,
88,,,20,18,1,56,
89,,,9,24,0,31,
90,1,54,9,1,,,
91,2,50,9,2,,,
92,,,18,10,3,100,
93,2,81,15,17,,,
94,,,9,5,2,61,
95,,,3,2,3,100,
96,,,7,27,0,11,
97,,,14,6,3,100,
98,,,12,28,1,8,
99,,,15,28,1,2,
100,2,89,13,16,,,
101,,,5,2,3,100,
102,0,48,1,4,,,
103,,,8,4,3,100,
104,3,100,11,16,,,
105,,,6,3,2,99,
106,2,50,2,4,,,
107,2,74,7,8,,,
108,3,100,13,17,,,
109,,,15,5,3,100,
110,,,7,4,3,100,
111,,,9,3,3,100,
112,,,17,9,3,100,
113,1,37,3,5,,,
114,2,83,1,5,,,
115,,,12,25,1,8,
116,,,15,25,1,2,
117,,,20,8,3,100,
118,,,16,9,3,100,
