version,2,reserved,reserved,reserved,reserved,reserved,reserved
You got jacked!,J99U08R,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/09/15,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Butterburger,11,PLQLJ8QU,110,1,11,110
3,DarthCarlos10,10,8YVP9R8V,90,1,10,90
4,CactusClan,10,2PQ89PQ82,89,1,10,89
5,Sno,10,GQV9G9VV,89,1,10,89
6,SWuTangClan,10,8G9LVLP0,87,1,10,88
7,Chris,10,229YCRYQV,87,1,10,88
8,Aboy,10,VQ9PUJV2,86,,10,85
9,Eleazar,9,C8GRJVL0,70,1,9,70
10,Czech1Czech2,9,22CP2Y828,70,1,9,70
11,Karen,9,22PLL9GCQ,70,1,9,70
12,nato,9,2PQ9OVQOV,70,1,9,70
13,rOb,9,28PPGJY8R,70,1,9,70
14,Amagnus,9,JVQ8JPQV,70,1,9,70
15,RedACE,9,GRJLGCUQ,70,1,9,70
16,The Hammer,9,JJVG00CJ,70,1,9,70
17,Batman,9,2QU9CC8,70,1,9,70
18,UTiger13,9,2OVQLGRUJ,69,1,9,70
19,Whooboy,9,22UOVV2JJ,69,1,9,69
20,Slim Shady,9,202VRUP9G,69,1,9,69
21,corey,9,GLJRRGV9,69,1,9,69
22,Mr. Pizza,9,LU2L8JUV,69,1,9,69
23,Lacey Clan,9,R08YP9Q8,68,1,9,68
24,Michael,9,VU2V9CLV,68,1,9,68
25,Aigamisou,9,PL0U898C,68,1,9,68
26,Captain America,9,G9YRJ09,68,1,9,68
27,Aleister Crowle,9,Q9922RUU,68,1,9,68
28,SlimShady,9,VQPRP0V0,67,1,9,68
29,Poz,9,PPRYLOUY,66,,9,67
30,YeahRocks,9,8880VGP80,63,,9,66
1,,,25,25,3,100,
2,,,18,14,3,100,
3,,,11,10,3,100,
4,3,100,5,9,,,
5,,,29,29,3,100,
6,2,55,8,1,,,
7,2,87,25,30,,,
8,2,53,8,2,,,
9,,,27,26,2,72,
10,,,20,24,2,82,
11,2,81,5,8,,,
12,,,14,15,2,94,
13,,,22,22,1,94,
14,,,16,18,1,72,
15,3,100,12,14,,,
16,,,9,29,1,58,
17,,,20,18,2,93,
18,,,19,16,3,100,
19,,,15,13,3,100,
20,3,100,12,13,,,
21,1,87,13,19,,,
22,3,100,29,22,,,
23,2,98,25,26,,,
24,,,10,10,2,94,
25,,,14,13,2,86,
26,3,100,13,18,,,
27,3,100,19,16,,,
28,,,12,22,2,81,
29,,,24,23,3,100,
30,,,9,9,2,93,
31,3,100,18,20,,,
32,,,10,21,3,100,
33,1,55,23,28,,,
34,,,23,20,2,78,
35,,,26,23,2,98,
36,1,87,10,17,,,
37,,,13,21,2,99,
38,,,7,5,2,95,
39,,,27,27,3,100,
40,3,100,7,7,,,
41,1,72,18,24,,,
42,2,64,29,23,,,
43,2,90,6,8,,,
44,,,17,26,3,100,
45,,,8,4,2,70,
46,1,62,10,12,,,
47,,,21,17,2,90,
48,3,100,22,26,,,
49,2,82,11,21,,,
50,,,22,28,3,100,
51,,,16,19,1,72,
52,3,100,14,10,,,
53,,,7,3,3,100,
54,,,28,28,2,92,
55,,,30,14,2,99,
56,,,9,16,3,100,
57,1,78,24,25,,,
58,3,100,27,23,,,
59,,,12,9,2,95,
60,,,14,17,1,53,
61,1,71,22,29,,,
62,,,8,5,1,72,
63,2,89,26,19,,,
64,,,20,20,1,83,
65,3,100,27,25,,,
66,,,30,30,3,100,
67,,,13,15,1,68,
68,3,100,16,15,,,
69,2,89,26,24,,,
70,2,86,16,24,,,
71,,,12,11,2,78,
72,2,89,20,17,,,
73,,,28,30,3,100,
74,3,100,28,27,,,
75,1,87,19,24,,,
76,2,98,24,19,,,
77,2,98,30,30,,,
78,2,97,17,21,,,
79,,,20,25,3,100,
80,2,67,30,28,,,
81,,,16,11,2,92,
82,3,100,23,29,,,
83,2,77,21,11,,,
84,,,26,24,3,100,
85,1,64,28,28,,,
86,3,100,9,12,,,
87,,,13,12,2,94,
88,3,100,20,24,,,
89,,,21,12,2,97,
90,3,100,3,8,,,
91,,,23,27,1,50,
92,,,12,7,3,100,
93,3,100,11,30,,,
94,,,23,19,2,79,
95,,,5,2,0,30,
96,3,100,21,28,,,
97,,,16,8,3,100,
98,,,1,4,2,65,
99,,,21,8,3,100,
100,,,13,6,3,100,
101,3,100,7,6,,,
102,2,87,17,19,,,
103,3,100,14,19,,,
104,2,78,4,11,,,
105,,,6,3,2,79,
106,3,100,15,17,,,
107,,,2,6,1,45,
108,3,100,3,4,,,
109,3,100,9,21,,,
110,,,3,1,3,100,
111,,,4,1,3,100,
112,2,73,2,3,,,
113,2,82,15,11,,,
114,2,81,4,5,,,
115,3,100,6,11,,,
116,2,87,1,5,,,
117,,,8,2,3,100,
118,3,100,2,5,,,
119,2,80,1,3,,,
120,,,5,7,2,80,
