version,2,reserved,reserved,reserved,reserved,reserved,reserved
Regal Libya,2GJR9U2V,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/09/17,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,108
2,Butterburger,11,PLQLJ8QU,110,,11,106
3,CactusClan,10,2PQ89PQ82,89,,11,105
4,Atlas,10,RJ9PJ9CC,88,1,10,88
5,SwuTangClan,10,8G9LVLP0,87,1,10,88
6,Chris,10,229YCRYQV,86,1,10,88
7,Honey Badger,11,U92V0GU0,86,1,10,87
8,Aboy,10,VQ9PUJV2,86,,10,86
9,Darth Carlos,10,VJG8CCUG,73,,10,86
10,ThatAmagnus,10,GPGQC89C,70,,10,85
11,Eleazar,9,C8GRJVL0,70,,10,84
12,Czech1Czech2,9,22CP2Y828,70,,10,71
13,rOb,9,28PPGJY8R,70,1,9,69
14,The Hammer,9,JJVG00CJ,70,1,9,68
15,Amagnus,9,JVQ8JPQV,70,1,9,68
16,RedACE,9,GRJLGCUQ,70,,9,67
17,UTiger13,9,2OVQLGRUJ,69,,9,67
18,Whooboy,9,22UOVV2JJ,69,,9,66
19,Slim Shady,9,202VRUP9G,69,,9,66
20,Corey,9,GLJRRGV9,69,,9,66
21,Mr. Pizza,9,LU2L8JUV,69,,9,65
22,Aigamisou,9,PL0U898C,68,,9,65
23,Captain America,9,G9YRJ09,68,,9,65
24,Michael,9,VU2V9CLV,68,,9,64
25,ViciousVictor,9,CJP89Q2V,68,,9,64
26,SlimShady,9,VQPRP0V0,67,,9,63
27,Bolt,9,8UY02QU0,66,,9,59
28,Poz,9,PPRYLOUY,66,,8,54
29,beteljuice,9,29OV2LQRR,65,,8,53
30,YeahRocks,9,8880VGP80,63,,8,51
1,,,30,27,0,48,
2,,,13,9,3,100,
3,,,18,14,2,68,
4,,,10,4,2,79,
5,2,98,28,22,,,
6,,,9,4,0,34,
7,,,25,16,2,75,
8,1,97,11,13,,,
9,,,9,5,0,0,
10,,,30,21,2,68,
11,,,29,24,1,44,
12,2,99,29,25,,,
13,3,100,5,5,,,
14,3,100,25,26,,,
15,,,12,9,2,97,
16,3,100,29,27,,,
17,3,100,19,22,,,
18,,,11,11,2,72,
19,2,65,25,24,,,
20,,,14,11,2,63,
21,3,100,28,24,,,
22,2,64,6,4,,,
23,3,100,20,23,,,
24,3,100,22,21,,,
25,2,89,23,18,,,
26,,,26,17,2,63,
27,3,100,20,20,,,
28,2,91,6,8,,,
29,3,100,23,17,,,
30,3,100,4,11,,,
31,3,100,27,25,,,
32,2,83,13,16,,,
33,3,100,17,19,,,
34,3,100,27,30,,,
35,3,100,21,18,,,
36,1,77,13,15,,,
37,3,100,17,14,,,
38,1,56,24,16,,,
39,3,100,21,13,,,
40,3,100,15,16,,,
41,1,89,11,15,,,
42,2,79,16,12,,,
43,1,30,16,2,,,
44,2,81,24,15,,,
45,,,25,23,2,61,
46,,,9,10,2,51,
47,3,100,9,7,,,
48,3,100,14,12,,,
49,3,100,14,15,,,
50,3,100,26,28,,,
51,,,6,5,2,58,
52,,,22,12,2,74,
53,1,42,18,1,,,
54,1,56,1,1,,,
55,,,29,21,2,64,
56,,,28,19,1,59,
57,2,95,2,1,,,
58,,,27,25,2,72,
59,3,100,26,29,,,
60,,,4,29,1,30,
61,2,50,18,9,,,
62,,,24,15,2,60,
63,,,15,16,2,68,
64,,,18,25,1,67,
65,3,100,2,3,,,
66,,,3,29,1,20,
67,3,100,22,20,,,
68,2,93,1,2,,,
69,2,68,10,10,,,
70,2,50,4,6,,,
71,3,100,15,13,,,
72,,,28,28,1,12,
73,1,52,10,6,,,
74,3,100,8,10,,,
75,1,62,30,14,,,
76,2,91,12,16,,,
77,3,100,9,8,,,
78,,,28,14,2,70,
79,,,17,13,2,66,
80,,,28,17,1,52,
81,,,8,7,2,70,
82,2,60,3,9,,,
83,2,71,30,12,,,
84,3,100,5,6,,,
85,1,70,8,9,,,
86,,,24,28,1,14,
87,2,85,19,12,,,
88,3,100,7,9,,,
89,,,1,1,1,35,
90,,,7,10,1,28,
91,,,30,13,2,73,
92,2,74,12,17,,,
93,,,20,15,1,43,
94,,,23,22,2,60,
95,2,77,7,4,,,
96,,,16,7,3,100,
97,,,2,1,0,35,
98,0,34,1,2,,,
