version,2,reserved,reserved,reserved,reserved,reserved,reserved
BRCM,JU9JCPY,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/09/19,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Butterburger,11,PLQLJ8QU,110,1,11,110
3,CactusClan,10,2PQ89PQ82,89,1,11,109
4,Atlas,10,RJ9PJ9CC,88,1,10,89
5,SWuTangClan,10,8G9LVLP0,87,1,10,89
6,Chris,10,229YCRYQV,86,1,10,88
7,Honey Badger,11,U92V0GU0,86,,10,87
8,Aboy,10,VQ9PUJV2,86,,10,86
9,Darth Carlos,10,VJG8CCUG,73,,10,85
10,ThatAmagnus,10,GPGQC89C,70,,10,80
11,Eleazar,9,C8GRJVL0,70,,10,73
12,Czech1Czech2,9,22CP2Y828,70,1,9,70
13,nato,9,2PQ9OVQOV,70,1,9,70
14,rOb,9,28PPGJY8R,70,1,9,70
15,The Hammer,9,JJVG00CJ,70,1,9,70
16,Mord,9,22JGQUCJQ,70,1,9,69
17,Amagnus,9,JVQ8JPQV,70,1,9,69
18,RedACE,9,GRJLGCUQ,70,1,9,69
19,UTiger13,9,2OVQLGRUJ,69,1,9,69
20,Whooboy,9,22UOVV2JJ,69,1,9,69
21,Corey,9,GLJRRGV9,69,1,9,69
22,Mr. Pizza,9,LU2L8JUV,69,1,9,69
23,Aigamisou,9,PL0U898C,68,1,9,69
24,Captain America,9,G9YRJ09,68,1,9,69
25,Michael,9,VU2V9CLV,68,1,9,68
26,ViciousVictor,9,CJP89Q2V,68,1,9,68
27,SlimShady,9,VQPRP0V0,67,,9,67
28,Poz,9,PPRYLOUY,66,,9,66
29,beteljuice,9,29OV2LQRR,65,,9,65
30,YeahRocks,9,8880VGP80,63,,9,61
1,3,100,13,15,,,
2,,,22,17,3,100,
3,3,100,26,27,,,
4,,,23,22,2,77,
5,,,17,17,2,95,
6,3,100,24,21,,,
7,3,100,13,14,,,
8,,,24,19,3,100,
9,,,16,18,2,77,
10,,,28,25,3,100,
11,,,27,28,1,71,
12,,,23,24,3,100,
13,2,86,26,28,,,
14,,,30,30,3,100,
15,,,14,16,2,87,
16,,,29,29,2,72,
17,2,55,23,22,,,
18,3,100,12,13,,,
19,,,13,14,3,100,
20,,,26,16,2,72,
21,3,100,21,12,,,
22,2,97,14,20,,,
23,,,26,24,2,54,
24,,,29,30,2,82,
25,,,12,20,1,72,
26,1,81,21,18,,,
27,2,82,30,29,,,
28,,,29,27,3,100,
29,,,12,12,3,100,
30,1,54,23,17,,,
31,,,16,20,2,86,
32,,,20,23,2,82,
33,3,100,20,17,,,
34,2,83,12,16,,,
35,2,79,14,23,,,
36,,,17,13,3,100,
37,2,91,30,30,,,
38,,,21,23,2,82,
39,3,100,18,18,,,
40,2,83,29,26,,,
41,3,100,19,29,,,
42,2,86,25,19,,,
43,2,74,4,8,,,
44,2,87,28,28,,,
45,,,25,21,2,87,
46,2,95,17,16,,,
47,3,100,19,26,,,
48,,,11,15,1,82,
49,3,100,28,30,,,
50,2,99,18,20,,,
51,,,19,26,3,100,
52,3,100,17,20,,,
53,,,10,19,1,52,
54,,,18,13,2,75,
55,,,14,14,3,100,
56,,,27,22,3,100,
57,2,83,29,25,,,
58,,,20,15,1,55,
59,,,15,26,1,87,
60,3,100,15,19,,,
61,,,8,4,2,99,
62,,,15,21,2,83,
63,,,11,11,3,100,
64,,,15,11,3,100,
65,,,18,28,3,100,
66,,,25,27,3,100,
67,,,9,10,3,100,
68,,,26,25,2,56,
69,2,95,22,25,,,
70,,,7,4,1,72,
71,1,75,24,23,,,
72,1,58,25,16,,,
73,3,100,16,28,,,
74,2,99,15,24,,,
75,1,60,27,23,,,
76,,,20,18,1,96,
77,2,99,11,16,,,
78,,,20,9,3,100,
79,3,100,20,22,,,
80,1,74,27,25,,,
81,,,26,12,3,100,
82,3,100,22,24,,,
83,,,3,2,2,84,
84,2,91,16,23,,,
85,,,4,3,3,100,
86,3,100,4,11,,,
87,,,5,2,3,100,
88,2,85,3,10,,,
89,,,6,6,3,100,
90,,,7,10,1,82,
91,2,82,5,9,,,
92,,,3,3,3,100,
93,2,88,6,9,,,
94,,,7,7,2,60,
95,3,100,8,10,,,
96,3,100,10,25,,,
97,,,21,9,3,100,
98,2,69,1,1,,,
99,,,7,6,2,83,
100,3,100,6,7,,,
101,3,100,5,8,,,
102,3,100,8,9,,,
103,2,83,11,23,,,
104,3,100,7,6,,,
105,,,10,7,3,100,
106,3,100,10,23,,,
107,2,97,9,4,,,
108,0,48,2,2,,,
109,2,55,7,4,,,
110,,,16,8,3,100,
111,1,71,9,5,,,
112,,,1,5,1,50,
113,2,66,1,2,,,
114,,,2,5,2,55,
115,,,8,1,3,100,
116,2,80,2,3,,,
117,,,1,1,2,68,
118,,,7,8,2,64,
119,,,9,29,0,45,
120,2,70,3,16,,,
