version,2,reserved,reserved,reserved,reserved,reserved,reserved
Team Iraq,J2L9YQ8,,JTJ,2R9RCV9V,,S6,
25,,,,,,,
2016/09/21,,,,,,,
1,CactusClan,10,2PQ89PQ82,89,1,10,88
2,Space12345,10,8002Y989,89,,10,87
3,SwuTangClan,10,8G9LVLP0,87,,10,86
4,Chris,10,229YCRYQV,86,,10,85
5,Aboy,10,VQ9PUJV2,86,,10,85
6,Darth Carlos,10,VJG8CCUG,73,,10,83
7,ThatAmagnus,10,GPGQC89C,70,1,9,69
8,Eleazar,9,C8GRJVL0,70,,9,68
9,Czech1Czech2,9,22CP2Y828,70,,9,68
10,Nato,9,2PQ9OVQOV,70,,9,68
11,rOB,9,28PPGJY8R,70,,9,68
12,The Hammer,9,JJVG00CJ,70,,9,67
13,Mord,9,22JGQUCJQ,70,,9,67
14,Amagnus,9,JVQ8JPQV,70,,9,67
15,RedACE,9,GRJLGCUQ,70,,9,66
16,Batman,9,2QU9CC8,70,,9,66
17,UTiger13,9,2OVQLGRUJ,69,,9,66
18,Whooboy,9,22UOVV2JJ,69,,9,66
19,Corey,9,GLJRRGV9,69,,9,66
20,Mr. Pizza,9,LU2L8JUV,69,,9,65
21,Neifen,9,98QU2PQP,68,,9,65
22,ViciousVictor,9,CJP89Q2V,68,,9,63
23,Poz,9,PPRYLOUY,66,,9,62
24,Double G,9,JY8R9G9U,66,,8,55
25,YeahRocks,9,8880VGP80,63,,8,55
1,,,25,25,2,66,
2,,,21,21,2,58,
3,3,100,5,6,,,
4,3,100,3,5,,,
5,3,100,11,16,,,
6,3,100,7,4,,,
7,3,100,18,7,,,
8,3,100,2,3,,,
9,,,16,16,2,52,
10,2,97,14,8,,,
11,3,100,11,17,,,
12,,,9,9,2,89,
13,2,92,4,2,,,
14,,,19,18,2,70,
15,2,88,23,22,,,
16,,,22,22,2,77,
17,3,100,3,1,,,
18,1,74,16,11,,,
19,,,13,13,2,87,
20,1,56,14,11,,,
21,3,100,24,19,,,
22,,,1,25,1,43,
23,,,10,22,1,41,
24,3,100,23,21,,,
25,0,48,7,2,,,
26,3,100,10,25,,,
27,,,2,1,2,56,
28,3,100,10,24,,,
29,1,57,12,12,,,
30,3,100,19,18,,,
31,,,5,3,1,40,
32,3,100,4,4,,,
33,2,79,22,23,,,
34,,,3,3,1,31,
35,3,100,19,22,,,
36,3,100,13,9,,,
37,3,100,17,14,,,
38,2,82,22,15,,,
39,3,100,9,11,,,
40,3,100,20,23,,,
41,2,86,17,13,,,
42,,,14,14,1,45,
43,2,87,20,12,,,
44,3,100,8,10,,,
45,3,100,18,12,,,
46,3,100,9,8,,,
47,3,100,24,20,,,
48,3,100,8,15,,,
49,1,78,16,13,,,
50,2,65,1,2,,,
51,2,89,21,13,,,
52,3,100,1,1,,,
53,,,1,2,2,55,
54,,,11,10,1,3,
55,,,12,10,1,3,
56,,,1,16,1,43,
57,3,100,13,13,,,
58,,,4,2,2,74,
59,3,100,12,13,,,
60,2,79,5,2,,,
61,,,8,24,2,50,
62,1,73,6,2,,,
63,3,100,15,13,,,
64,,,24,24,1,39,
65,,,8,21,1,6,
66,,,23,23,2,63,
67,,,6,6,2,63,
68,3,100,15,12,,,
69,3,100,6,1,,,
70,1,53,2,2,,,
71,,,20,9,2,71,
72,,,21,23,1,43,
73,,,1,19,1,21,
74,,,2,19,1,14,
75,2,81,21,7,,,
76,,,7,6,2,74,
