version,2,reserved,reserved,reserved,reserved,reserved,reserved
Alpha Gods,P0YU2PP0,,JTJ,2R9RCV9V,,S6,
25,,,,,,,
2016/09/24,,,,,,,
1,DarthCarlos10,10,8YVP9R8V,90,1,11,109
2,CactusClan,10,2PQ89PQ82,89,1,10,89
3,Space12345,10,8002Y989,89,1,10,88
4,Sno,10,GQV9G9VV,89,,10,87
5,SwuTangClan,10,8G9LVLP0,87,,10,87
6,Chris,10,229YCRYQV,87,,10,87
7,Aboy,10,VQ9PUJV2,86,,10,86
8,Darth Carlos,10,VJG8CCUG,73,,10,86
9,ThatAmagnus,10,GPGQC89C,70,,10,85
10,Eleazar,9,C8GRJVL0,70,,10,70
11,Nato,9,2PQ9OVQOV,70,1,9,68
12,Karen,9,22PLL9GCQ,70,1,9,68
13,rOb,9,28PPGJY8R,70,1,9,68
14,Mord,9,22JGQUCJQ,70,1,9,68
15,Amagnus,9,JVQ8JPQV,70,,9,67
16,RedACE,9,GRJLGCUQ,70,,9,67
17,Batman,9,2QU9CC8,70,,9,67
18,UTiger13,9,2OVQLGRUJ,70,,9,67
19,Whooboy,9,22UOVV2JJ,69,,9,66
20,Corey,9,GLJRRGV9,69,,9,66
21,Mr. Pizza,9,LU2L8JUV,69,,9,65
22,Dada 1974,9,GQ0JCQJQ,68,,9,64
23,ViciousVictor,9,CJP89Q2V,68,,9,64
24,Poz,9,PPRYLOUY,66,,9,62
25,Double G,9,JY8R9G9U,66,,8,54
1,,,6,7,1,45,
2,,,4,4,0,47,
3,1,75,17,17,,,
4,3,100,25,20,,,
5,1,62,24,19,,,
6,3,100,23,24,,,
7,1,62,24,23,,,
8,,,25,24,2,52,
9,3,100,20,21,,,
10,3,100,11,12,,,
11,2,65,7,9,,,
12,3,100,14,11,,,
13,2,85,20,19,,,
14,2,83,11,15,,,
15,3,100,18,18,,,
16,3,100,22,23,,,
17,3,100,19,15,,,
18,2,88,4,2,,,
19,,,5,5,1,41,
20,,,18,16,2,56,
21,3,100,22,19,,,
22,1,62,13,16,,,
23,,,5,3,1,49,
24,,,9,9,2,76,
25,3,100,18,13,,,
26,,,15,13,2,58,
27,2,50,19,16,,,
28,,,17,17,2,54,
29,2,99,23,17,,,
30,3,100,13,25,,,
31,3,100,21,22,,,
32,2,51,4,1,,,
33,3,100,15,17,,,
34,,,23,23,2,85,
35,,,7,3,2,58,
36,,,10,5,3,100,
37,3,100,21,10,,,
38,,,11,10,2,86,
39,2,77,16,14,,,
40,3,100,15,16,,,
41,,,14,14,2,69,
42,3,100,12,14,,,
43,2,70,25,10,,,
44,2,86,17,14,,,
45,,,19,17,1,46,
46,,,24,25,1,44,
47,,,1,1,2,61,
48,,,13,12,2,78,
49,,,6,4,2,73,
50,,,24,18,2,54,
51,,,21,20,3,100,
52,,,2,1,2,65,
53,,,19,19,2,79,
54,,,24,22,2,64,
55,,,17,15,1,75,
56,,,22,24,0,29,
57,,,25,21,2,82,
58,3,100,10,10,,,
59,3,100,10,11,,,
60,,,24,21,2,75,
61,1,66,9,8,,,
62,0,46,9,6,,,
63,,,16,13,2,79,
64,1,70,6,3,,,
65,2,55,3,7,,,
66,,,20,15,0,40,
67,,,3,6,2,50,
68,,,22,22,2,90,
69,1,63,5,6,,,
70,,,8,11,2,50,
71,1,73,7,6,,,
72,2,62,1,3,,,
73,1,39,8,5,,,
74,2,80,14,8,,,
75,,,20,20,2,65,
76,,,25,23,1,36,
77,2,83,5,4,,,
78,0,49,16,5,,,
79,,,4,7,1,42,
80,3,100,6,5,,,
81,,,16,10,2,56,
82,,,12,8,3,100,
83,,,25,11,2,75,
84,2,57,8,6,,,
85,2,81,12,12,,,
86,3,100,1,8,,,
87,,,25,18,0,43,
88,,,4,2,2,62,
89,,,5,6,2,54,
90,1,54,2,9,,,
91,,,14,12,2,99,
92,3,100,3,9,,,
93,,,5,2,2,61,
94,1,55,2,7,,,
