version,2,reserved,reserved,reserved,reserved,reserved,reserved
Apathy,9UU22CY,,JTJ,2R9RCV9V,,S6,
25,,,,,,,
2016/09/26,,,,,,,
1,Space12345,10,8002Y989,89,1,11,110
2,CactusClan,10,2PQ89PQ82,89,,11,105
3,Sno,10,GQV9G9VV,89,1,10,89
4,SWUTangClan,10,8G9LVLP0,87,1,10,89
5,Chris,10,229YCRYQV,87,1,10,88
6,Darth Carlos,10,VJG8CCUG,74,1,10,88
7,ThatAmagnus,10,GPGQC89C,71,,10,70
8,Eleazar,9,C8GRJVL0,70,,10,70
9,Nato,9,2PQ9OVQOV,70,1,9,70
10,Karen,9,22PLL9GCQ,70,1,9,69
11,Mord,9,22JGQUCJQ,70,1,9,69
12,RedACE,9,GRJLGCUQ,70,1,9,69
13,Batman,9,2QU9CC8,70,1,9,68
14,UTiger13,9,2OVQLGRUJ,70,1,9,68
15,Whooboy,9,22UOVV2JJ,69,1,9,68
16,Slim Shady,9,202VRUP9G,69,1,9,68
17,Corey,9,GLJRRGV9,69,1,9,68
18,Mr. Pizza,9,LU2L8JUV,69,,9,67
19,Dada 1974,9,GQ0JCQJQ,69,,9,67
20,Lacey Clan,9,R08YP9Q8,68,,9,61
21,Michael,9,VU2V9CLV,68,,9,60
22,ViciousVictor,9,CJP89Q2V,68,,9,54
23,Chief Aarya,9,20JUV92GG,67,,8,53
24,Bolt,9,8UY02QU0,67,,8,47
25,Double G,9,JY8R9G9U,66,,8,38
1,3,100,9,18,,,
2,3,100,25,21,,,
3,1,87,9,9,,,
4,,,7,25,1,44,
5,2,96,20,22,,,
6,,,4,25,1,24,
7,3,100,25,20,,,
8,2,89,17,16,,,
9,3,100,20,23,,,
10,3,100,24,22,,,
11,3,100,14,14,,,
12,,,14,8,2,74,
13,3,100,24,25,,,
14,3,100,17,15,,,
15,3,100,19,19,,,
16,3,100,21,17,,,
17,,,19,15,1,53,
18,,,23,16,1,65,
19,3,100,14,11,,,
20,3,100,18,12,,,
21,1,90,12,9,,,
22,,,24,17,2,65,
23,1,63,5,5,,,
24,3,100,18,10,,,
25,3,100,10,13,,,
26,,,21,19,0,44,
27,3,100,12,16,,,
28,,,4,2,2,68,
29,,,16,13,2,83,
30,3,100,23,24,,,
31,1,64,21,9,,,
32,3,100,13,9,,,
33,1,69,13,8,,,
34,3,100,16,8,,,
35,0,49,22,3,,,
36,,,3,3,2,70,
37,3,100,4,3,,,
38,2,95,16,7,,,
39,3,100,19,7,,,
40,,,1,1,2,81,
41,,,23,19,3,100,
42,,,18,12,1,50,
43,1,71,23,8,,,
44,,,22,17,1,52,
45,2,60,6,5,,,
46,,,12,6,3,100,
47,,,2,2,2,65,
48,,,8,5,2,94,
49,0,46,3,6,,,
50,2,72,11,4,,,
51,,,11,10,1,64,
52,2,73,8,7,,,
53,0,43,15,1,,,
54,,,5,1,2,67,
55,0,46,6,6,,,
56,2,64,3,2,,,
57,2,88,8,8,,,
58,,,13,14,2,79,
59,,,13,9,2,66,
60,3,100,15,9,,,
61,,,15,8,1,74,
62,,,25,23,0,0,
63,1,50,7,1,,,
64,,,25,16,2,95,
65,0,29,11,1,,,
66,,,9,7,3,100,
67,,,21,20,2,86,
68,1,52,7,6,,,
69,3,100,10,8,,,
70,,,22,20,2,73,
71,,,10,7,2,91,
72,0,36,2,6,,,
73,,,16,15,2,60,
74,3,100,22,7,,,
75,,,11,6,3,100,
76,2,65,5,6,,,
77,,,7,5,1,97,
78,,,25,21,2,82,
79,,,19,13,3,100,
80,,,16,9,3,100,
81,1,45,1,1,,,
82,,,6,4,2,88,
83,,,15,10,3,100,
84,,,24,11,2,82,
85,2,68,2,5,,,
86,3,100,1,6,,,
87,1,60,4,2,,,
88,,,17,4,2,89,
89,,,20,11,2,88,
90,,,24,18,2,83,
91,,,18,21,2,92,
