version,2,reserved,reserved,reserved,reserved,reserved,reserved
Code Enigma,98JUQL02,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/09/28,,,,,,,
1,DarthCarlos10,10,8YVP9R8V,90,,11,91
2,Space12345,10,8002Y989,89,,11,91
3,CactusClan,10,2PQ89PQ82,89,1,10,89
4,Atlas,10,RJ9PJ9CC,88,1,10,89
5,SwuTangClan,10,8G9LVLP0,87,1,10,89
6,Chris,10,229YCRYQV,87,1,10,89
7,Nordar 2,10,Q2R202V2,86,,10,85
8,Aboy,10,VQ9PUJV2,86,,10,85
9,Darth Carlos,10,VJG8CCUG,74,,10,84
10,ThatAmagnus,10,GPGQC89C,71,,10,72
11,Eleazar,9,C8GRJVL0,70,,10,71
12,Czech1Czech2,9,22CP2Y828,70,1,9,70
13,Karen,9,22PLL9GCQ,70,1,9,70
14,Mord,9,22JGQUCJQ,70,1,9,70
15,Amagnus,9,JVQ8JPQV,70,1,9,70
16,Batman,9,2QU9CC8,70,1,9,69
17,UTiger13,9,2OVQLGRUJ,70,1,9,69
18,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
19,Whooboy,9,22UOVV2JJ,69,1,9,69
20,Slim Shady,9,202VRUP9G,69,1,9,69
21,corey,9,GLJRRGV9,69,1,9,68
22,Mr. Pizza,9,LU2L8JUV,69,1,9,68
23,Lacey Clan,9,R08YP9Q8,69,,9,67
24,Dada 1974,9,GQ0JCQJQ,69,,9,66
25,Michael,9,VU2V9CLV,68,,9,66
26,ViciousVictor,9,CJP89Q2V,68,,9,66
27,Aleister Crowle,9,Q9922RUU,68,,9,66
28,Chief Aarya,9,20JUV92GG,67,,9,65
29,Bolt,9,8UY02QU0,67,,9,64
30,Double G,9,JY8R9G9U,66,,9,61
1,3,100,28,26,,,
2,2,91,30,24,,,
3,,,27,29,3,100,
4,2,58,16,23,,,
5,,,6,3,2,81,
6,,,25,29,2,78,
7,,,24,25,2,91,
8,1,95,16,28,,,
9,,,23,28,1,88,
10,,,5,3,2,74,
11,,,29,28,1,78,
12,,,17,16,3,100,
13,,,19,19,3,100,
14,,,21,17,2,94,
15,2,74,21,21,,,
16,,,25,20,2,88,
17,3,100,30,27,,,
18,1,70,24,21,,,
19,,,18,25,2,85,
20,,,22,23,2,62,
21,,,20,22,1,70,
22,3,100,23,30,,,
23,2,89,21,22,,,
24,,,11,18,0,45,
25,2,72,24,17,,,
26,,,26,20,1,82,
27,,,30,30,2,84,
28,2,91,23,29,,,
29,,,12,13,1,57,
30,2,94,12,13,,,
31,,,29,30,1,61,
32,,,25,24,2,94,
33,3,100,29,29,,,
34,2,58,17,15,,,
35,,,29,27,2,95,
36,3,100,13,25,,,
37,,,24,26,1,50,
38,1,96,26,28,,,
39,,,28,24,2,65,
40,2,64,22,17,,,
41,3,100,18,15,,,
42,,,30,26,1,60,
43,3,100,25,22,,,
44,,,28,27,3,100,
45,1,82,29,20,,,
46,2,77,15,14,,,
47,2,86,19,14,,,
48,3,100,28,28,,,
49,1,89,22,14,,,
50,3,100,26,24,,,
51,2,89,11,13,,,
52,,,10,9,2,59,
53,3,100,3,10,,,
54,,,23,15,3,100,
55,,,12,9,1,98,
56,1,82,20,23,,,
57,3,100,18,13,,,
58,2,86,11,16,,,
59,3,100,3,11,,,
60,,,18,12,3,100,
61,,,7,2,2,97,
62,,,20,17,1,60,
63,,,12,10,3,100,
64,,,25,19,3,100,
65,2,79,17,19,,,
66,,,8,1,3,100,
67,3,100,14,23,,,
68,,,30,21,2,82,
69,3,100,27,18,,,
70,3,100,14,20,,,
71,,,26,16,1,52,
72,0,40,25,21,,,
73,,,20,12,3,100,
74,1,54,19,17,,,
75,,,11,10,3,100,
76,,,6,6,2,89,
77,2,65,5,8,,,
78,2,85,6,3,,,
79,3,100,4,12,,,
80,,,24,15,2,91,
81,3,100,1,6,,,
82,2,60,2,2,,,
83,,,4,4,1,58,
84,1,59,7,7,,,
85,,,13,6,3,100,
86,1,54,27,1,,,
87,,,29,22,2,69,
88,2,55,9,7,,,
89,3,100,10,14,,,
90,,,26,18,2,73,
91,,,29,21,2,75,
92,3,100,13,21,,,
93,2,82,8,4,,,
94,,,22,13,3,100,
95,,,1,1,2,62,
96,3,100,6,5,,,
97,,,14,11,3,100,
98,,,15,11,3,100,
99,,,4,5,2,64,
100,3,100,5,9,,,
101,2,94,15,19,,,
102,,,3,5,1,64,
103,,,2,2,3,100,
104,3,100,10,16,,,
105,,,30,23,2,99,
106,,,16,7,3,100,
107,2,81,1,7,,,
108,2,72,20,19,,,
109,,,26,8,3,100,
110,1,75,9,8,,,
111,,,9,4,2,88,
112,3,100,4,17,,,
113,2,75,7,8,,,
114,,,21,7,3,100,
115,3,100,8,8,,,
116,,,24,8,3,100,
117,3,100,12,19,,,
118,2,53,2,1,,,
