version,2,reserved,reserved,reserved,reserved,reserved,reserved
DevilsNest Inc.,8G9RYC0Y,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/05,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,110
2,Rozkokoszony,11,RGVGJJ8,109,1,11,110
3,CactusClan,10,2PQ89PQ82,89,1,11,108
4,Space12345,10,8002Y989,89,,11,90
5,Sno,10,GQV9G9VV,89,,11,90
6,Honey Badger,11,U92V0GU0,89,1,10,88
7,SwuTangClan,10,8G9LVLP0,87,1,10,88
8,Chris,10,229YCRYQV,87,1,10,87
9,Aboy,10,VQ9PUJV2,86,1,10,87
10,Darth Carlos,10,VJG8CCUG,86,,10,86
11,Eleazar,9,C8GRJVL0,70,,11,76
12,Czech1Czech2,9,22CP2Y828,70,,10,72
13,Nato,9,2PQ9OVQOV,70,,10,71
14,Karen,9,22PLL9GCQ,70,,10,70
15,Mord,9,22JGQUCJQ,70,,10,70
16,rOb,9,28PPGJY8R,70,,10,70
17,RedACE,9,GRJLGCUQ,70,1,9,69
18,UTiger13,9,2OVQLGRUJ,70,1,9,69
19,Ohio-Legend-216,9,29QLGYC9Q,70,1,9,69
20,Whooboy,9,22UOVV2JJ,69,1,9,68
21,Slim Shady,9,202VRUP9G,69,1,9,68
22,Corey,9,GLJRRGV9,69,1,9,68
23,Mr. Pizza,9,LU2L8JUV,69,1,9,68
24,Michael,9,VU2V9CLV,68,1,9,68
25,ViciousVictor,9,CJP89Q2V,68,,9,67
26,Poz,9,PPRYLOUY,66,,9,67
27,Joe,9,LG9GQQJ8,66,,9,61
28,Daddy Bison,9,9GGUY900,65,,9,60
29,Evanshire,9,JQQR9QYJ,64,,9,57
30,K.,9,2PJRJYGYV,63,,9,56
1,,,12,12,2,54,
2,2,98,16,18,,,
3,3,100,22,21,,,
4,,,13,12,2,99,
5,3,100,22,23,,,
6,1,76,8,5,,,
7,2,80,7,9,,,
8,3,100,23,25,,,
9,2,63,11,22,,,
10,2,65,10,4,,,
11,,,21,18,2,99,
12,1,76,8,7,,,
13,,,21,19,2,60,
14,1,79,16,19,,,
15,,,29,29,3,100,
16,,,5,11,2,84,
17,,,11,7,3,100,
18,2,88,23,15,,,
19,2,93,7,8,,,
20,,,22,18,1,52,
21,,,28,26,1,52,
22,,,30,30,2,87,
23,,,24,25,2,64,
24,,,30,29,0,44,
25,,,28,28,2,99,
26,,,30,26,2,86,
27,3,100,27,29,,,
28,,,27,22,1,74,
29,,,25,21,1,47,
30,,,19,15,3,100,
31,,,23,20,2,63,
32,,,28,22,3,100,
33,3,100,24,24,,,
34,3,100,25,26,,,
35,,,12,8,3,100,
36,3,100,30,30,,,
37,,,15,13,2,99,
38,2,75,29,28,,,
39,,,18,16,2,60,
40,,,6,4,2,88,
41,2,94,18,19,,,
42,,,27,28,1,64,
43,2,94,28,15,,,
44,1,90,29,27,,,
45,1,73,19,14,,,
46,3,100,12,22,,,
47,3,100,18,18,,,
48,2,99,25,27,,,
49,,,27,20,2,85,
50,3,100,27,28,,,
51,,,10,8,2,85,
52,,,24,19,3,100,
53,3,100,12,19,,,
54,3,100,17,13,,,
55,3,100,17,16,,,
56,2,79,6,7,,,
57,2,54,21,15,,,
58,3,100,6,8,,,
59,3,100,30,27,,,
60,,,30,27,2,84,
61,,,14,10,3,100,
62,,,20,17,1,71,
63,,,30,23,3,100,
64,,,26,25,3,100,
65,,,27,27,2,72,
66,,,27,23,2,98,
67,,,7,4,2,71,
68,,,22,21,2,95,
69,3,100,13,20,,,
70,,,25,24,2,73,
71,,,1,1,2,89,
72,,,8,5,2,77,
73,1,60,4,11,,,
74,3,100,5,12,,,
75,,,27,24,3,100,
76,,,13,6,3,100,
77,3,100,11,14,,,
78,3,100,9,10,,,
79,,,2,1,3,100,
80,2,83,20,15,,,
81,,,7,5,2,99,
82,3,100,5,11,,,
83,2,74,13,17,,,
84,,,16,7,3,100,
85,2,65,14,15,,,
86,,,20,13,2,86,
87,,,22,15,3,100,
88,3,100,15,17,,,
89,,,9,11,2,98,
90,2,52,19,6,,,
91,2,79,15,15,,,
92,0,33,20,3,,,
93,,,17,6,3,100,
94,2,67,24,15,,,
95,1,89,2,3,,,
96,,,15,9,3,100,
97,,,25,30,1,39,
98,,,4,2,2,81,
99,,,18,9,3,100,
100,2,97,2,2,,,
101,0,45,14,1,,,
102,,,20,14,3,100,
103,3,100,3,15,,,
104,,,23,16,3,100,
105,,,21,14,3,100,
106,,,3,3,2,84,
107,1,41,21,5,,,
108,2,74,10,5,,,
109,1,64,1,3,,,
110,,,25,17,2,73,
111,,,10,3,3,100,
112,,,25,10,3,100,
113,,,8,2,3,100,
114,1,72,1,1,,,
115,1,74,3,9,,,
116,2,55,4,7,,,
117,2,85,9,6,,,
