version,2,reserved,reserved,reserved,reserved,reserved,reserved
Barberos Bcn,28RCVVL0,,JTJ,2R9RCV9V,,S6,
40,,,,,,,
2016/10/07,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,1,11,109
2,Butterburger,11,PLQLJ8QU,110,1,11,108
3,Rozkokoszony,11,RGVGJJ8,109,1,11,107
4,DarthCarlos10,10,8YVP9R8V,90,1,10,88
5,CactusClan,10,2PQ89PQ82,89,1,10,87
6,Space12345,10,8002Y989,89,1,10,87
7,Honey Badger,11,U92V0GU0,89,1,10,87
8,Sno,10,GQV9G9VV,89,,10,86
9,SwuTangClan,10,8G9LVLP0,87,,10,86
10,Chris,10,229YCRYQV,87,,10,85
11,Aboy,10,VQ9PUJV2,86,,10,85
12,Darth Carlos,10,VJG8CCUG,86,,10,85
13,ThatAmagnus,10,GPGQC89C,71,,10,84
14,Eleazar,9,C8GRJVL0,70,,10,83
15,Nato,9,2PQ9OVQOV,70,,10,82
16,Czech1Czech2,9,22CP2Y828,70,,10,82
17,Karen,9,22PLL9GCQ,70,,10,82
18,rOb,9,28PPGJY8R,70,,10,77
19,RedACE,9,GRJLGCUQ,70,1,9,68
20,Amagnus,9,JVQ8JPQV,70,,9,67
21,Jippieh Yeah,9,YCYV88UV,70,,9,67
22,UTiger13,9,2OVQLGRUJ,70,,9,67
23,Dang,9,R2RRRQ9Y,70,,9,67
24,Ohio-Legend-216,9,29QLGYC9Q,70,,9,66
25,Evan Hardluck,9,PVPP2LUV,70,,9,66
26,Batman,9,2QU9CC8,70,,9,64
27,Slim Shady,9,202VRUP9G,69,,9,64
28,Whooboy,9,22UOVV2JJ,69,,9,64
29,Corey,9,GLJRRGV9,69,,9,63
30,Mr. Pizza,9,LU2L8JUV,69,,9,63
31,Neifen,9,98QU2PQP,69,,9,63
32,Michael,9,VU2V9CLV,68,,9,62
33,Death Wish,9,CPUJYLYR,68,,9,62
34,ViciousVictor,9,CJP89Q2V,68,,9,62
35,Bolt,9,8UY02QU0,68,,9,62
36,Poz,9,PPRYLOUY,66,,9,61
37,Joe,9,LG9GQQJ8,66,,9,59
38,Daddy Bison,9,9GGUY900,65,,9,57
39,Evanshire,9,JQQR9QYJ,64,,9,46
40,K.,9,2PJRJYGYV,63,,8,44
1,,,28,26,1,39,
2,2,97,15,23,,,
3,,,40,39,1,38,
4,3,100,26,32,,,
5,1,81,4,9,,,
6,,,37,35,2,62,
7,,,39,39,0,31,
8,,,23,21,2,74,
9,,,40,38,2,63,
10,3,100,14,23,,,
11,3,100,6,6,,,
12,3,100,26,35,,,
13,,,19,17,2,53,
14,,,29,27,1,48,
15,,,31,29,2,62,
16,2,92,24,19,,,
17,2,85,8,10,,,
18,3,100,18,22,,,
19,2,99,12,7,,,
20,3,100,37,36,,,
21,3,100,6,11,,,
22,3,100,26,30,,,
23,3,100,23,24,,,
24,,,11,9,2,53,
25,3,100,18,21,,,
26,,,26,24,2,53,
27,2,92,1,1,,,
28,,,4,2,0,37,
29,3,100,40,40,,,
30,3,100,34,37,,,
31,3,100,15,18,,,
32,2,91,31,29,,,
33,3,100,29,28,,,
34,1,70,37,25,,,
35,3,100,29,26,,,
36,3,100,8,9,,,
37,3,100,33,31,,,
38,2,92,11,12,,,
39,3,100,34,38,,,
40,,,14,12,2,87,
41,,,15,8,2,78,
42,3,100,1,2,,,
43,3,100,32,34,,,
44,3,100,28,19,,,
45,,,27,25,1,37,
46,3,100,24,20,,,
47,3,100,30,25,,,
48,3,100,28,29,,,
49,3,100,21,33,,,
50,3,100,2,3,,,
51,3,100,39,39,,,
52,2,79,25,27,,,
53,0,28,22,17,,,
54,2,64,35,17,,,
55,2,59,35,15,,,
56,3,100,7,12,,,
57,3,100,30,27,,,
58,1,58,22,16,,,
59,2,84,10,7,,,
60,3,100,7,8,,,
61,1,78,10,15,,,
62,1,72,19,17,,,
63,,,39,37,0,41,
64,2,62,31,17,,,
65,,,5,3,2,85,
66,,,12,10,2,60,
67,,,4,1,2,54,
68,,,16,14,2,72,
69,,,28,8,2,66,
70,,,7,5,1,46,
71,2,62,21,16,,,
72,0,41,32,16,,,
73,2,68,27,17,,,
74,0,45,40,16,,,
75,2,83,17,16,,,
76,,,17,4,3,100,
77,3,100,39,32,,,
78,2,86,25,25,,,
79,,,21,19,2,81,
80,,,36,34,2,59,
81,,,38,27,2,70,
82,,,35,33,2,58,
83,,,27,14,2,78,
84,,,39,35,2,87,
85,2,66,17,14,,,
86,3,100,13,17,,,
87,2,84,9,4,,,
88,2,98,20,19,,,
89,1,72,33,22,,,
90,,,34,25,0,22,
91,,,34,38,1,32,
92,1,85,11,14,,,
93,1,55,9,10,,,
94,,,18,3,3,100,
95,,,20,10,3,100,
96,1,70,5,5,,,
97,,,6,4,2,56,
98,,,29,19,2,69,
99,2,88,19,13,,,
100,3,100,3,5,,,
101,2,75,4,10,,,
102,1,70,23,13,,,
103,3,100,36,23,,,
104,2,96,12,13,,,
105,,,1,2,0,33,
106,0,41,27,16,,,
107,2,90,13,15,,,
108,2,94,3,1,,,
109,3,100,20,22,,,
110,2,68,2,1,,,
111,,,30,9,2,64,
112,,,40,29,2,92,
113,3,100,14,17,,,
114,,,38,34,1,51,
115,,,13,12,1,74,
116,,,10,28,1,42,
117,,,24,5,2,72,
118,1,55,16,16,,,
