version,2,reserved,reserved,reserved,reserved,reserved,reserved
Battle!!!,PCYY9L0C,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/09,,,,,,,
1,Wryhorn,11,JQJQVL8Y,110,,11,101
2,Rozkokoszony,11,RGVGJJ8,109,,11,100
3,Space12345,10,8002Y989,89,,11,99
4,Honey Badger,11,U92V0GU0,89,,11,99
5,SWuTangClan,10,8G9LVLP0,87,,10,86
6,Chris,10,229YCRYQV,87,,10,85
7,Darth Carlos,10,VJG8CCUG,86,,10,84
8,ThatAmagnus,10,GPGQC89C,71,,10,83
9,Eleazar,9,C8GRJVL0,70,,10,82
10,Czech1Czech2,9,22CP2Y828,70,,10,80
11,RedACE,9,GRJLGCUQ,70,,10,79
12,Amagnus,9,JVQ8JPQV,70,,10,71
13,Evan Hardluck,9,PVPP2LUV,70,1,9,68
14,Jippieh Yeah,9,YCYV88UV,70,1,9,68
15,Batman,9,2QU9CC8,70,,9,67
16,Dang,9,R2RRRQ9Y,70,,9,66
17,Ohio-Legend-216,9,29QLGYC9Q,70,,10,66
18,Whooboy,9,22UOVV2JJ,69,,9,66
19,Corey,9,GLJRRGV9,69,,9,66
20,Mr. Pizza,9,LU2L8JUV,69,,9,66
21,Michael,9,VU2V9CLV,68,,9,66
22,Death Wish,9,CPUJYLYR,68,,9,65
23,ViciousVictor,9,CJP89Q2V,68,,9,65
24,Bolt,9,8UY02QU0,68,,9,65
25,Poz,9,PPRYLOUY,66,,9,64
26,Double G,9,JY8R9G9U,66,,9,63
27,Joe,9,LG9GQQJ8,66,,9,62
28,Evanshire,9,JQQR9QYJ,64,,9,62
29,K.,9,2PJRJYGYV,63,,9,62
30,Jason,9,VQJGJ2UC,60,,8,54
1,,,8,17,2,63,
2,,,7,2,2,50,
3,,,18,24,1,42,
4,,,9,18,2,66,
5,,,25,26,2,66,
6,,,30,30,2,54,
7,3,100,15,15,,,
8,,,10,8,1,44,
9,,,29,30,1,34,
10,,,5,2,0,40,
11,,,14,18,2,65,
12,,,22,10,0,35,
13,,,6,6,2,59,
14,3,100,19,16,,,
15,,,12,4,1,47,
16,3,100,26,18,,,
17,3,100,5,6,,,
18,2,67,15,24,,,
19,2,68,20,21,,,
20,2,93,22,19,,,
21,2,75,13,13,,,
22,3,100,22,30,,,
23,3,100,26,17,,,
24,2,94,24,28,,,
25,2,72,20,20,,,
26,2,90,17,14,,,
27,,,21,21,2,68,
28,,,20,24,1,42,
29,2,73,28,28,,,
30,3,100,19,19,,,
31,,,11,9,1,49,
32,2,99,13,20,,,
33,,,28,10,1,64,
34,2,74,12,21,,,
35,1,93,27,23,,,
36,,,26,26,2,52,
37,,,16,21,2,72,
38,1,47,24,10,,,
39,2,83,14,21,,,
40,3,100,16,14,,,
41,1,46,28,29,,,
42,3,100,18,21,,,
43,,,22,22,2,68,
44,2,73,25,22,,,
45,3,100,18,22,,,
46,3,100,23,27,,,
47,3,100,4,7,,,
48,,,19,19,2,53,
49,3,100,21,24,,,
50,,,24,25,2,56,
51,3,100,16,23,,,
52,3,100,8,11,,,
53,3,100,12,20,,,
54,2,92,23,25,,,
55,3,100,27,28,,,
56,,,27,27,2,62,
57,3,100,4,4,,,
58,3,100,5,2,,,
59,,,5,3,1,40,
60,3,100,6,3,,,
61,3,100,29,26,,,
62,,,23,27,2,72,
63,2,87,8,9,,,
64,3,100,21,25,,,
65,,,13,23,2,65,
66,3,100,6,1,,,
67,3,100,17,12,,,
68,2,83,3,10,,,
69,3,100,2,5,,,
70,2,95,3,9,,,
71,3,100,7,10,,,
72,3,100,2,8,,,
73,3,100,14,13,,,
74,,,15,23,1,48,
75,,,17,9,2,66,
76,,,28,15,2,75,
77,1,90,7,9,,,
78,,,29,22,2,86,
79,3,100,29,29,,,
80,3,100,1,9,,,
81,0,39,9,9,,,
82,,,12,8,2,69,
83,,,30,4,3,100,
84,3,100,9,12,,,
85,,,28,25,1,62,
86,,,3,12,1,29,
87,3,100,10,14,,,
88,1,57,11,2,,,
89,3,100,10,15,,,
90,3,100,11,12,,,
91,,,11,12,1,47,
92,,,4,3,1,40,
93,,,18,15,2,50,
