version,2,reserved,reserved,reserved,reserved,reserved,reserved
Isla Pinas,P9Y0LGC8,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/11,,,,,,,
1,Butterburger,11,PLQLJ8QU,110,1,11,109
2,DarthCarlos10,10,8YVP9R8V,90,,11,105
3,Space12345,10,8002Y989,89,,10,87
4,Honey Badger,11,U92V0GU0,89,,10,87
5,Atlas,10,RJ9PJ9CC,88,,10,87
6,SWuTangClan,10,8G9LVLP0,87,,10,86
7,Chris,10,229YCRYQV,87,,10,86
8,Darth Carlos,10,VJG8CCUG,86,,10,86
9,ThatAmagnus,10,GPGQC89C,71,,10,84
10,Eleazar,9,C8GRJVL0,70,1,9,69
11,nato,9,2PQ9OVQOV,70,,9,67
12,Czech1Czech2,9,22CP2Y828,70,,9,67
13,RedACE,9,GRJLGCUQ,70,,9,67
14,Amagnus,9,JVQ8JPQV,70,,9,67
15,Evan Hardluck,9,PVPP2LUV,70,,9,67
16,Jippieh Yeah,9,YCYV88UV,70,,9,67
17,Batman,9,2QU9CC8,70,,9,67
18,Dang,9,R2RRRQ9Y,70,,9,67
19,Ohio-Legend-216,9,29QLGYC9Q,70,,9,67
20,Corey,9,GLJRRGV9,69,,9,66
21,Mr. Pizza,9,LU2L8JUV,69,,9,66
22,Lacey Clan,9,R08YP9Q8,69,,9,66
23,Dada 1974,9,GQ0JCQJQ,69,,10,65
24,Michael,9,VU2V9CLV,68,,9,65
25,Oscar,9,29UVLLRC9,68,,9,64
26,Death Wish,9,CPUJYLYR,68,,9,64
27,ViciousVictor,9,CJP89Q2V,68,,9,61
28,Poz,9,PPRYLOUY,66,,9,58
29,Joe,9,LG9GQQJ8,66,,8,44
30,Evanshire,9,JQQR9QYJ,64,,8,42
1,2,56,17,16,,,
2,2,52,8,3,,,
3,1,50,11,11,,,
4,2,94,25,19,,,
5,2,87,10,11,,,
6,3,100,20,18,,,
7,,,30,29,1,62,
8,3,100,2,6,,,
9,,,15,15,2,69,
10,3,100,18,14,,,
11,1,88,7,7,,,
12,2,66,6,4,,,
13,2,91,26,24,,,
14,3,100,20,15,,,
15,3,100,11,12,,,
16,3,100,28,19,,,
17,3,100,29,22,,,
18,,,7,22,2,53,
19,3,100,23,21,,,
20,3,100,29,24,,,
21,2,78,22,25,,,
22,2,96,9,8,,,
23,3,100,23,17,,,
24,1,99,14,11,,,
25,3,100,24,20,,,
26,1,50,22,23,,,
27,2,68,15,13,,,
28,3,100,30,30,,,
29,2,62,15,16,,,
30,3,100,26,25,,,
31,3,100,27,28,,,
32,3,100,25,26,,,
33,2,79,30,29,,,
34,3,100,27,27,,,
35,3,100,4,3,,,
36,,,27,27,2,65,
37,,,18,18,2,52,
38,3,100,13,11,,,
39,3,100,12,13,,,
40,3,100,21,16,,,
41,3,100,24,23,,,
42,3,100,19,10,,,
43,3,100,13,29,,,
44,1,54,4,2,,,
45,3,100,5,9,,,
46,,,30,30,1,47,
47,,,9,9,3,100,
48,3,100,21,17,,,
49,,,30,28,2,83,
50,,,29,29,1,43,
51,2,90,3,5,,,
52,3,100,16,10,,,
53,,,4,23,1,39,
54,,,25,25,2,91,
55,,,21,21,2,82,
56,,,3,22,2,58,
57,,,10,9,2,56,
58,,,14,13,2,72,
59,,,12,10,2,83,
60,1,72,10,10,,,
61,2,65,7,2,,,
62,,,8,8,2,60,
63,3,100,5,8,,,
64,,,23,23,2,87,
65,1,95,1,1,,,
66,,,20,20,2,66,
67,,,19,19,0,47,
68,,,4,4,2,51,
69,,,19,7,2,94,
70,3,100,18,10,,,
71,3,100,6,7,,,
72,2,64,9,4,,,
73,2,64,3,4,,,
74,3,100,14,15,,,
75,,,6,6,2,55,
76,,,28,20,2,70,
77,,,29,19,2,73,
78,,,5,3,2,64,
79,,,24,11,3,100,
80,,,30,24,2,57,
81,,,1,1,2,54,
82,,,11,5,2,79,
83,2,71,16,11,,,
84,,,2,2,1,39,
85,3,100,1,2,,,
86,,,28,24,2,72,
87,2,87,12,11,,,
88,,,16,16,2,81,
89,2,87,8,4,,,
90,,,13,8,2,85,
91,,,17,15,2,56,
92,1,22,19,11,,,
93,2,60,2,5,,,
94,,,2,1,2,66,
95,,,11,6,3,100,
96,,,22,5,2,83,
97,,,26,11,2,92,
98,1,76,17,11,,,
99,,,17,3,3,100,
100,,,8,2,0,37,
101,,,10,4,2,95,
102,,,30,16,2,68,
103,,,22,7,2,71,
104,2,98,28,18,,,
105,,,19,10,2,70,
106,,,29,30,1,41,
107,,,23,28,1,45,
108,,,21,13,1,54,
