version,2,reserved,reserved,reserved,reserved,reserved,reserved
Heisenberglars,P9Y0LGC8,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/13,,,,,,,
1,Wryhorn,11,JQJQVL8Y,108,1,11,109
2,Butterburger,11,PLQLJ8QU,108,1,11,107
3,DarthCarlos10,10,8YVP9R8V,89,1,10,88
4,Space12345,10,8002Y989,88,1,10,87
5,Atlas,10,RJ9PJ9CC,88,1,10,87
6,SWuTangClan,10,8G9LVLP0,87,,10,86
7,Chris,10,229YCRYQV,86,,10,86
8,Aboy,10,VQ9PUJV2,85,,10,86
9,Eleazar,9,C8GRJVL0,69,1,9,69
10,Czech1Czech2,9,22CP2Y828,69,1,9,69
11,Karen,9,22PLL9GCQ,68,1,9,69
12,rOB,9,28PPGJY8R,69,1,9,69
13,RedACE,9,GRJLGCUQ,68,1,9,69
14,Amagnus,9,JVQ8JPQV,69,1,9,69
15,Jippieh Yeah,9,YCYV88UV,68,1,9,69
16,Batman,9,2QU9CC8,69,1,9,69
17,Dang,9,R2RRRQ9Y,69,1,9,69
18,corey,9,GLJRRGV9,69,,9,67
19,Mr. Pizza,9,LU2L8JUV,68,,9,67
20,Lacey Clan,9,R08YP9Q8,68,1,9,68
21,Dada 1974,9,GQ0JCQJQ,67,,9,67
22,michael,9,VU2V9CLV,67,,9,66
23,MrBates,9,22Y)YUL9,68,,9,66
24,Oscar,9,29UVLLRC9,67,,9,66
25,ViciousVictor,9,CJP89Q2V,66,,9,65
26,Bolt,9,8UY02QU0,67,,9,66
27,Avra's Secret,9,28LYQPRG,66,,9,66
28,Poz,9,PPRYLOUY,65,,9,65
29,Joe,9,LG9GQQJ8,65,,9,64
30,beteljuice,9,29OV2LQRR,63,,9,58
1,2,89,25,29,,,
2,2,88,29,25,,,
3,3,100,29,30,,,
4,2,78,18,18,,,
5,2,84,20,28,,,
6,,,30,30,3,100,
7,3,100,21,19,,,
8,2,67,24,20,,,
9,,,29,30,1,75,
10,3,100,19,18,,,
11,2,94,10,16,,,
12,,,27,27,3,100,
13,,,25,25,1,58,
14,2,88,20,27,,,
15,,,20,20,2,64,
16,1,77,18,13,,,
17,,,29,29,3,100,
18,2,90,11,22,,,
19,,,16,16,2,88,
20,3,100,30,24,,,
21,1,82,24,14,,,
22,1,86,28,28,,,
23,,,21,20,2,54,
24,3,100,26,14,,,
25,,,22,24,3,100,
26,,,28,28,3,100,
27,3,100,23,23,,,
28,,,17,16,3,100,
29,,,23,25,2,84,
30,1,69,27,17,,,
31,,,12,14,2,86,
32,,,25,29,3,100,
33,3,100,28,29,,,
34,,,14,12,1,93,
35,3,100,13,16,,,
36,2,94,17,12,,,
37,,,23,24,3,100,
38,,,26,27,2,58,
39,,,18,17,2,98,
40,1,28,22,11,,,
41,2,71,30,26,,,
42,,,19,17,2,81,
43,,,21,22,3,100,
44,1,51,25,28,,,
45,,,8,8,2,59,
46,,,2,2,2,54,
47,,,24,26,2,93,
48,,,26,28,1,46,
49,3,100,16,28,,,
50,,,14,13,1,84,
51,,,4,2,1,83,
52,,,20,22,1,58,
53,,,20,26,2,78,
54,,,10,9,3,100,
55,2,86,23,26,,,
56,,,14,23,2,77,
57,2,71,15,12,,,
58,,,11,9,2,95,
59,,,14,10,2,84,
60,2,81,21,15,,,
61,,,12,23,2,95,
62,,,15,12,2,77,
63,1,83,19,25,,,
64,,,11,7,3,100,
65,3,100,16,22,,,
66,,,26,21,3,100,
67,2,61,1,1,,,
68,2,73,27,21,,,
69,2,99,17,17,,,
70,,,14,7,3,100,
71,2,74,7,6,,,
72,3,100,22,26,,,
73,,,16,15,3,100,
74,,,24,21,3,100,
75,3,100,12,27,,,
76,,,4,3,2,55,
77,2,53,1,2,,,
78,2,90,9,21,,,
79,2,83,11,25,,,
80,2,65,4,4,,,
81,,,12,11,2,2,
82,2,57,6,8,,,
83,2,68,7,5,,,
84,3,100,2,3,,,
85,3,100,14,21,,,
86,,,18,19,3,100,
87,3,100,12,25,,,
88,1,77,9,17,,,
89,2,81,26,20,,,
90,3,100,5,9,,,
91,,,19,19,3,100,
92,,,9,8,3,100,
93,3,100,14,20,,,
94,,,15,11,3,100,
95,,,20,14,2,97,
96,3,100,8,10,,,
97,,,13,13,2,78,
98,2,98,5,11,,,
99,,,7,6,2,59,
100,3,100,8,13,,,
101,1,71,3,8,,,
102,,,1,4,1,42,
103,,,5,5,2,52,
104,2,77,13,12,,,
105,,,13,15,2,65,
106,2,85,10,17,,,
107,2,72,15,15,,,
108,,,1,1,1,54,
109,3,100,3,12,,,
110,,,20,18,2,69,
111,3,100,4,15,,,
112,,,20,10,3,100,
113,1,68,6,11,,,
114,,,13,6,3,100,
115,,,6,1,2,56,
116,,,12,4,3,100,
117,3,100,2,7,,,
118,,,3,3,2,64,
119,,,1,5,1,47,
