player,tag,closer stars,holds,bleeds,nuked,total stars,three stars
Butterburger,PLQLJ8QU,5,1,1,0,5,1,
CactusClan,2PQ89PQ82,3,1,0,0,4,1,
Honey Badger,U92V0GU0,3,1,1,0,4,1,
Sno,GQV9G9VV,4,1,0,0,4,0,
Atlas,RJ9PJ9CC,2,1,0,0,4,0,
SWuTangClan,8G9LVLP0,2,1,0,0,3,0,
Darth Carlos,VJG8CCUG,2,0,1,1,4,0,
Aboy,VQ9PUJV2,5,1,2,1,5,1,
ThatAmagnus,GPGQC89C,3,0,0,0,4,1,
Dirk N,8Y8V8J9C,0,0,3,3,3,0,
Czech1Czech2,22CP2Y828,0,1,0,1,4,0,
Amagnus,JVQ8JPQV,6,0,0,1,6,2,
rOb,28PPGJY8R,3,0,0,1,5,1,
Batman,2QU9CC8,3,1,1,1,5,1,
Jippieh Yeah,YCYV88UV,0,0,1,1,4,0,
Dang,R2RRRQ9Y,3,0,0,1,6,2,
Corey,GLJRRGV9,0,0,0,1,4,0,
Whooboy,22UOVV2JJ,6,0,1,1,6,2,
Mr. Pizza,LU2L8JUV,0,1,0,0,3,0,
RedACE,GRJLGCUQ,0,0,1,1,3,0,
Lacey Clan,R08YP9Q8,6,1,0,0,6,2,
Dada 1974,GQ0JCQJQ,0,0,0,0,4,0,
Michael,VU2V9CLV,6,0,1,1,6,2,
ViciousVictor,CJP89Q2V,0,0,0,0,3,0,
Bolt,8UY02QU0,3,1,2,0,5,1,
Avra's Secret,28LYQPRG,3,0,3,0,5,1,
Swu2,ULYCYCRR,6,0,2,1,6,2,
Leah's Daddy Time,2YQ00J0CR,6,1,1,0,6,2,
Poz,PPRYLOUY,0,1,2,0,4,0,
beteljuice,29OV2LQRR,0,0,6,1,0,0,
