version,2,reserved,reserved,reserved,reserved,reserved,reserved
Dead Wolves,LUYY09Y,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/15,,,,,,,
1,Butterburger,11,PLQLJ8QU,108,,11,89
2,CactusClan,10,2PQ89PQ82,88,,11,89
3,Honey Badger,11,U92V0GU0,88,1,10,88
4,Sno,10,GQV9G9VV,88,1,10,87
5,Atlas,10,RJ9PJ9CC,88,1,10,87
6,SWuTangClan,10,8G9LVLP0,87,,10,86
7,Darth Carlos,10,VJG8CCUG,86,,10,85
8,Aboy,10,VQ9PUJV2,85,,10,84
9,ThatAmagnus,10,GPGQC89C,70,,10,84
10,Dirk N,9,8Y8V8J9C,69,,10,71
11,Czech1Czech2,9,22CP2Y828,69,,10,71
12,Amagnus,9,JVQ8JPQV,69,,10,70
13,rOb,9,28PPGJY8R,69,,10,69
14,Batman,9,2QU9CC8,69,1,9,68
15,Jippieh Yeah,9,YCYV88UV,69,,10,69
16,Dang,9,R2RRRQ9Y,69,1,9,68
17,Corey,9,GLJRRGV9,69,,10,67
18,Whooboy,9,22UOVV2JJ,69,1,9,67
19,Mr. Pizza,9,LU2L8JUV,68,1,9,67
20,RedACE,9,GRJLGCUQ,68,1,9,67
21,Lacey Clan,9,R08YP9Q8,68,1,9,67
22,Dada 1974,9,GQ0JCQJQ,68,1,9,67
23,Michael,9,VU2V9CLV,67,1,9,67
24,ViciousVictor,9,CJP89Q2V,67,,9,68
25,Bolt,9,8UY02QU0,67,,9,66
26,Avra's Secret,9,28LYQPRG,66,,9,64
27,Swu2,9,ULYCYCRR,66,,9,63
28,Leah's Daddy Time,9,2YQ00J0CR,65,,9,56
29,Poz,9,PPRYLOUY,65,,8,54
30,beteljuice,9,29OV2LQRR,64,,8,51
1,,,24,21,3,100,
2,,,23,21,2,93,
3,,,29,26,2,70,
4,,,10,23,2,85,
5,3,100,27,30,,,
6,3,100,21,26,,,
7,3,100,27,29,,,
8,,,12,12,3,100,
9,2,78,17,20,,,
10,2,64,22,23,,,
11,2,94,10,14,,,
12,2,98,25,20,,,
13,3,100,25,22,,,
14,,,27,27,2,68,
15,,,22,22,3,100,
16,3,100,21,27,,,
17,,,13,13,3,100,
18,,,3,3,1,46,
19,2,79,13,21,,,
20,2,79,17,19,,,
21,3,100,23,28,,,
22,3,100,28,16,,,
23,1,80,24,24,,,
24,3,100,28,18,,,
25,2,90,22,17,,,
26,2,88,26,25,,,
27,,,21,18,2,97,
28,,,20,19,2,89,
29,,,17,17,3,100,
30,2,88,19,20,,,
31,,,19,20,2,74,
32,,,30,30,1,48,
33,2,83,4,1,,,
34,2,68,20,20,,,
35,,,7,7,1,48,
36,,,28,28,1,64,
37,3,100,26,15,,,
38,,,30,27,2,78,
39,1,55,19,17,,,
40,,,30,29,0,36,
41,1,86,20,14,,,
42,,,26,30,1,49,
43,,,9,9,3,100,
44,2,87,29,24,,,
45,,,29,29,2,52,
46,,,11,11,2,99,
47,2,98,29,20,,,
48,,,4,4,2,56,
49,,,25,24,0,33,
50,,,1,1,1,56,
51,,,18,19,2,98,
52,2,52,14,19,,,
53,,,25,18,2,90,
54,,,16,17,3,100,
55,3,100,23,23,,,
56,2,87,15,25,,,
57,3,100,14,24,,,
58,3,100,18,20,,,
59,,,14,14,2,68,
60,2,55,24,25,,,
61,,,26,14,2,71,
62,3,100,13,19,,,
63,,,15,16,2,65,
64,3,100,18,21,,,
65,,,26,25,1,63,
66,2,60,4,2,,,
67,,,28,20,2,64,
68,,,6,6,2,52,
69,,,2,3,2,75,
70,3,100,16,17,,,
71,2,83,11,14,,,
72,3,100,12,25,,,
73,,,15,15,3,100,
74,,,27,22,2,82,
75,2,90,5,10,,,
76,3,100,16,14,,,
77,,,14,6,2,75,
78,,,30,26,2,74,
79,2,80,7,8,,,
80,,,10,15,2,95,
81,,,29,25,2,56,
82,,,23,12,3,100,
83,3,100,3,6,,,
84,,,27,10,3,100,
85,2,98,11,12,,,
86,0,46,30,9,,,
87,,,1,2,2,56,
88,,,5,5,2,56,
89,1,63,3,5,,,
90,2,71,15,11,,,
91,3,100,12,13,,,
92,,,10,9,2,97,
93,2,99,8,7,,,
94,1,64,6,9,,,
95,1,75,10,12,,,
96,,,20,11,3,100,
97,0,44,30,4,,,
98,,,8,8,1,45,
99,,,10,10,3,100,
100,2,85,1,3,,,
101,3,100,9,11,,,
102,2,78,6,5,,,
103,1,94,9,10,,,
104,2,64,7,4,,,
105,3,100,2,12,,,
106,3,100,8,10,,,
107,,,8,2,2,67,
108,,,30,24,2,90,
109,2,61,5,9,,,
110,,,26,23,3,100,
111,3,100,1,8,,,
112,,,18,8,3,100,
113,,,3,13,2,55,
114,,,7,1,3,100,
115,,,30,28,0,48,
116,1,90,2,9,,,
117,,,25,16,1,60,
118,,,30,5,3,100,
119,,,8,7,1,48,
