version,2,reserved,reserved,reserved,reserved,reserved,reserved
Dream Team,RUP9R98,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/17,,,,,,,
1,Butterburger,11,PLQLJ8QU,108,1,10,89
2,CactusClan,10,2PQ89PQ82,88,1,10,88
3,Honey Badger,11,U92V0GU0,88,1,10,88
4,Sno,10,GQV9G9VV,88,1,10,87
5,Atlas,10,RJ9PJ9CC,88,1,10,87
6,Chris,10,229YCRYQV,87,,10,86
7,SWuTangClan,10,8G9LVLP0,87,,10,86
8,Darth Carlos,10,VJG8CCUG,87,,10,86
9,Aboy,10,VQ9PUJV2,85,,10,84
10,ThatAmagnus,10,GPGQC89C,70,,10,84
11,Nato,10,2PQ9OVQOV,70,,10,84
12,Eleazar,9,C8GRJVL0,69,,10,84
13,Dirk N,9,8Y8V8J9C,69,,10,83
14,rOb,9,28PPGJY8R,69,,10,70
15,Czech1Czech2,9,22CP2Y828,69,,10,71
16,Ohio-Legend-216,9,29QLGYC9Q,69,,10,70
17,Jippieh Yeah,9,YCYV88UV,69,1,9,68
18,Dang,9,R2RRRQ9Y,69,1,9,68
19,Slim Shady,9,202VRUP9G,69,1,9,68
20,Whooboy,9,22UOVV2JJ,69,1,9,68
21,Corey,9,GLJRRGV9,69,,9,67
22,Mr. Pizza,9,LU2L8JUV,68,,9,66
23,RedACE,9,GRJLGCUQ,68,,9,66
24,Neifen,9,98QU2PQP,68,,9,65
25,michael,9,VU2V9CLV,67,,9,65
26,ViciousVictor,9,CJP89Q2V,67,,9,63
27,Bolt,9,8UY02QU0,67,,9,63
28,Swu2,9,ULYCYCRR,66,,9,59
29,Leah's Daddy Time,9,2YQ00J0CR,65,,9,59
30,Poz,9,PPRYLOUY,65,,4,0
1,3,100,11,17,,,
2,3,100,22,21,,,
3,2,59,26,26,,,
4,,,16,16,2,85,
5,,,28,28,1,50,
6,,,24,24,2,77,
7,2,79,20,19,,,
8,,,12,12,2,80,
9,3,100,26,27,,,
10,1,95,13,19,,,
11,3,100,23,18,,,
12,2,99,27,20,,,
13,,,15,28,3,100,
14,3,100,30,26,,,
15,,,28,24,2,78,
16,3,100,20,14,,,
17,3,100,28,30,,,
18,3,100,23,20,,,
19,3,100,28,29,,,
20,2,81,27,22,,,
21,3,100,30,28,,,
22,,,22,20,2,98,
23,3,100,16,19,,,
24,3,100,11,16,,,
25,2,93,25,23,,,
26,2,77,29,25,,,
27,,,14,14,2,89,
28,2,88,22,15,,,
29,2,53,3,7,,,
30,1,86,29,23,,,
31,,,16,20,2,69,
32,1,64,16,15,,,
33,,,5,5,2,54,
34,2,76,3,1,,,
35,3,100,25,24,,,
36,,,27,27,2,81,
37,2,79,24,25,,,
38,2,86,19,22,,,
39,,,2,1,2,83,
40,2,76,24,23,,,
41,3,100,19,25,,,
42,3,100,14,22,,,
43,,,17,17,2,65,
44,3,100,21,15,,,
45,,,14,16,2,98,
46,2,78,12,23,,,
47,2,63,4,10,,,
48,1,69,18,4,,,
49,2,82,21,23,,,
50,2,90,5,13,,,
51,2,92,1,2,,,
52,1,92,7,4,,,
53,,,10,10,2,69,
54,2,84,4,11,,,
55,3,100,18,23,,,
56,1,65,14,6,,,
57,,,13,13,2,94,
58,0,47,17,12,,,
59,1,87,1,5,,,
60,1,56,7,6,,,
61,,,29,26,3,100,
62,2,66,15,3,,,
63,,,30,27,2,69,
64,,,4,4,2,73,
65,1,39,6,6,,,
66,,,7,6,2,74,
67,2,90,10,12,,,
68,,,30,26,3,100,
69,,,17,15,3,100,
70,,,27,21,2,98,
71,,,26,29,2,86,
72,,,28,21,3,100,
73,2,63,15,9,,,
74,,,3,6,2,60,
75,1,45,13,8,,,
76,2,76,6,8,,,
77,,,25,29,0,37,
78,2,53,10,6,,,
79,1,73,9,13,,,
80,2,62,12,5,,,
81,,,25,25,2,65,
82,,,27,22,3,100,
83,2,60,2,12,,,
84,2,84,8,11,,,
85,3,100,9,10,,,
86,,,6,2,2,84,
87,,,25,22,3,100,
88,,,23,23,2,65,
89,,,18,19,1,76,
90,,,22,18,2,81,
91,,,12,10,2,99,
92,,,19,18,0,21,
93,,,24,19,2,62,
94,2,63,8,4,,,
95,,,1,2,1,53,
96,,,21,23,1,76,
97,,,19,9,3,100,
98,,,18,8,3,100,
99,,,20,15,2,68,
100,,,11,3,3,100,
101,,,26,17,2,67,
102,,,21,13,3,100,
103,,,16,7,3,100,
104,,,12,4,2,90,
105,,,20,11,3,100,
106,,,24,14,1,88,
107,,,26,25,1,76,
108,,,26,7,3,100,
109,,,23,9,3,100,
110,3,100,17,23,,,
111,,,14,11,3,100,
112,,,22,8,3,100,
113,,,13,3,3,100,
114,,,9,5,2,71,
115,,,8,1,2,67,
116,2,68,2,7,,,
117,3,100,5,12,,,
118,,,24,12,2,89,
