version,2,reserved,reserved,reserved,reserved,reserved,reserved
Real Hempstead,CU0VC80,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/19,,,,,,,
1,CactusClan,10,2PQ89PQ82,88,1,11,107
2,Sno,10,GQV9G9VV,88,1,11,88
3,Chris,10,229YCRYQV,87,,11,84
4,SwuTangClan,10,8G9LVLP0,87,,11,70
5,Aboy,10,VQ9PUJV2,85,,10,70
6,ThatAmagnus,10,GPGQC89C,70,,10,70
7,Nato,10,2PQ9OVQOV,70,,11,70
8,Eleazar,9,C8GRJVL0,69,,10,69
9,Dirk N,9,8Y8V8J9C,69,,10,68
10,rOb,9,28PPGJY8R,69,,10,68
11,Czech1Czech2,9,22CP2Y828,69,,10,68
12,Amagnus,9,JVQ8JPQV,69,1,9,68
13,Ohio-Legend-216,9,29QLGYC9Q,69,,10,68
14,Batman,9,2QU9CC8,69,,10,68
15,Jippieh Yeah,9,YCYV88UV,69,1,9,68
16,Dang,9,R2RRRQ9Y,69,1,9,68
17,Whooboy,9,22UOVV2JJ,69,1,9,68
18,Corey,9,GLJRRGV9,69,1,9,68
19,Mr. Pizza,9,LU2L8JUV,68,1,9,68
20,RedACE,9,GRJLGCUQ,68,,9,67
21,Maven,9,JL2U2U2J,68,,9,67
22,ViciousVictor,9,CJP89Q2V,67,,9,67
23,Michael,9,VU2V9CLV,67,,9,67
24,Bolt,9,8UY02QU0,67,,9,66
25,WanG,9,LUYO999R,66,,9,66
26,Swu2,9,ULYCYCRR,66,,9,65
27,Leah's Daddy Time,9,2YQ00J0CR,65,,9,60
28,Poz,9,PPRYLOUY,65,,9,57
29,beteljuice,9,29OV2LQRR,64,,9,57
30,ellen,9,2PLYGVQ20,64,,8,54
1,3,100,11,12,,,
2,,,21,9,2,63,
3,3,100,9,13,,,
4,,,18,15,2,78,
5,3,100,30,24,,,
6,3,100,26,30,,,
7,3,100,13,15,,,
8,3,100,26,29,,,
9,,,13,8,2,88,
10,,,23,9,3,100,
11,1,78,30,23,,,
12,2,99,9,17,,,
13,,,30,29,1,61,
14,,,7,30,1,38,
15,3,100,25,22,,,
16,,,6,30,0,32,
17,3,100,19,19,,,
18,,,16,16,3,100,
19,3,100,29,25,,,
20,2,68,28,27,,,
21,,,28,29,2,75,
22,,,22,16,2,85,
23,3,100,13,20,,,
24,3,100,19,16,,,
25,3,100,29,28,,,
26,2,95,27,26,,,
27,2,66,14,14,,,
28,3,100,21,23,,,
29,,,22,24,1,76,
30,3,100,15,17,,,
31,3,100,14,21,,,
32,2,90,21,27,,,
33,3,100,10,14,,,
34,2,98,7,11,,,
35,3,100,23,26,,,
36,3,100,18,27,,,
37,3,100,17,9,,,
38,2,89,8,18,,,
39,3,100,10,18,,,
40,3,100,2,4,,,
41,2,93,18,10,,,
42,3,100,27,10,,,
43,2,85,24,11,,,
44,2,94,17,8,,,
45,2,78,23,5,,,
46,,,7,6,2,99,
47,,,17,13,2,87,
48,1,70,16,8,,,
49,2,80,28,7,,,
50,,,25,25,2,94,
51,2,98,15,8,,,
52,2,99,24,7,,,
53,2,54,22,6,,,
54,,,30,28,0,36,
55,2,88,16,11,,,
56,,,21,20,2,95,
57,,,9,3,2,75,
58,2,74,25,11,,,
59,,,24,21,1,59,
60,,,26,23,2,81,
61,,,29,22,3,100,
62,2,60,3,1,,,
63,2,71,11,2,,,
64,,,24,23,2,80,
65,,,30,21,2,73,
66,,,25,19,3,100,
67,,,15,12,2,64,
68,1,57,7,8,,,
69,,,20,18,2,77,
70,,,28,27,3,100,
71,2,86,8,7,,,
72,,,27,22,1,88,
73,2,64,22,8,,,
74,,,26,18,3,100,
75,3,100,12,11,,,
76,2,73,3,3,,,
77,2,84,12,7,,,
78,3,100,20,8,,,
79,,,27,27,3,100,
80,2,73,1,6,,,
81,3,100,20,7,,,
82,,,14,14,3,100,
83,,,12,3,3,100,
84,3,100,6,5,,,
85,,,19,15,1,75,
86,,,19,13,1,73,
87,3,100,6,6,,,
88,1,70,4,3,,,
89,,,11,5,3,100,
90,,,30,25,3,100,
91,,,13,24,3,100,
92,,,10,28,2,78,
93,,,19,14,3,100,
94,,,24,20,2,62,
95,2,75,5,3,,,
96,1,76,4,2,,,
97,,,6,11,1,88,
98,1,55,5,2,,,
99,,,8,5,2,75,
100,,,21,17,3,100,
101,,,22,19,2,94,
102,2,71,2,3,,,
103,,,1,7,1,66,
104,,,9,10,3,100,
105,,,8,11,3,100,
106,,,5,4,2,83,
107,,,22,26,1,58,
108,,,4,4,2,64,
109,,,10,6,3,100,
110,,,15,7,3,100,
111,,,17,2,3,100,
112,,,20,10,3,100,
113,,,3,1,2,94,
114,,,24,26,1,69,
115,2,66,1,3,,,
116,,,6,2,3,100,
