version,2,reserved,reserved,reserved,reserved,reserved,reserved
Blackshirts,8VQP2PP,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/21,,,,,,,
1,CactusClan,10,2PQ89PQ82,89,,11,104
2,Space12345,10,8002Y989,88,1,10,88
3,Chris,10,229YCRYQV,87,1,10,88
4,Darth Carlos,10,VJG8CCUG,87,1,10,87
5,SWuTangClan,10,8G9LVLP0,87,1,10,87
6,Aboy,10,VQ9PUJV2,86,1,10,87
7,ThatAmagnus,10,GPGQC89C,70,,10,86
8,Nato,10,2PQ9OVQOV,70,,10,71
9,Eleazar,9,C8GRJVL0,69,,10,70
10,Dirk N,9,8Y8V8J9C,69,,10,70
11,rOb,9,28PPGJY8R,69,1,9,68
12,Czech1Czech2,9,22CP2Y828,69,1,9,68
13,Amagnus,9,JVQ8JPQV,69,,9,67
14,Ohio-Legend-216,9,29QLGYC9Q,69,,9,67
15,Batman,9,2QU9CC8,69,,9,67
16,Jippieh Yeah,9,YCYV88UV,69,,9,67
17,Dang,9,R2RRRQ9Y,69,,9,66
18,Whooboy,9,22UOVV2JJ,69,,9,66
19,Corey,9,GLJRRGV9,69,,9,66
20,Mr. Pizza,9,LU2L8JUV,69,,9,65
21,RedACE,9,GRJLGCUQ,68,,9,64
22,ViciousVictor,9,CJP89Q2V,68,,9,62
23,Michael,9,VU2V9CLV,67,,9,58
24,Bolt,9,8UY02QU0,67,,10,57
25,Avra's Secret,9,28LYQPRG,66,,8,54
26,Leah's Daddy Time,9,2YQ00J0CR,66,,8,53
27,Poz,9,PPRYLOUY,65,,9,53
28,Joe,9,LG9GQQJ8,65,,8,53
29,ellen,9,2PLYGVQ20,64,,8,48
30,beteljuice,9,29OV2LQRR,64,,3,0
1,,,9,25,1,38,
2,,,22,22,1,36,
3,1,59,30,25,,,
4,,,30,27,2,69,
5,3,100,22,24,,,
6,,,25,26,1,46,
7,,,8,25,1,17,
8,,,30,21,3,100,
9,,,22,19,1,51,
10,,,29,22,3,100,
11,,,28,23,2,93,
12,2,69,10,11,,,
13,,,4,6,2,54,
14,3,100,27,19,,,
15,,,10,28,1,34,
16,,,13,9,3,100,
17,2,95,14,14,,,
18,3,100,26,18,,,
19,2,91,19,17,,,
20,3,100,24,21,,,
21,3,100,30,26,,,
22,,,26,26,2,51,
23,3,100,27,20,,,
24,3,100,19,15,,,
25,3,100,26,25,,,
26,,,7,28,1,20,
27,3,100,9,16,,,
28,,,6,6,2,82,
29,,,26,14,1,75,
30,,,27,23,1,33,
31,3,100,24,27,,,
32,,,18,11,3,100,
33,2,85,11,17,,,
34,,,3,3,2,77,
35,,,28,24,2,75,
36,,,22,13,1,67,
37,,,26,24,2,77,
38,3,100,23,22,,,
39,,,25,16,2,95,
40,,,14,9,2,98,
41,,,11,29,1,42,
42,,,27,13,2,90,
43,3,100,28,23,,,
44,3,100,25,30,,,
45,,,17,27,1,50,
46,3,100,25,29,,,
47,2,73,9,14,,,
48,,,28,21,3,100,
49,3,100,14,13,,,
50,3,100,28,28,,,
51,,,27,20,1,47,
52,,,12,29,0,38,
53,3,100,18,14,,,
54,3,100,18,8,,,
55,,,26,20,1,76,
56,,,24,16,2,64,
57,2,60,29,1,,,
58,3,100,20,12,,,
59,,,9,5,3,100,
60,2,60,5,6,,,
61,1,46,4,2,,,
62,1,69,22,10,,,
63,0,34,29,3,,,
64,2,80,12,9,,,
65,3,100,8,9,,,
66,2,74,2,5,,,
67,1,90,3,3,,,
68,2,69,20,11,,,
69,3,100,23,17,,,
70,3,100,17,11,,,
71,,,16,10,2,82,
72,,,15,7,3,100,
73,,,23,17,2,79,
74,1,39,2,3,,,
75,1,51,11,10,,,
76,2,73,3,2,,,
77,1,85,17,7,,,
78,1,73,13,10,,,
79,2,64,4,3,,,
80,2,64,8,10,,,
81,1,38,16,4,,,
82,,,17,10,3,100,
83,,,27,19,2,87,
84,0,35,13,4,,,
85,2,79,15,17,,,
86,,,16,8,2,84,
87,2,87,5,7,,,
88,1,57,15,7,,,
89,,,22,11,2,99,
90,2,91,10,4,,,
91,2,71,12,10,,,
92,2,98,7,10,,,
93,,,7,3,3,100,
94,,,10,5,3,100,
95,1,46,1,4,,,
96,1,64,16,17,,,
97,2,56,7,4,,,
98,2,78,21,10,,,
99,,,10,4,3,65,
100,,,5,1,3,100,
101,3,100,6,10,,,
102,,,11,4,2,98,
103,3,100,21,11,,,
104,,,2,1,2,80,
105,,,21,12,1,58,
106,,,14,8,2,80,
107,,,27,14,2,95,
108,,,19,12,1,51,
109,1,54,6,6,,,
110,,,27,18,2,80,
111,,,20,17,1,43,
112,,,12,7,3,100,
113,2,67,1,5,,,
114,,,1,18,1,28,
115,,,27,15,2,81,
116,,,21,15,1,53,
117,,,1,2,2,61,
118,,,8,2,3,100,
