version,2,reserved,reserved,reserved,reserved,reserved,reserved
Indo Bengkulu 2,CV8VVRY,,JTJ,2R9RCV9V,,S6,
40,,,,,,,
2016/10/23,,,,,,,
1,CactusClan,10,2PQ89PQ82,89,1,11,108
2,Space12345,10,8002Y989,89,1,10,88
3,Chris,10,229YCRYQV,87,1,10,88
4,Darth Carlos,10,VJG8CCUG,87,1,10,88
5,SWuTangClan,10,8G9LVLP0,87,1,10,87
6,Aboy,10,VQ9PUJV2,86,1,10,87
7,nato,10,2PQ9OVQOV,71,1,10,87
8,ThatAmagnus,10,GPGQC89C,71,1,9,69
9,Dirk N,9,8Y8V8J9C,69,1,9,69
10,rOb,9,28PPGJY8R,69,1,9,69
11,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
12,Eleazar,9,C8GRJVL0,69,1,9,68
13,Czech1Czech2,9,22CP2Y828,69,1,9,68
14,Amagnus,9,JVQ8JPQV,69,1,9,68
15,UTiger13,9,2OVQLGRUJ,69,1,9,68
16,Batman,9,2QU9CC8,69,1,9,68
17,slim shady,9,202VRUP9G,69,,9,67
18,Evan Hardluck,9,PVPP2LUV,69,,9,67
19,Jippieh Yeah,9,YCYV88UV,69,,9,67
20,Dang,9,R2RRRQ9Y,69,,9,67
21,Whooboy,9,22UOVV2JJ,69,,9,67
22,corey,9,GLJRRGV9,69,,9,67
23,Mr. Pizza,9,LU2L8JUV,69,,9,67
24,RedACE,9,GRJLGCUQ,68,,9,67
25,Lacey Clan,9,R08YP9Q8,68,,9,66
26,Dada 1974,9,GQ0JCQJQ,68,,9,66
27,ViciousVictor,9,CJP89Q2V,68,,9,66
28,Michael,9,VU2V9CLV,67,,9,66
29,Lance's Son,9,98090CQR,67,,9,66
30,Avra's Secret,9,28LYQPRG,66,,9,65
31,WanG,9,LUYO999R,66,,9,65
32,Swu2,9,ULYCYCRR,66,,9,63
33,Leah's Daddy Time,9,2YQ00J0CR,66,,9,62
34,Joe,9,LG9GQQJ8,65,,9,62
35,Double G,9,JY8R9G9U,65,,9,61
36,Poz,9,PPRYLOUY,65,,9,60
37,okbit,9,G8UY09QQ,65,,9,60
38,ellen,9,2PLYGVQ20,64,,8,54
39,beteljuice,9,29OV2LQRR,64,,8,53
40,Yash Trivedi,9,20P92R8RL,63,,8,52
1,3,100,31,31,,,
2,3,100,35,35,,,
3,3,100,28,32,,,
4,3,100,27,34,,,
5,3,100,32,40,,,
6,3,100,32,38,,,
7,3,100,16,21,,,
8,3,100,17,14,,,
9,1,60,30,8,,,
10,,,39,39,1,44,
11,,,11,11,2,86,
12,2,85,30,15,,,
13,,,26,26,2,75,
14,3,100,33,39,,,
15,,,37,37,2,72,
16,2,74,4,2,,,
17,3,100,40,37,,,
18,2,90,11,11,,,
19,,,31,31,1,60,
20,,,7,7,1,81,
21,0,46,11,16,,,
22,,,9,8,2,77,
23,,,10,9,2,56,
24,,,18,13,1,69,
25,,,4,3,2,61,
26,,,26,13,1,52,
27,3,100,26,26,,,
28,,,13,12,2,58,
29,,,25,25,2,79,
30,,,38,38,1,32,
31,,,8,7,1,88,
32,,,33,31,3,100,
33,,,38,26,2,89,
34,,,40,37,2,75,
35,,,14,12,2,73,
36,,,18,8,1,85,
37,1,78,18,18,,,
38,1,86,29,29,,,
39,,,29,29,2,72,
40,,,3,2,2,60,
41,2,98,21,8,,,
42,,,24,24,1,60,
43,,,23,23,1,75,
44,2,98,18,17,,,
45,,,6,3,2,84,
46,2,55,21,11,,,
47,,,16,16,2,64,
48,2,97,40,36,,,
49,3,100,36,28,,,
50,,,18,18,2,76,
51,3,100,15,23,,,
52,3,100,28,25,,,
53,,,22,22,2,76,
54,,,7,2,2,97,
55,,,24,18,2,50,
56,1,85,36,30,,,
57,3,100,23,9,,,
58,,,39,29,2,97,
59,2,77,10,10,,,
60,,,32,32,1,56,
61,,,5,5,1,49,
62,,,27,9,2,73,
63,2,53,37,33,,,
64,,,21,21,1,44,
65,,,40,36,1,88,
66,2,89,16,12,,,
67,3,100,26,13,,,
68,,,20,20,2,63,
69,3,100,23,16,,,
70,2,86,34,33,,,
71,,,36,35,2,81,
72,3,100,9,19,,,
73,,,8,5,2,94,
74,3,100,38,29,,,
75,2,80,25,27,,,
76,1,48,4,7,,,
77,,,23,21,2,65,
78,2,65,22,11,,,
79,3,100,38,30,,,
80,3,100,9,20,,,
81,3,100,27,24,,,
82,3,100,31,33,,,
83,3,100,12,22,,,
84,,,32,23,3,100,
85,3,100,25,18,,,
86,3,100,2,4,,,
87,3,100,37,17,,,
88,1,56,35,27,,,
89,3,100,22,27,,,
90,3,100,34,36,,,
91,,,17,17,2,52,
92,,,30,30,2,71,
93,0,40,33,5,,,
94,0,42,2,3,,,
95,2,59,1,6,,,
96,2,57,7,7,,,
97,3,100,15,15,,,
98,3,100,12,12,,,
99,2,71,14,10,,,
100,1,47,7,3,,,
101,2,63,39,11,,,
102,3,100,20,8,,,
103,2,80,17,11,,,
104,3,100,14,11,,,
105,2,58,19,10,,,
106,3,100,20,10,,,
107,1,32,10,3,,,
108,0,33,13,1,,,
109,,,15,14,2,80,
110,2,67,8,5,,,
111,,,31,24,2,90,
112,2,50,6,7,,,
113,3,100,24,15,,,
114,2,84,24,17,,,
115,0,44,1,1,,,
116,2,59,13,3,,,
117,3,100,6,6,,,
118,,,21,14,2,83,
