version,2,reserved,reserved,reserved,reserved,reserved,reserved
SaMarkAnd786,8Y2VJ29Q,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/24,,,,,,,
1,CactusClan,10,2PQ89PQ82,89,,11,105
2,Space12345,10,8002Y989,89,,11,104
3,Atlas,10,RJ9PJ9CC,88,,11,90
4,Chris,10,229YCRYQV,87,1,10,87
5,Darth Carlos,10,VJG8CCUG,87,,10,86
6,SWuTangClan,10,8G9LVLP0,87,,10,86
7,Aboy,10,VQ9PUJV2,86,,10,85
8,ThatAmagnus,10,GPGQC89C,71,,10,85
9,Eleazar,9,C8GRJVL0,69,,10,84
10,Dirk N,9,8Y8V8J9C,69,,10,73
11,rOB,9,28PPGJY8R,69,,10,70
12,Czech1Czech2,9,22CP2Y828,69,1,9,69
13,Amagnus,9,JVQ8JPQV,69,1,9,68
14,UTiger13,9,2OVQLGRUJ,69,1,9,68
15,Evan Hardluck,9,PVPP2LUV,69,1,9,68
16,Jippieh Yeah,9,YCYV88UV,69,,9,67
17,Dang,9,R2RRRQ9Y,69,,9,67
18,corey,9,GLJRRGV9,69,,9,67
19,Whooboy,9,22UOVV2JJ,69,,9,67
20,Lacey Clan,9,R08YP9Q8,68,,9,66
21,RedACE,9,GRJLGCUQ,68,,9,66
22,ViciousVictor,9,CJP89Q2V,68,,9,66
23,Michael,9,VU2V9CLV,67,,9,65
24,Avra's Secret,9,28LYQPRG,66,,9,65
25,WanG,9,LUYO999R,66,,9,64
26,Swu2,9,ULYCYCRR,66,,9,64
27,Joe,9,LG9GQQJ8,65,,9,63
28,Poz,9,PPRYLOUY,65,,9,61
29,okbit,9,G8UY09QQ,65,,9,60
30,ellen,9,2PLYGVQ20,64,,8,51
1,3,100,24,30,,,
2,2,67,24,7,,,
3,2,72,30,20,,,
4,2,87,27,15,,,
5,3,100,22,27,,,
6,2,90,30,17,,,
7,3,100,25,20,,,
8,3,100,22,25,,,
9,2,99,27,21,,,
10,3,100,29,29,,,
11,2,54,18,16,,,
12,,,19,19,2,70,
13,3,100,20,22,,,
14,3,100,12,13,,,
15,2,81,14,18,,,
16,2,80,20,19,,,
17,2,60,18,18,,,
18,,,7,7,1,49,
19,,,24,24,3,100,
20,2,96,26,28,,,
21,3,100,10,17,,,
22,2,78,21,18,,,
23,,,25,24,2,68,
24,3,100,26,26,,,
25,2,84,12,12,,,
26,,,20,20,2,62,
27,1,60,14,14,,,
28,1,85,17,16,,,
29,3,100,21,14,,,
30,,,25,20,2,51,
31,1,82,25,21,,,
32,1,72,23,23,,,
33,3,100,10,19,,,
34,,,18,18,2,80,
35,3,100,9,21,,,
36,3,100,17,15,,,
37,,,17,17,2,68,
38,,,28,28,2,65,
39,,,13,13,1,52,
40,,,2,2,2,52,
41,3,100,28,24,,,
42,2,78,3,9,,,
43,,,25,25,2,56,
44,,,30,28,2,97,
45,2,86,13,16,,,
46,,,21,21,2,81,
47,,,5,5,1,49,
48,,,26,26,3,100,
49,,,7,2,1,71,
50,,,4,4,2,59,
51,,,22,13,1,67,
52,2,90,23,28,,,
53,,,11,11,2,75,
54,,,14,14,2,89,
55,,,12,12,2,80,
56,,,13,5,3,100,
57,,,22,22,1,65,
58,2,86,15,16,,,
59,,,5,4,2,80,
60,,,9,9,2,91,
61,2,59,15,18,,,
62,,,22,17,2,62,
63,,,23,23,2,50,
64,,,29,29,2,62,
65,,,30,29,2,56,
66,,,27,30,0,45,
67,3,100,19,16,,,
68,3,100,11,28,,,
69,3,100,29,23,,,
70,3,100,11,12,,,
71,,,6,6,1,44,
72,2,66,3,8,,,
73,1,59,4,4,,,
74,2,90,9,18,,,
75,2,98,19,11,,,
76,,,8,8,2,92,
77,3,100,16,11,,,
78,1,50,13,18,,,
79,,27,16,,65,,
80,,,25,26,1,65,
81,2,78,8,10,,,
82,2,92,4,2,,,
83,,,28,18,2,82,
84,0,43,5,3,,,
85,2,68,16,18,,,
86,1,67,6,5,,,
87,,,10,10,2,80,
88,,,16,7,2,69,
89,,,15,12,3,100,
90,,,1,1,1,48,
91,,,29,25,1,78,
92,,,28,15,2,85,
93,2,76,28,18,,,
94,,,30,14,3,100,
95,1,71,5,1,,,
96,,,29,19,1,85,
97,2,75,6,3,,,
98,,,7,8,1,44,
99,,,28,23,2,64,
100,3,100,8,18,,,
101,,,18,15,1,32,
102,,,10,6,1,60,
103,2,55,7,6,,,
104,,,3,3,2,57,
105,3,100,7,10,,,
106,,,19,10,2,69,
107,2,62,2,5,,,
108,2,80,2,4,,,
