version,2,reserved,reserved,reserved,reserved,reserved,reserved
Blood,89QYPYPP,,JTJ,2R9RCV9V,,S6,
30,,,,,,,
2016/10/24,,,,,,,
1,Wryhorn,11,JQJQVL8Y,108,1,11,108
2,Butterburger,11,PLQLJ8QU,108,1,11,108
3,Sno,10,GQV9G9VV,88,1,10,89
4,Atlas,10,RJ9PJ9CC,88,1,10,88
5,Darth Carlos,10,VJG8CCUG,88,1,10,88
6,chris,10,229YCRYQV,88,,10,86
7,SwuTangClan,10,8G9LVLP0,87,,10,86
8,Aboy,10,VQ9PUJV2,86,,10,85
9,Eleazar,9,C8GRJVL0,69,1,9,70
10,Dirk N,9,8Y8V8J9C,70,1,9,69
11,rOb,9,28PPGJY8R,69,1,9,69
12,Czech1Czech2,9,22CP2Y828,69,1,9,69
13,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
14,Amagnus,9,JVQ8JPQV,69,1,9,69
15,corey,9,GLJRRGV9,69,1,9,69
16,Batman,9,2QU9CC8,69,1,9,69
17,UTiger13,9,2OVQLGRUJ,69,1,9,69
18,Dang,9,R2RRRQ9Y,69,1,9,69
19,Jippieh Yeah,9,YCYV88UV,69,1,9,69
20,Whooboy,9,22UOVV2JJ,69,1,9,68
21,Mr. Pizza,9,LU2L8JUV,69,1,9,68
22,Lacey Clan,9,R08YP9Q8,68,1,9,68
23,RedACE,9,GRJLGCUQ,68,1,9,68
24,ViciousVictor,9,CJP89Q2V,68,1,9,68
25,Michael,9,VU2V9CLV,67,1,9,68
26,Avra's Secret,9,28LYQPRG,66,1,9,68
27,WanG,9,LUYO999R,66,1,9,68
28,Leah's Daddy Time,9,2YQ00J0CR,66,1,9,68
29,Poz,9,PPRYLOUY,65,,9,67
30,okbit,9,G8UY09QQ,65,,9,63
1,,,20,22,3,100,
2,2,91,24,29,,,
3,,,14,24,2,89,
4,,,17,22,3,100,
5,2,73,16,18,,,
6,,,21,19,2,83,
7,,,18,24,2,98,
8,3,100,16,21,,,
9,,,4,1,1,63,
10,,,30,29,1,72,
11,,,22,21,1,60,
12,,,23,21,2,99,
13,3,100,30,30,,,
14,,,11,14,2,86,
15,1,78,10,14,,,
16,,,28,20,3,100,
17,2,62,22,26,,,
18,,,30,25,0,35,
19,,,9,26,2,69,
20,,,27,29,2,60,
21,,,26,12,2,97,
22,,,24,19,3,100,
23,,,15,14,1,84,
24,,,10,17,2,73,
25,,,13,26,1,71,
26,,,22,15,3,100,
27,2,79,22,25,,,
28,2,65,15,14,,,
29,,,30,30,3,100,
30,,,27,25,2,90,
31,,,12,10,1,55,
32,2,75,15,25,,,
33,,,2,5,0,47,
34,,,12,16,3,100,
35,,,15,15,3,100,
36,1,57,21,14,,,
37,,,16,30,3,100,
38,,,13,16,3,100,
39,2,69,24,28,,,
40,2,97,25,22,,,
41,3,100,21,20,,,
42,2,93,28,23,,,
43,1,65,28,17,,,
44,2,81,29,29,,,
45,2,93,26,28,,,
46,2,89,25,24,,,
47,2,86,13,18,,,
48,2,68,26,16,,,
49,3,100,23,16,,,
50,3,100,23,14,,,
51,,,21,23,2,73,
52,2,95,27,27,,,
53,,,19,13,1,67,
54,,,25,28,2,81,
55,,,21,18,2,95,
56,,,29,18,1,85,
57,,,29,13,3,100,
58,,,26,27,2,80,
59,,,2,4,2,61,
60,,,14,10,3,100,
61,3,100,9,22,,,
62,,,21,9,2,98,
63,2,61,5,2,,,
64,,,26,9,1,59,
65,,,19,12,1,76,
66,,,27,23,3,100,
67,,,18,17,2,99,
68,1,74,9,23,,,
69,,,18,11,2,68,
70,,,7,2,2,98,
71,3,100,17,19,,,
72,3,100,30,29,,,
73,,,1,6,2,53,
74,2,94,17,17,,,
75,,,26,11,3,100,
76,2,82,13,26,,,
77,,,23,20,2,61,
78,3,100,2,8,,,
79,2,72,11,27,,,
80,2,99,1,7,,,
81,2,55,5,1,,,
82,2,67,11,26,,,
83,3,100,10,24,,,
84,,,9,8,3,100,
85,,,21,28,2,98,
86,,,11,7,3,100,
87,1,67,14,18,,,
88,,,10,4,3,100,
89,1,45,29,3,,,
90,3,100,6,9,,,
91,,,19,8,2,69,
92,1,75,4,13,,,
93,3,100,19,28,,,
94,2,89,27,25,,,
95,3,100,14,27,,,
96,,,3,1,2,96,
97,,,25,5,3,100,
98,3,100,12,23,,,
99,,,4,2,1,88,
100,3,100,20,26,,,
101,2,98,18,18,,,
102,3,100,3,13,,,
103,2,81,1,6,,,
104,3,100,12,25,,,
105,3,100,4,12,,,
106,1,77,20,15,,,
107,2,69,7,4,,,
108,,,4,27,2,64,
109,2,66,6,3,,,
110,3,100,8,11,,,
111,,,6,3,2,66,
112,2,91,19,18,,,
113,2,99,18,17,,,
114,2,73,2,5,,,
115,3,100,3,10,,,
116,,,5,3,2,94,
117,3,100,8,18,,,
118,3,100,7,15,,,
119,,,8,6,2,97,
120,,,19,7,3,100,
