version,2,reserved,reserved,reserved,reserved,reserved,reserved
Micro Empire 14,808VRCVY,,JTJ,2R9RCV9V,,S6,
25,,,,,,,
2016/11/02,,,,,,,
1,CactusClan,10,2PQ89PQ82,89,1,10,88
2,Darth Carlos,10,VJG8CCUG,88,1,10,87
3,Chris,10,229YCRYQV,88,,10,86
4,SwuTangClan,10,8G9LVLP0,87,,10,84
5,Aboy,10,VQ9PUJV2,86,,10,84
6,Dirk N,9,8Y8V8J9C,70,,10,82
7,Czech1Czech2,9,22CP2Y828,70,,10,81
8,Eleazar,9,C8GRJVL0,69,,10,81
9,rOb,9,28PPGJY8R,69,1,9,69
10,Ohio-Legend-216,9,29QLGYC9Q,69,,9,67
11,corey,9,GLJRRGV9,69,,9,66
12,Amagnus,9,JVQ8JPQV,69,,9,66
13,Dang,9,R2RRRQ9Y,69,,9,66
14,UTiger13,9,2OVQLGRUJ,69,,9,66
15,Whooboy,9,22UOVV2JJ,69,,9,66
16,Lacey Clan,9,R08YP9Q8,69,,10,66
17,Dada 1974,9,GQ0JCQJQ,68,,9,65
18,RedACE,9,GRJLGCUQ,68,,9,65
19,Death Wish,9,CPUJYLYR,68,,9,65
20,Michael,9,VU2V9CLV,67,,9,65
21,Av7,9,RGPR9YJ9,67,,9,64
22,Rraaju,9,209Y9V9PG,67,,9,64
23,Swu2,9,ULYCYCRR,66,,9,64
24,Joe,9,LG9GQQJ8,66,,9,62
25,Poz,9,PPRYLOUY,65,,9,61
1,3,100,20,21,,,
2,3,100,3,5,,,
3,3,100,19,20,,,
4,3,100,17,15,,,
5,,,13,13,0,41,
6,3,100,16,22,,,
7,3,100,17,12,,,
8,3,100,24,13,,,
9,,,7,7,2,80,
10,3,100,25,24,,,
11,2,77,11,14,,,
12,,,8,8,1,46,
13,2,79,16,19,,,
14,,,23,23,1,44,
15,0,48,24,17,,,
16,,,12,12,1,58,
17,3,100,14,14,,,
18,,,24,24,2,84,
19,3,100,22,18,,,
20,,,22,22,2,71,
21,3,100,7,11,,,
22,3,100,14,16,,,
23,3,100,13,10,,,
24,3,100,23,25,,,
25,3,100,12,9,,,
26,2,88,6,23,,,
27,3,100,20,23,,,
28,3,100,23,17,,,
29,2,64,12,8,,,
30,2,98,4,6,,,
31,,,12,9,1,82,
32,,,9,9,2,75,
33,,,15,15,1,48,
34,,,13,23,2,52,
35,,,16,16,2,82,
36,3,100,6,19,,,
37,,,18,18,0,41,
38,,,23,15,2,82,
39,2,69,10,7,,,
40,,,10,10,2,64,
41,,,4,4,0,40,
42,,,15,10,2,58,
43,3,100,8,10,,,
44,,,19,19,2,93,
45,3,100,8,9,,,
46,2,94,4,7,,,
47,,,25,25,2,72,
48,2,60,15,2,,,
49,1,71,11,7,,,
50,1,60,13,4,,,
51,0,41,15,3,,,
52,,,18,12,2,95,
53,,,4,19,1,39,
54,3,100,18,11,,,
55,3,100,9,9,,,
56,2,85,18,9,,,
57,3,100,10,9,,,
58,1,85,3,4,,,
59,3,100,7,9,,,
60,3,100,2,8,,,
61,3,100,2,7,,,
62,2,85,22,9,,,
63,3,100,25,11,,,
64,1,64,5,1,,,
65,2,66,5,3,,,
66,1,43,19,9,,,
67,3,100,9,11,,,
68,2,86,1,4,,,
69,,,17,11,2,98,
70,1,78,1,1,,,
71,,,21,21,2,60,
72,,,23,24,2,94,
73,,,14,14,0,39,
