version,2,reserved,reserved,reserved,reserved,reserved,reserved
Pasikat,PLLQLQ8V,,JTJ,2R9RCV9V,,S6,
25,,,,,,,
2016/11/04,,,,,,,
1,Space12345,10,8002Y989,89,,11,105
2,CactusClan,10,2PQ89PQ82,89,1,10,87
3,Darth Carlos,10,VJG8CCUG,88,1,10,87
4,Chris,10,229YCRYQV,88,1,10,87
5,SwuTangClan,10,8G9LVLP0,87,,10,85
6,Aboy,10,VQ9PUJV2,86,,10,84
7,ThatAmagnus,10,GPGQC89C,71,,10,84
8,Dirk N,9,8Y8V8J9C,70,,10,83
9,Corey,9,GLJRRGV9,69,,10,83
10,Eleazar,9,C8GRJVL0,69,,9,67
11,rOb,9,28PPGJY8R,69,,9,67
12,Ohio-Legend-216,9,29QLGYC9Q,69,,9,67
13,Amagnus,9,JVQ8JPQV,69,,9,67
14,Dang,9,R2RRRQ9Y,69,,9,67
15,UTiger13,9,2OVQLGRUJ,69,,9,67
16,Mord,9,22JGQUCJQ,69,,9,67
17,Mr. Pizza,9,LU2L8JUV,69,,9,67
18,Lacey Clan,9,R08YP9Q8,69,,9,66
19,RedACE,9,GRJLGCUQ,68,,9,66
20,Death Wish,9,CPUJYLYR,68,,9,66
21,Michael,9,VU2V9CLV,67,,9,65
22,Jack Sparrow,9,8P98LVLPG,67,,9,65
23,Swu2,9,ULYCYCRR,66,,9,65
24,Joe,9,LG9GQQJ8,66,,9,61
25,Poz,9,PPRYLOUY,65,,9,59
1,1,55,25,21,,,
2,1,91,23,21,,,
3,3,100,21,16,,,
4,1,90,23,19,,,
5,1,59,12,11,,,
6,3,100,12,10,,,
7,1,81,10,12,,,
8,1,85,22,23,,,
9,,,8,8,2,71,
10,,,5,5,0,46,
11,,,12,12,2,84,
12,2,88,10,14,,,
13,,,15,15,2,72,
14,2,86,22,13,,,
15,,,17,17,2,62,
16,2,81,11,15,,,
17,,,18,18,1,44,
18,3,100,11,20,,,
19,2,81,9,11,,,
20,,,6,6,2,61,
21,,,7,7,2,74,
22,2,84,9,12,,,
23,3,100,8,13,,,
24,2,90,20,21,,,
25,2,87,18,22,,,
26,3,100,25,25,,,
27,,,14,14,2,56,
28,,,10,10,2,77,
29,,,19,19,2,72,
30,2,58,24,17,,,
31,3,100,15,14,,,
32,3,100,21,24,,,
33,2,95,18,19,,,
34,3,100,14,15,,,
35,2,63,5,7,,,
36,1,75,4,2,,,
37,2,85,24,18,,,
38,,,4,4,2,64,
39,2,85,16,11,,,
40,3,100,4,6,,,
41,3,100,17,17,,,
42,3,100,5,8,,,
43,3,100,15,21,,,
44,,,11,11,0,2,
45,3,100,14,11,,,
46,3,100,17,18,,,
47,3,100,16,23,,,
48,,,25,25,1,47,
49,,,24,24,1,47,
50,3,100,13,12,,,
51,2,53,3,1,,,
52,,,16,16,2,51,
53,2,95,13,19,,,
54,,,5,4,2,64,
55,3,100,1,5,,,
56,,,21,21,2,66,
57,3,100,3,9,,,
58,1,63,1,3,,,
59,2,62,7,3,,,
60,3,100,19,19,,,
61,1,59,19,22,,,
62,2,59,7,4,,,
63,3,100,8,22,,,
64,,,18,15,2,66,
65,,,24,21,3,100,
66,,,11,8,1,81,
67,,,9,5,2,84,
68,,,3,3,2,70,
69,2,81,6,7,,,
70,,,11,7,2,71,
71,,,13,6,2,80,
72,2,69,20,9,,,
73,,,20,17,2,64,
74,2,69,2,7,,,
75,,,15,12,2,71,
76,,,25,24,2,64,
77,,,22,11,2,85,
78,2,60,6,2,,,
79,,,23,25,1,33,
80,,,23,20,2,75,
81,,,2,3,2,68,
82,2,52,2,4,,,
