version,2,reserved,reserved,reserved,reserved,reserved,reserved
Motor Heads,VQ0ULG9,,JTJ,2R9RCV9V,,S7,
40,,,,,,,
2016/11/08,,,,,,,
1,Butterburger,11,PLQLJ8QU,108,1,11,108
2,Wryhorn,11,JQJQVL8Y,108,1,11,108
3,CactusClan,10,2PQ89PQ82,89,1,11,107
4,Space12345,10,8002Y989,89,,11,106
5,Darth Carlos,10,VJG8CCUG,88,1,10,88
6,Sno,10,GQV9G9VV,88,1,10,88
7,Atlas,10,RJ9PJ9CC,88,1,10,88
8,Chris,10,229YCRYQV,88,1,10,87
9,SwuTangClan,10,8G9LVLP0,87,1,10,87
10,Aboy,10,VQ9PUJV2,86,1,11,87
11,ThatAmagnus,10,GPGQC89C,71,,10,85
12,Nato,10,2PQ9OVQOV,71,,10,84
13,Czech1Czech2,9,22CP2Y828,70,,10,83
14,Dirk N,9,8Y8V8J9C,70,,10,76
15,Corey,9,GLJRRGV9,69,,11,71
16,Eleazar,9,C8GRJVL0,69,,10,69
17,rOb,9,28PPGJY8R,69,,9,68
18,Evan Hardluck,9,PVPP2LUV,69,,9,68
19,Ohio-Legend-216,9,29QLGYC9Q,69,,10,67
20,Batman,9,2QU9CC8,69,,9,67
21,Jippieh Yeah,9,YCYV88UV,69,,9,67
22,Dang,9,R2RRRQ9Y,69,,10,67
23,Amagnus,9,JVQ8JPQV,69,,10,67
24,UTiger13,9,2OVQLGRUJ,69,,9,67
25,Mord,9,22JGQUCJQ,69,,10,67
26,Whooboy,9,22UOVV2JJ,69,,9,66
27,Mr. Pizza,9,LU2L8JUV,69,,10,66
28,Manik,9,YGYQPLYP,69,,11,66
29,Lacey Clan,9,R08YP9Q8,69,,9,64
30,RedACE,9,GRJLGCUQ,68,,11,57
31,sharent,9,YGQQ89LR,68,,8,54
32,H Dog,9,YYGJ00CJ,68,,10,54
33,Michael,9,VU2V9CLV,67,,8,53
34,Avra's Secret,9,28LYQPRG,67,,8,53
35,WanG,9,LUYO999R,66,,8,51
36,Swu2,9,ULYCYCRR,66,,11,50
37,Joe,9,LG9GQQJ8,66,,8,50
38,Poz,9,PPRYLOUY,65,,8,49
39,ellen,9,2PLYGVQ20,65,,9,30
40,beteljuice,9,29OV2LQRR,65,,9,28
1,3,100,39,36,,,
2,3,100,39,32,,,
3,,,31,22,3,100,
4,,,37,37,1,47,
5,,,1,2,1,43,
6,,,27,23,3,100,
7,,,14,15,3,100,
8,,,28,11,2,89,
9,3,100,36,34,,,
10,2,64,5,4,,,
11,3,100,29,38,,,
12,,,15,19,3,100,
13,3,100,15,24,,,
14,,,10,6,2,76,
15,3,100,28,37,,,
16,,,16,27,1,73,
17,,,29,26,2,83,
18,3,100,37,33,,,
19,3,100,15,26,,,
20,3,100,36,35,,,
21,3,100,16,27,,,
22,,,40,40,2,64,
23,,,2,2,2,57,
24,,,21,17,2,59,
25,3,100,38,40,,,
26,,,7,10,2,64,
27,3,100,22,22,,,
28,3,100,29,31,,,
29,2,95,37,29,,,
30,3,100,38,39,,,
31,3,100,16,25,,,
32,,,33,25,2,73,
33,2,58,5,2,,,
34,,,6,4,2,68,
35,2,89,34,28,,,
36,1,80,22,20,,,
37,2,79,7,23,,,
38,,,16,15,3,100,
39,,,17,9,3,100,
40,,,3,3,2,67,
41,2,94,17,21,,,
42,3,100,34,30,,,
43,,,20,17,2,67,
44,,,9,4,2,95,
45,2,74,20,28,,,
46,0,44,18,16,,,
47,,,28,22,3,100,
48,1,52,18,14,,,
49,,,30,28,3,100,
50,,,8,8,1,48,
51,,,39,32,3,100,
52,3,100,20,29,,,
53,,,13,9,2,80,
54,3,100,14,20,,,
55,,,11,10,3,100,
56,,,18,19,3,100,
57,,,38,40,2,62,
58,,,12,13,2,74,
59,3,100,14,21,,,
60,,,36,24,1,52,
61,,,40,32,3,100,
62,3,100,31,23,,,
63,,,4,1,2,66,
64,,,35,25,3,100,
65,,,19,8,3,100,
66,3,100,33,28,,,
67,,,21,27,2,81,
68,,,37,20,1,75,
69,1,87,24,19,,,
70,,,20,7,3,100,
71,,,34,31,2,55,
72,3,100,25,19,,,
73,2,61,28,16,,,
74,2,80,23,18,,,
75,,,37,26,2,77,
76,,,32,37,2,51,
77,2,67,35,17,,,
78,,,13,13,3,100,
79,,,34,14,2,90,
80,2,73,8,1,,,
81,,,21,7,2,99,
82,2,84,33,15,,,
83,2,70,27,16,,,
84,,,36,31,1,49,
85,,,36,21,2,65,
86,3,100,13,17,,,
87,,,26,28,2,98,
88,0,37,32,3,,,
89,2,81,30,18,,,
90,1,54,24,15,,,
91,,,25,12,2,73,
92,,,4,16,3,100,
93,2,97,31,18,,,
94,2,53,27,13,,,
95,,,38,21,2,75,
96,2,67,30,8,,,
