version,2,reserved,reserved,reserved,reserved,reserved,reserved
Annihil-8,99QGU82L,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/11/13,,,,,,,
1,Butterburger,11,PLQLJ8QU,109,1,11,108
2,Wryhorn,11,JQJQVL8Y,109,,11,107
3,Space12345,10,8002Y989,89,1,10,89
4,Darth Carlos,10,VJG8CCUG,89,1,19,89
5,Atlas,10,RJ9PJ9CC,89,1,19,88
6,Chris,10,229YCRYQV,88,1,10,88
7,SwuTangClan,10,8G9LVLP0,87,,10,87
8,Aboy,10,VQ9PUJV2,86,,10,86
9,Czech1Czech2,9,22CP2Y828,70,1,9,70
10,Dirk N,9,8Y8V8J9C,70,1,9,70
11,corey,9,GLJRRGV9,69,1,9,70
12,Batman,9,2QU9CC8,69,1,9,70
13,Eleazar,9,C8GRJVL0,69,1,9,69
14,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
15,Jippieh Yeah,9,YCYV88UV,69,1,9,69
16,Dang,9,R2RRRQ9Y,69,1,9,69
17,UTiger13,9,2OVQLGRUJ,69,1,9,69
18,Amagnus,9,JVQ8JPQV,69,1,9,69
19,Mord,9,22JGQUCJQ,69,1,9,69
20,Whooboy,9,22UOVV2JJ,69,1,9,68
21,Mr. Pizza,9,LU2L8JUV,69,1,9,68
22,Manik,9,YGYQPLYP,69,,9,67
23,Lacey Clan,9,R08YP9Q8,69,,9,67
24,Dada 1974,9,GQ0JCQJQ,68,,9,67
25,RedACE,9,GRJLGCUQ,68,,9,67
26,sharent,9,YGQQ89LR,68,,9,66
27,ViciousVictor,9,CJP89Q2V,68,,9,66
28,michael,9,VU2V9CLV,67,,9,65
29,Swu2,9,ULYCYCRR,66,,9,65
30,Double G,9,JY8R9G9U,66,,9,65
1,2,96,30,30,,,
2,,,18,24,2,78,
3,,,29,27,2,79,
4,,,14,12,1,51,
5,,,9,14,3,100,
6,2,95,12,19,,,
7,,,13,9,1,63,
8,,,14,9,2,72,
9,,,12,14,2,72,
10,,,19,19,2,86,
11,3,100,30,28,,,
12,,,27,26,1,71,
13,2,68,29,29,,,
14,,,17,18,2,78,
15,3,100,29,22,,,
16,2,82,24,21,,,
17,1,73,23,26,,,
18,2,81,11,19,,,
19,,,22,19,2,80,
20,,,22,23,1,97,
21,,,20,18,1,95,
22,3,100,23,25,,,
23,3,100,27,27,,,
24,2,71,11,26,,,
25,,,24,13,3,100,
26,,,15,15,2,94,
27,2,72,17,15,,,
28,2,94,27,29,,,
29,2,82,21,19,,,
30,2,95,22,20,,,
31,,,19,30,3,100,
32,2,93,13,21,,,
33,,,17,13,2,59,
34,3,100,28,23,,,
35,2,88,21,17,,,
36,1,84,10,18,,,
37,3,100,22,24,,,
38,,,11,10,1,58,
39,,,13,15,3,100,
40,,,26,29,1,87,
41,,,29,28,3,100,
42,,,23,21,3,100,
43,3,100,14,16,,,
44,3,100,26,30,,,
45,,,3,1,3,100,
46,1,95,12,26,,,
47,,,17,29,1,71,
48,,,20,21,2,81,
49,,,14,11,3,100,
50,,,12,17,0,47,
51,2,53,14,21,,,
52,2,97,13,26,,,
53,,,11,12,3,100,
54,1,65,4,2,,,
55,,,21,22,2,93,
56,3,100,28,14,,,
57,3,100,17,18,,,
58,2,93,15,19,,,
59,,,17,16,3,100,
60,,,20,16,2,95,
61,2,84,26,26,,,
62,1,73,24,13,,,
63,2,55,18,26,,,
64,3,100,19,21,,,
65,2,50,7,8,,,
66,,,10,11,1,82,
67,,,30,28,3,100,
68,,,10,17,1,72,
69,,,10,10,2,51,
70,3,100,16,20,,,
71,2,95,19,26,,,
72,2,60,20,15,,,
73,1,53,4,1,,,
74,,,22,30,1,65,
75,,,16,7,3,100,
76,2,71,20,5,,,
77,2,89,25,29,,,
78,,,26,25,1,64,
79,,,25,23,2,94,
80,,,10,5,3,100,
81,3,100,16,29,,,
82,,,28,26,2,72,
83,1,99,25,26,,,
84,3,100,8,9,,,
85,3,100,6,7,,,
86,,,8,5,2,75,
87,,,4,25,2,62,
88,,,27,27,2,81,
89,,,12,3,3,100,
90,3,100,8,10,,,
91,3,100,10,13,,,
92,2,95,2,4,,,
93,,,6,24,2,59,
94,,,18,3,2,88,
95,3,100,9,11,,,
96,1,52,6,2,,,
97,,,26,20,1,73,
98,,,26,8,3,100,
99,,,28,20,2,86,
100,1,78,18,17,,,
101,3,100,5,15,,,
102,3,100,15,26,,,
103,2,78,3,12,,,
104,,,1,1,2,53,
105,,,22,4,3,100,
106,,,27,7,3,100,
107,2,60,1,3,,,
108,,,28,8,3,100,
109,,,20,6,3,100,
110,3,100,5,19,,,
111,3,100,3,17,,,
112,,,5,2,3,100,
113,2,55,2,1,,,
114,,,18,6,3,100,
115,,,2,4,1,53,
116,2,57,9,6,,,
117,2,52,1,2,,,
118,3,100,7,12,,,
119,,,7,2,3,100,
