version,2,reserved,reserved,reserved,reserved,reserved,reserved
Team Japan,9YU8R8V9,,JTJ,2R9RCV9V,,S7,
40,,,,,,,
2016/11/16,,,,,,,
1,Butterburger,11,PLQLJ8QU,109,1,11,109
2,Wryhorn,11,JQJQVL8Y,109,1,11,108
3,Space12345,10,8002Y989,89,1,11,107
4,CactusClan,10,2PQ89PQ82,89,,11,105
5,Darth Carlos,10,VJG8CCUG,89,,11,105
6,Atlas,10,RJ9PJ9CC,89,1,10,88
7,Chris,10,229YCRYQV,88,1,10,88
8,SwuTangClan,10,8G9LVLP0,87,1,10,87
9,Aboy,10,VQ9PUJV2,86,1,10,87
10,ThatAmagnus,10,GPGQC89C,71,,10,86
11,nato,10,2PQ9OVQOV,71,,11,86
12,Czech1Czech2,9,22CP2Y828,70,,10,70
13,Dirk N,9,8Y8V8J9C,70,,10,70
14,corey,9,GLJRRGV9,70,,10,70
15,Batman,9,2QU9CC8,69,1,9,69
16,Eleazar,9,C8GRJVL0,69,1,9,68
17,Ohio-Legend-216,9,29QLGYC9Q,69,,10,68
18,Mord,9,22JGQUCJQ,69,1,9,68
19,Jippieh Yeah,9,YCYV88UV,69,,9,67
20,Dang,9,R2RRRQ9Y,69,,9,67
21,UTiger13,9,2OVQLGRUJ,69,,10,67
22,Amagnus,9,JVQ8JPQV,69,,9,67
23,Whooboy,9,22UOVV2JJ,69,,9,67
24,Mr. Pizza,9,LU2L8JUV,69,,9,67
25,Lacey Clan,9,R08YP9Q8,69,,9,66
26,RedACE,9,GRJLGCUQ,68,,9,66
27,sharent,9,YGQQ89LR,68,,9,65
28,H Dog,9,YYGJ00CJ,68,,9,63
29,ViciousVictor,9,CJP89Q2V,68,,9,63
30,Avra's Secret,9,28LYQPRG,68,,9,63
31,michael,9,VU2V9CLV,67,,9,59
32,Jack Sparrow,9,8P98LVLPG,67,,9,58
33,Asuna-chan,9,VJYR2JVG,66,,8,54
34,Leah's Daddy Time,9,2YQ00J0CR,66,,8,53
35,Swu2,9,ULYCYCRR,66,,8,53
36,Joe,9,LG9GQQJ8,66,,8,52
37,Double G,9,JY8R9G9U,66,,8,51
38,Poz,9,PPRYLOUY,66,,8,47
39,ellen,9,2PLYGVQ20,65,,8,43
40,okbit,9,G8UY09QQ,65,,7,39
1,3,100,39,33,,,
2,3,100,39,34,,,
3,,,23,15,2,95,
4,1,69,12,16,,,
5,,,38,31,2,54,
6,3,100,14,24,,,
7,3,100,25,40,,,
8,3,100,36,35,,,
9,0,43,29,26,,,
10,3,100,25,39,,,
11,3,100,37,37,,,
12,,,11,11,3,100,
13,,,37,33,0,43,
14,3,100,14,25,,,
15,3,100,36,36,,,
16,2,84,29,28,,,
17,3,100,13,26,,,
18,1,82,7,11,,,
19,,,2,33,0,11,
20,3,100,33,31,,,
21,3,100,35,32,,,
22,3,100,32,38,,,
23,3,100,13,16,,,
24,,,4,3,2,54,
25,3,100,34,30,,,
26,1,84,37,14,,,
27,1,90,28,27,,,
28,3,100,26,17,,,
29,1,61,34,40,,,
30,3,100,35,27,,,
31,2,98,33,29,,,
32,3,100,38,28,,,
33,1,81,24,22,,,
34,2,75,26,18,,,
