version,2,reserved,reserved,reserved,reserved,reserved,reserved
Maiwa Expert,PVQRQJQV,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/11/18,,,,,,,
1,Space12345,10,8002Y989,89,1,10,88
2,CactusClan,10,2PQ89PQ82,89,1,10,87
3,Darth Carlos,10,VJG8CCUG,89,1,10,87
4,Chris,10,229YCRYQV,88,,10,86
5,SwuTangClan,10,8G9LVLP0,87,,10,85
6,Aboy,10,VQ9PUJV2,86,,10,85
7,LMNTrix,10,8V828GRP,83,,10,83
8,nato,10,2PQ9OVQOV,71,,10,82
9,Czech1Czech2,9,22CP2Y828,70,,10,74
10,Dirk N,9,8Y8V8J9C,70,,10,71
11,corey,9,GLJRRGV9,70,,10,68
12,Batman,9,2QU9CC8,69,1,9,68
13,Evan Hardluck,9,PVPP2LUV,69,1,9,68
14,Eleazar,9,C8GRJVL0,69,1,9,68
15,slim shady,9,202VRUP9G,69,,9,67
16,UTiger13,9,2OVQLGRUJ,69,,9,67
17,Ohio-Legend-216,9,29QLGYC9Q,69,,9,67
18,Amagnus,9,JVQ8JPQV,69,,9,67
19,Lacey Clan,9,R08YP9Q8,69,,9,67
20,Dada 1974,9,GQ0JCQJQ,68,,9,67
21,RedACE,9,GRJLGCUQ,68,,9,66
22,sharent,9,YGQQ89LR,68,,9,65
23,ViciousVictor,9,CJP89Q2V,68,,9,64
24,michael,9,VU2V9CLV,67,,10,64
25,Leah's Daddy Time,9,2YQ00J0CR,66,,9,64
26,Swu2,9,ULYCYCRR,66,,9,61
27,Asuna-Chan,9,VJYR2JVG,66,,11,61
28,Joe,9,LG9GQQJ8,66,,10,59
29,Poz,9,PPRYLOUY,66,,9,59
30,Blesson Dex,9,V9VVYRLL,65,,8,53
1,,,30,30,2,52,
2,,,23,23,3,100,
3,3,100,8,10,,,
4,2,97,23,25,,,
5,,,29,30,2,56,
6,,,14,14,1,51,
7,,,30,29,2,55,
8,3,100,26,29,,,
9,3,100,10,13,,,
10,0,31,14,19,,,
11,1,65,26,26,,,
12,3,100,24,23,,,
13,3,100,22,22,,,
14,1,62,5,6,,,
15,3,100,23,28,,,
16,1,96,5,5,,,
17,1,81,17,14,,,
18,,,11,11,2,95,
19,,,10,10,2,98,
20,,,29,29,2,85,
21,3,100,7,11,,,
22,2,98,29,25,,,
23,3,100,25,26,,,
24,1,96,4,2,,,
25,3,100,25,19,,,
26,,,11,10,3,100,
27,3,100,7,14,,,
28,1,98,4,7,,,
29,3,100,12,18,,,
30,,,15,15,2,67,
31,2,56,3,1,,,
32,,,16,16,3,100,
33,3,100,17,16,,,
34,,,28,15,2,98,
35,,,1,1,1,49,
36,3,100,30,30,,,
37,3,100,15,12,,,
38,,,8,8,3,100,
39,,,30,25,2,60,
40,,,22,22,3,100,
41,,,29,23,1,83,
42,,,14,1,2,95,
43,,,21,21,2,82,
44,,,13,13,3,100,
45,,,17,13,2,78,
46,,,18,18,1,47,
47,,,5,5,1,57,
48,3,100,3,5,,,
49,3,100,15,15,,,
50,2,77,24,20,,,
51,2,64,8,9,,,
52,3,100,10,17,,,
53,3,100,11,20,,,
54,3,100,19,21,,,
55,,,7,7,2,65,
56,3,100,16,27,,,
57,3,100,22,25,,,
58,3,100,20,24,,,
59,1,71,20,4,,,
60,1,61,16,8,,,
61,,,19,17,2,78,
62,,,20,20,3,100,
63,,,18,19,2,80,
64,3,100,29,19,,,
65,1,61,12,9,,,
66,,,5,6,1,37,
67,,,24,17,1,58,
68,,,27,20,1,58,
69,,,26,19,2,75,
70,,,4,4,1,45,
71,2,80,18,7,,,
72,,,3,3,2,54,
73,,,12,11,2,94,
74,0,46,18,9,,,
75,,,25,21,2,95,
76,,,5,7,1,46,
77,2,98,14,11,,,
78,,,6,6,1,38,
79,,,4,3,1,52,
80,,,2,2,1,47,
81,2,63,11,3,,,
82,3,100,30,20,,,
83,2,60,19,8,,,
84,,,6,8,0,47,
85,1,88,1,2,,,
86,1,64,13,9,,,
87,3,100,28,24,,,
88,3,100,21,20,,,
89,2,60,6,2,,,
90,1,60,1,6,,,
91,1,85,9,19,,,
92,1,56,13,8,,,
93,0,42,9,13,,,
94,3,100,2,4,,,
95,2,79,6,6,,,
96,,,9,27,3,100,
97,2,86,28,14,,,
98,3,100,2,8,,,
99,1,92,21,9,,,
100,,,29,25,2,72,
101,,,6,27,2,62,
102,,,2,4,1,39,
103,,,24,16,2,86,
104,,,5,28,0,30,
105,,,27,2,2,81,
