version,2,reserved,reserved,reserved,reserved,reserved,reserved
PulaBughawDilaw,22CVRGQJ,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/11/22,,,,,,,
1,Space12345,10,8002Y989,89,1,11,109
2,CactusClan,10,2PQ89PQ82,89,1,11,106
3,Darth Carlos,10,VJG8CCUG,89,1,10,87
4,Chris,10,229YCRYQV,88,1,10,87
5,SwuTangClan,10,8G9LVLP0,87,1,10,87
6,Aboy,10,VQ9PUJV2,86,,10,85
7,LMNtrix,10,8V828GRP,83,,10,84
8,nato,10,2PQ9OVQOV,71,,10,84
9,Czech1Czech2,9,22CP2Y828,70,,10,83
10,Dirk N,9,8Y8V8J9C,70,,10,83
11,Corey,9,GLJRRGV9,70,,10,82
12,Batman,9,2QU9CC8,69,1,9,69
13,Evan Hardluck,9,PVPP2LUV,69,1,9,68
14,Eleazar,9,C8GRJVL0,69,,9,67
15,Slim Shady,9,202VRUP9G,69,,9,67
16,UTiger13,9,2OVQLGRUJ,69,,9,67
17,Ohio-Legend-216,9,29QLGYC9Q,69,,9,66
18,Mord,9,22JGQUCJQ,69,,9,66
19,Amagnus,9,JVQ8JPQV,69,,9,66
20,Lacey Clan,9,R08YP9Q8,69,,9,65
21,Dada 1974,9,GQ0JCQJQ,69,,9,63
22,RedACE,9,GRJLGCUQ,68,,9,62
23,sharent,9,YGQQ89LR,68,,10,62
24,ViciousVictor,9,CJP89Q2V,68,,9,63
25,michael,9,VU2V9CLV,67,,9,62
26,Leah's Daddy Time,9,2YQ00J0CR,66,,9,61
27,Swu2,9,ULYCYCRR,66,,9,60
28,Joe,9,LG9GQQJ8,66,,9,59
29,Poz,9,PPRYLOUY,66,,9,57
30,okbit,9,G8UY09QQ,65,,8,48
1,,,15,13,2,75,
2,3,100,10,14,,,
3,3,100,30,26,,,
4,,,21,21,2,62,
5,,,1,1,3,100,
6,3,100,29,22,,,
7,,,26,15,2,93,
8,,,30,30,2,61,
9,,,27,21,1,53,
10,,,29,24,1,48,
11,,,20,19,2,57,
12,3,100,29,21,,,
13,,,2,1,2,89,
14,,,29,27,1,49,
15,3,100,27,24,,,
16,3,100,22,17,,,
17,0,41,27,23,,,
18,2,75,15,13,,,
19,3,100,19,12,,,
20,3,100,14,20,,,
21,3,100,17,15,,,
22,2,97,13,18,,,
23,1,66,7,6,,,
24,1,64,15,16,,,
25,3,100,14,18,,,
26,,,13,11,2,89,
27,3,100,19,16,,,
28,1,72,17,13,,,
29,,,13,7,3,100,
30,3,100,7,11,,,
31,,,14,7,3,100,
32,,,23,13,2,75,
33,2,99,12,13,,,
34,,,30,24,2,66,
35,,,6,3,2,62,
36,,,25,22,1,43,
37,,,28,20,2,51,
38,,,30,29,3,100,
39,3,100,25,25,,,
40,2,99,21,19,,,
41,,,29,29,2,70,
42,,,27,20,1,64,
43,3,100,30,28,,,
44,3,100,23,23,,,
45,,,29,23,0,29,
46,,,18,9,2,64,
47,,,29,18,2,52,
48,,,22,16,2,73,
49,,,25,11,2,57,
50,,,27,10,2,87,
51,3,100,21,27,,,
52,,,29,25,2,61,
53,3,100,25,29,,,
54,3,100,20,30,,,
55,,,24,16,2,50,
56,3,100,23,13,,,
57,,,12,6,3,100,
58,,,11,6,2,73,
59,1,52,28,19,,,
60,1,45,11,9,,,
61,0,33,16,10,,,
62,2,55,11,8,,,
63,,,8,4,1,67,
64,,,17,8,2,72,
65,0,46,26,5,,,
66,1,28,28,7,,,
67,3,100,13,19,,,
68,,,27,15,2,85,
69,0,26,24,4,,,
70,1,50,26,3,,,
71,1,67,20,10,,,
72,2,79,4,5,,,
73,3,100,6,10,,,
74,3,100,5,6,,,
75,1,57,4,1,,,
76,1,61,3,2,,,
77,2,68,5,4,,,
78,2,87,8,9,,,
79,1,44,22,7,,,
80,3,100,12,20,,,
81,1,56,3,1,,,
82,0,40,18,7,,,
83,2,62,10,3,,,
84,2,77,8,8,,,
85,,,28,23,2,81,
86,,,29,26,2,62,
87,,,28,26,0,36,
88,3,100,1,4,,,
89,,,28,18,1,63,
90,,,19,8,2,76,
91,3,100,1,3,,,
92,3,100,6,7,,,
93,2,95,9,14,,,
94,1,76,16,12,,,
95,,,25,19,0,41,
96,,,17,9,0,0,
97,2,58,2,9,,,
98,1,54,2,8,,,
99,3,100,24,12,,,
100,,,28,27,2,62,
101,,,16,10,2,75,
102,,,29,22,1,36,
103,3,100,9,13,,,
