version,2,reserved,reserved,reserved,reserved,reserved,reserved
Fight or Farm,2YJJ0G,,JTJ,2R9RCV9V,,S7,
25,,,,,,,
2016/11/27,,,,,,,
1,DarthCarlos11,11,RVQRQL2Y,108,1,11,109
2,NHHung,11,UJLUU9CR,107,1,11,109
3,CactusClan,10,2PQ89PQ82,89,1,11,109
4,Darth Carlos,10,VJG8CCUG,89,1,11,108
5,Sno,10,GQV9G9VV,89,1,10,89
6,Chris,10,229YCRYQV,88,1,10,88
7,SwuTangClan,10,8G9LVLP0,87,1,10,88
8,Aboy,10,VQ9PUJV2,87,,10,76
9,LMNTrix,10,8V828GRP,83,,10,75
10,nato,10,2PQ9OVQOV,72,,10,75
11,Czech1Czech2,9,22CP2Y828,70,1,9,70
12,Dirk N,9,8Y8V8J9C,70,1,9,69
13,Corey,9,GLJRRGV9,70,1,9,69
14,Batman,9,2QU9CC8,69,1,9,69
15,Eleazar,9,C8GRJVL0,69,1,9,68
16,UTiger13,9,2OVQLGRUJ,69,1,9,68
17,Amagnus,9,JVQ8JPQV,69,1,9,68
18,Whooboy,9,22UOVV2JJ,69,,9,67
19,Mr. Pizza,9,LU2L8JUV,69,,9,61
20,RedACE,9,GRJLGCUQ,68,,9,58
21,Avra's Secret,9,28LYQPRG,68,,9,56
22,Aleister Crowle,9,Q9922RUU,66,,8,55
23,Double G,9,JY8R9G9U,66,,8,54
24,Joe,9,LG9GQQJ8,66,,7,40
25,Poz,9,PPRYLOUY,66,,8,22
1,,,25,23,2,53,
2,3,100,24,22,,,
3,2,63,24,21,,,
4,,,21,17,2,94,
5,3,100,23,19,,,
6,3,100,23,25,,,
7,,,2,25,0,20,
8,,,22,17,1,93,
9,3,100,19,17,,,
10,3,100,25,23,,,
11,,,16,13,2,97,
12,,,5,22,0,21,
13,,,1,23,0,14,
14,3,100,13,12,,,
15,,,3,25,0,24,
16,3,100,19,15,,,
17,,,23,21,3,100,
18,2,85,13,11,,,
19,,,4,22,1,49,
20,2,90,11,14,,,
21,3,100,25,20,,,
22,,,11,13,1,72,
23,3,100,22,24,,,
24,,,24,20,2,94,
25,3,100,21,18,,,
26,,,6,24,0,20,
27,,,13,11,1,67,
28,3,100,21,16,,,
29,1,79,17,14,,,
30,,,7,24,0,9,
31,,,25,20,2,85,
32,0,49,4,4,,,
33,2,64,4,2,,,
34,0,34,22,1,,,
35,3,100,14,21,,,
36,,,9,8,2,57,
37,,,20,15,1,41,
38,,,22,15,2,77,
39,,,12,8,3,100,
40,2,83,15,13,,,
41,2,97,15,10,,,
42,1,53,18,14,,,
43,,,20,18,2,57,
44,,,24,19,1,76,
45,,,22,19,2,61,
46,,,24,18,2,72,
47,1,72,5,8,,,
48,,,25,21,1,56,
49,2,71,16,11,,,
50,3,100,18,11,,,
51,2,95,20,13,,,
52,,,24,14,2,91,
53,,,21,12,2,98,
54,,,8,4,2,63,
55,3,100,17,13,,,
56,,,21,14,2,88,
57,3,100,16,14,,,
58,,,22,11,3,100,
59,,,24,12,3,100,
60,1,51,6,4,,,
61,,,19,7,1,78,
62,0,47,12,5,,,
63,0,37,14,7,,,
64,,,18,7,3,100,
65,2,82,10,10,,,
66,2,62,11,6,,,
67,,,11,6,3,100,
68,2,93,9,9,,,
69,,,15,9,3,100,
70,0,24,12,3,,,
71,,,14,9,3,100,
72,2,93,9,10,,,
73,2,76,1,7,,,
74,,,25,16,3,100,
75,,,13,5,3,100,
76,0,45,1,1,,,
77,,,21,16,1,85,
78,2,96,2,5,,,
79,2,78,20,8,,,
80,1,58,6,3,,,
81,,,16,5,3,100,
82,0,40,10,4,,,
83,,,7,4,2,76,
84,1,33,5,9,,,
85,3,100,8,8,,,
86,,,17,6,3,100,
87,,,2,1,1,79,
88,2,96,3,10,,,
89,,,1,1,1,60,
90,1,52,2,1,,,
91,3,100,7,9,,,
92,0,43,3,4,,,
93,,,3,2,2,85,
94,3,100,8,10,,,
95,2,58,7,3,,,
96,,,10,10,3,100,
97,,,5,3,2,87,
98,,,4,2,2,95,
99,,,6,3,2,64,
100,,,19,10,3,100,
