version,2,reserved,reserved,reserved,reserved,reserved,reserved
Best of Ilocano,PRL9VCU9,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/11/29,,,,,,,
1,Wryhorn,11,JQJQVL8Y,109,1,11,109
2,NHHung,11,UJLUU9CR,107,,11,106
3,CactusClan,10,2PQ89PQ82,89,,11,104
4,Darth Carlos,10,VJG8CCUG,89,1,10,88
5,Sno,10,GQV9G9VV,89,,11,103
6,Chris,10,229YCRYQV,88,1,10,87
7,SWuTangClan,10,8G9LVLP0,87,,10,86
8,Aboy,10,VQ9PUJV2,87,,10,86
9,LMNTrix,10,8V828GRP,83,,10,85
10,nato,10,2PQ9OVQOV,73,,10,82
11,ThatAmagnus,10,GPGQC89C,71,,10,82
12,Czech1Czech2,9,22CP2Y828,70,,10,82
13,Dirk N,9,8Y8V8J9C,70,1,9,68
14,corey,9,GLJRRGV9,70,,9,67
15,Eleazar,9,C8GRJVL0,69,,9,67
16,Mord,9,22JGQUCJQ,69,,9,67
17,UTiger13,9,2OVQLGRUJ,69,,9,67
18,Jippieh Yeah,9,YCYV88UV,69,,9,67
19,Amagnus,9,JVQ8JPQV,69,,9,67
20,Whooboy,9,22UOVV2JJ,69,,9,67
21,Mr. Pizza,9,LU2L8JUV,69,,9,66
22,Lacey Clan,9,R08YP9Q8,69,,9,65
23,RedACE,9,GRJLGCUQ,68,,9,65
24,HardKnocks,9,C2RRGG00,68,,9,64
25,Avra's Secret,9,28LYQPRG,68,,9,63
26,RealSide,9,2000CJ8,67,,9,63
27,Leah's Daddy Time,9,2YQ00J0CR,66,,9,62
28,Aleister Crowle,9,Q9922RUU,66,,9,62
29,Joe,9,LG9GQQJ8,66,,8,51
30,Poz,9,PPRYLOUY,66,,8,43
1,3,100,10,12,,,
2,2,84,13,15,,,
3,3,100,26,26,,,
4,3,100,29,27,,,
5,3,100,25,16,,,
6,2,75,5,3,,,
7,3,100,13,17,,,
8,3,100,24,29,,,
9,3,100,19,15,,,
10,3,100,23,13,,,
11,3,100,29,25,,,
12,3,100,17,14,,,
13,3,100,25,23,,,
14,2,99,26,20,,,
15,1,94,24,18,,,
16,,,9,7,2,63,
17,2,71,30,28,,,
18,2,63,12,8,,,
19,2,97,15,22,,,
20,1,77,21,21,,,
21,3,100,19,18,,,
22,0,4,23,20,,,
23,3,100,30,24,,,
24,3,100,21,19,,,
25,3,100,15,28,,,
26,1,60,3,5,,,
27,,,21,19,1,36,
28,2,89,11,11,,,
29,,,24,24,2,50,
30,,,23,21,2,52,
31,3,100,18,20,,,
32,2,82,28,21,,,
33,,,7,5,1,47,
34,,,19,17,2,58,
35,2,86,28,22,,,
36,,,30,30,1,37,
37,,,13,11,2,68,
38,3,100,17,21,,,
39,,,30,29,2,57,
40,,,16,14,2,60,
41,,,26,22,2,50,
42,,,12,10,2,58,
43,,,21,17,1,41,
44,,,14,12,2,85,
45,2,88,10,10,,,
46,2,99,20,22,,,
47,3,100,14,22,,,
48,3,100,22,30,,,
49,,,8,6,1,31,
50,1,80,27,4,,,
51,1,73,16,7,,,
52,,,7,4,2,56,
53,,,21,11,2,54,
54,1,83,22,9,,,
55,1,62,14,9,,,
56,0,48,27,6,,,
57,2,66,20,7,,,
58,1,68,11,6,,,
59,,,4,2,2,81,
60,1,49,2,1,,,
61,2,70,7,2,,,
62,3,100,9,9,,,
63,1,65,6,5,,,
64,1,83,7,8,,,
65,2,81,6,6,,,
66,2,78,2,5,,,
67,3,100,18,22,,,
68,2,89,4,7,,,
69,,,6,3,1,44,
70,2,72,9,10,,,
71,2,74,4,4,,,
72,,,17,12,2,97,
73,2,54,1,1,,,
74,,,27,25,1,43,
75,,,15,13,2,68,
76,,,8,3,2,54,
77,,,1,1,2,57,
78,,,20,13,2,89,
79,,,2,1,2,56,
80,,,3,2,2,96,
81,3,100,1,7,,,
82,,,22,18,2,81,
83,,,18,14,2,55,
84,3,100,8,11,,,
85,,,28,27,0,40,
86,,,28,21,0,47,
87,2,95,5,10,,,
88,,,28,6,2,72,
89,3,100,8,10,,,
90,,,5,4,2,62,
91,,,10,10,1,36,
92,,,25,22,2,71,
93,,,29,27,2,60,
94,1,52,16,4,,,
95,,,30,26,2,82,
96,1,49,3,4,,,
97,,,27,26,2,52,
98,,,29,25,1,46,
99,1,48,12,6,,,
100,,,11,9,1,42,
