version,2,reserved,reserved,reserved,reserved,reserved,reserved
Blood Line,8JYJY08P,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/01,,,,,,,
1,DarthCarlos11,11,RVQRQL2Y,108,1,11,109
2,NHHung,11,UJLUU9CR,107,,11,106
3,Darth Carlos,10,VJG8CCUG,89,,11,94
4,Sno,10,GQV9G9VV,89,,11,91
5,Chris,10,229YCRYQV,88,1,10,90
6,SWuTangClan,10,8G9LVLP0,87,,10,86
7,Aboy,10,VQ9PUJV2,87,,10,86
8,Nato,10,2PQ9OVQOV,84,,10,85
9,Dang,10,R2RRRQ9Y,70,,10,76
10,Czech1Czech2,9,22CP2Y828,70,,10,70
11,Corey,9,GLJRRGV9,70,,10,70
12,Batman,9,2QU9CC8,69,1,9,69
13,Eleazar,9,C8GRJVL0,69,1,9,69
14,Slim Shady,9,202VRUP9G,69,1,9,69
15,Mord,9,22JGQUCJQ,69,,9,68
16,UTiger13,9,2OVQLGRUJ,69,,9,68
17,Ohio-Legend-216,9,29QLGYC9Q,69,,9,66
18,Jippieh Yeah,9,YCYV88UV,69,,9,66
19,Amagnus,9,JVQ8JPQV,69,,9,66
20,Whooboy,9,22UOVV2JJ,69,,9,66
21,Mr. Pizza,9,LU2L8JUV,69,,9,66
22,Lacey Clan,9,R08YP9Q8,69,,9,65
23,Dada 1974,9,GQ0JCQJQ,69,,10,64
24,RedACE,9,GRJLGCUQ,68,,9,62
25,HardKnocks,9,C2RRGG00,68,,9,62
26,RealSide,9,2000CJ8,67,,9,60
27,Leah's Daddy Time,9,2YQ00J0CR,66,,10,57
28,Aleister Crowle,9,Q9922RUU,66,,9,56
29,Joe,9,LG9GQQJ8,66,,9,56
30,Poz,9,PPRYLOUY,66,,7,36
1,3,100,29,28,,,
2,,,10,9,1,8,
3,3,100,14,17,,,
4,3,100,22,25,,,
5,3,100,17,14,,,
6,3,100,30,29,,,
7,3,100,10,15,,,
8,3,100,14,19,,,
9,3,100,11,18,,,
10,3,100,22,26,,,
11,2,89,29,24,,,
12,3,100,30,23,,,
13,3,100,11,20,,,
14,3,100,8,9,,,
15,2,92,27,27,,,
16,1,50,4,2,,,
17,3,100,27,30,,,
18,3,100,26,27,,,
19,1,59,21,16,,,
20,3,100,13,21,,,
21,3,100,21,22,,,
22,3,100,13,13,,,
23,,,30,29,1,78,
24,3,100,18,16,,,
25,3,100,26,24,,,
26,,,20,13,2,82,
27,,,28,24,3,100,
28,,,19,14,2,98,
29,,,17,14,2,85,
30,2,69,12,12,,,
31,3,100,23,11,,,
32,,,21,12,1,75,
33,2,67,23,10,,,
34,,,22,24,2,62,
35,3,100,25,12,,,
36,,,30,28,1,86,
37,,,29,28,1,62,
38,1,70,8,8,,,
39,0,35,28,3,,,
40,1,48,20,4,,,
41,3,100,25,10,,,
42,,,23,16,2,71,
43,0,45,28,7,,,
44,2,60,19,6,,,
45,0,42,9,1,,,
46,,,24,12,2,97,
47,,,30,16,2,72,
48,1,50,19,5,,,
49,2,64,15,4,,,
50,2,60,20,7,,,
51,1,55,9,2,,,
52,,,12,9,3,100,
53,,,23,17,3,100,
54,2,68,17,7,,,
55,0,47,15,5,,,
56,,,25,19,2,86,
57,3,100,1,6,,,
58,,,29,29,2,82,
59,2,71,24,8,,,
60,,,30,25,1,83,
61,,,29,25,0,42,
62,,,27,15,3,100,
63,,,30,26,1,50,
64,0,45,3,2,,,
65,,,15,6,3,100,
66,,,11,6,3,100,
67,,,2,30,0,18,
68,,,26,15,2,83,
69,3,100,1,8,,,
70,0,49,24,5,,,
71,2,86,16,13,,,
72,2,59,3,3,,,
73,,,29,18,2,62,
74,1,49,18,5,,,
75,,,25,17,1,98,
76,,,7,30,0,16,
77,1,60,6,7,,,
78,,,21,19,2,70,
79,,,8,4,3,100,
80,,,13,10,2,91,
81,,,26,27,2,81,
82,0,46,12,2,,,
83,2,79,5,7,,,
84,0,0,6,1,,,
85,,,14,11,2,93,
86,,,20,21,2,85,
87,,,29,27,1,68,
88,,,25,21,2,97,
89,,,7,1,2,70,
90,2,79,7,2,,,
91,1,52,5,1,,,
92,3,100,2,5,,,
93,,,4,3,2,69,
94,,,17,11,2,76,
95,,,9,8,3,100,
96,,,16,10,3,100,
97,,,10,7,3,100,
98,2,60,7,1,,,
99,,,2,1,2,52,
100,,,1,7,2,60,
101,,,3,4,2,75,
102,2,56,4,7,,,
103,2,63,16,11,,,
104,,,30,23,1,72,
105,,,6,3,2,61,
106,2,78,2,4,,,
107,,,26,26,2,69,
108,,,18,5,3,100,
109,,,26,18,2,85,
110,,,5,2,3,100,
111,,,7,8,1,49,
112,,,7,2,2,67,
113,,,29,23,2,85,
114,2,81,10,17,,,
115,,,14,5,3,100,
