version,2,reserved,reserved,reserved,reserved,reserved,reserved
Casino Lao Cai,9R9YU20U,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/04,,,,,,,
1,Wryhorn,11,JQJQVL8Y,109,1,11,109
2,DarthCarlos11,11,RVQRQL2Y,108,1,11,109
3,MGK,11,2UUG9VG9,102,1,11,108
4,CactusClan,10,2PQ89PQ82,89,1,11,108
5,Sno,10,GQV9G9VV,89,1,11,108
6,Atlas,10,RJ9PJ9CC,89,,11,90
7,Chris,10,229YCRYQV,88,1,10,88
8,SwuTangClan,10,8G9LVLP0,87,,10,87
9,Aboy,10,VQ9PUJV2,87,,10,85
10,Nato,10,2PQ9OVQOV,84,,10,70
11,Dang,10,R2RRRQ9Y,70,1,9,69
12,Corey,9,GLJRRGV9,70,1,9,69
13,Batman,9,2QU9CC8,69,1,9,69
14,Eleazar,9,C8GRJVL0,69,1,9,69
15,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
16,Mord,9,22JGQUCJQ,69,1,9,69
17,UTiger13,9,2OVQLGRUJ,69,1,9,69
18,Amagnus,9,JVQ8JPQV,69,1,9,69
19,Whooboy,9,22UOVV2JJ,69,1,9,69
20,Mr. Pizza,9,LU2L8JUV,69,1,9,69
21,Lacey Clan,9,R08YP9Q8,69,1,9,69
22,Dada 1974,9,GQ0JCQJQ,69,,9,68
23,RedACE,9,GRJLGCUQ,68,,9,68
24,HardKnocks,9,C2RRGG00,68,,9,67
25,ViciousVictor,9,CJP89Q2V,68,,9,67
26,RealSide,9,2000CJ8,67,,9,67
27,Aleister Crowle,9,Q9922RUU,66,,9,54
28,Joe,9,LG9GQQJ8,66,,8,54
29,Poz,9,PPRYLOUY,66,,3,5
30,Okbit,9,G8UY09QQ,65,,3,1
1,,,21,18,2,78,
2,3,100,30,30,,,
3,3,100,30,29,,,
4,3,100,28,25,,,
5,3,100,15,12,,,
6,,,14,21,1,52,
7,3,100,25,27,,,
8,2,97,20,16,,,
9,3,100,20,19,,,
10,2,71,25,26,,,
11,2,91,15,16,,,
12,3,100,14,21,,,
13,,,14,9,2,85,
14,,,22,18,1,56,
15,3,100,14,24,,,
16,,,3,2,1,37,
17,3,100,27,28,,,
18,3,100,13,23,,,
19,,,6,2,2,82,
20,2,98,13,14,,,
21,,,14,26,2,78,
22,,,28,11,3,100,
23,,,1,10,3,100,
24,,,14,17,1,58,
25,,,14,15,3,100,
26,,,22,26,3,100,
27,,,30,22,3,100,
28,,,21,19,3,100,
29,,,16,10,0,34,
30,0,40,27,1,,,
31,3,100,22,18,,,
32,3,100,19,11,,,
33,1,81,22,20,,,
34,,,16,15,3,100,
35,,,20,19,3,100,
36,,,24,24,3,100,
37,,,25,23,1,56,
38,,,25,21,1,60,
39,,,25,14,1,67,
40,,,25,11,0,49,
41,,,29,22,2,81,
42,,,12,9,3,100,
43,2,85,19,13,,,
44,,,25,24,2,94,
45,,,26,23,3,100,
46,1,65,21,26,,,
47,,,1,29,0,2,
48,,,25,25,2,75,
49,,,8,3,3,100,
50,2,78,24,20,,,
51,,,25,12,3,100,
52,,,18,16,2,91,
53,,,27,12,3,100,
54,,,1,1,2,92,
55,,,9,3,3,100,
56,,,2,29,0,0,
57,2,96,2,7,,,
58,,,18,20,2,59,
59,2,53,26,17,,,
60,,,2,1,3,100,
61,1,53,28,6,,,
62,,,4,27,0,2,
63,,,11,4,3,100,
64,,,4,5,3,100,
65,,,5,27,0,0,
66,,,19,25,2,78,
67,1,62,9,4,,,
68,,,19,20,2,85,
69,2,80,24,16,,,
70,0,43,29,5,,,
71,3,100,17,17,,,
72,3,100,18,16,,,
73,,,10,4,2,96,
74,0,45,29,3,,,
75,3,100,23,13,,,
76,,,5,5,2,87,
77,2,73,18,20,,,
78,3,100,17,15,,,
79,3,100,23,14,,,
80,3,100,2,8,,,
81,3,100,16,20,,,
82,3,100,12,22,,,
83,1,47,6,5,,,
84,0,33,21,2,,,
85,2,97,10,10,,,
86,2,52,9,5,,,
87,3,100,12,26,,,
88,0,47,5,4,,,
89,3,100,11,10,,,
90,2,62,8,3,,,
91,1,49,10,9,,,
92,1,59,5,2,,,
93,0,42,11,4,,,
94,,,17,14,1,68,
95,,,23,28,1,23,
96,,,13,28,1,34,
97,2,51,26,9,,,
98,2,68,6,2,,,
99,,,7,30,0,3,
100,1,95,1,7,,,
101,,,7,6,2,89,
102,,,29,13,3,100,
103,,,3,30,0,2,
104,,,19,16,2,78,
105,0,39,7,4,,,
106,,,3,6,2,89,
107,0,44,4,6,,,
108,0,41,4,4,,,
109,,,19,17,3,100,
110,3,100,3,7,,,
111,,,13,7,3,100,
112,,,17,8,3,100,
113,0,45,16,6,,,
114,,,23,7,3,100,
115,,,18,13,1,65,
116,1,73,7,6,,,
117,,,18,8,3,100,
118,1,57,8,1,,,
119,0,35,3,1,,,
120,3,100,1,9,,,
