version,2,reserved,reserved,reserved,reserved,reserved,reserved
Fulmen Morte80GQ0GRP,8CV0GU0Q,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/07,,,,,,,
1,Wryhorn,11,JQJQVL8Y,109,1,11,109
2,DarthCarlos11,11,RVQRQL2Y,108,1,11,108
3,NHHung,11,UJLUU9CR,107,,11,106
4,CactusClan,10,2PQ89PQ82,89,1,10,90
5,Sno,10,GQV9G9VV,89,1,10,89
6,Atlas,10,RJ9PJ9CC,89,1,10,89
7,Chris,10,229YCRYQV,88,1,10,88
8,SwuTangClan,10,8G9LVLP0,87,,10,87
9,Aboy,10,VQ9PUJV2,87,,10,87
10,Nato,10,2PQ9OVQOV,84,,10,87
11,ThatAmagnus,10,GPGQC89C,72,,10,74
12,Dang,10,R2RRRQ9Y,70,1,9,70
13,Czech1Czech2,9,22CP2Y828,70,1,9,70
14,Dirk N,9,8Y8V8J9C,70,1,9,70
15,corey,9,GLJRRGV9,70,1,9,70
16,Batman,9,2QU9CC8,69,1,9,70
17,Eleazar,9,C8GRJVL0,69,1,9,69
18,UTiger13,9,2OVQLGRUJ,69,1,9,69
19,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
20,Jippieh Yeah,9,YCYV88UV,69,1,9,69
21,Amagnus,9,JVQ8JPQV,69,1,9,69
22,Whooboy,9,22UOVV2JJ,69,1,9,69
23,Mr. Pizza,9,LU2L8JUV,69,1,9,69
24,Lacey Clan,9,R08YP9Q8,69,1,9,69
25,RedACE,9,GRJLGCUQ,68,1,9,69
26,Sharent,9,YGQQ89LR,68,1,9,68
27,king necto,9,V8QRQU9Y,68,1,9,68
28,Avra's Secret,9,28LYQPRG,68,1,9,68
29,ViciousVictor,9,CJP89Q2V,68,1,9,68
30,michael,9,VU2V9CLV,68,,9,66
1,,,19,21,1,88,
2,2,82,16,25,,,
3,,,16,12,3,100,
4,,,30,29,3,100,
5,,,20,21,3,100,
6,,,17,20,2,68,
7,2,90,29,30,,,
8,,,22,18,3,100,
9,,,29,30,3,100,
10,,,21,24,1,60,
11,,,25,20,3,100,
12,,,27,25,3,100,
13,,,14,13,3,100,
14,,,18,16,3,100,
15,,,17,18,2,76,
16,1,82,24,28,,,
17,,,13,14,3,100,
18,,,24,19,3,100,
19,,,21,15,2,95,
20,2,77,15,20,,,
21,,,15,16,3,100,
22,3,100,30,29,,,
23,,,19,14,3,100,
24,1,68,27,27,,,
25,3,100,15,28,,,
26,,,3,5,1,42,
27,1,69,25,16,,,
28,,,26,19,1,68,
29,,,17,13,2,59,
30,0,36,27,3,,,
31,,,28,15,3,100,
32,,,4,26,2,57,
33,3,100,25,12,,,
34,3,100,28,30,,,
35,1,54,18,20,,,
36,2,75,23,23,,,
37,,,5,26,2,59,
38,3,100,19,14,,,
39,,,17,24,2,80,
40,,,23,12,3,100,
41,2,99,23,26,,,
42,3,100,17,21,,,
43,3,100,19,23,,,
44,,,26,27,2,90,
45,,,26,28,2,90,
46,2,94,16,15,,,
47,,,17,17,2,94,
48,,,21,22,2,97,
49,,,21,27,2,99,
50,,,10,8,2,85,
51,1,64,17,22,,,
52,,,2,6,2,54,
53,,,6,28,2,60,
54,,,3,6,0,41,
55,,,7,29,1,35,
56,,,7,8,2,75,
57,2,95,18,15,,,
58,0,35,24,2,,,
59,1,50,22,15,,,
60,,,1,4,0,46,
61,2,78,26,24,,,
62,,,1,9,1,53,
63,,,26,17,3,100,
64,,,4,1,2,94,
65,,,21,23,2,54,
66,,,6,1,1,54,
67,,,3,9,1,52,
68,3,100,30,27,,,
69,3,100,5,8,,,
70,,,8,23,1,53,
71,2,99,28,26,,,
72,,,9,30,1,61,
73,1,75,26,25,,,
74,2,99,12,22,,,
75,3,100,20,15,,,
76,3,100,22,20,,,
77,1,62,14,24,,,
78,2,56,20,22,,,
79,,,1,5,1,57,
80,,,21,25,0,26,
81,3,100,21,24,,,
82,2,68,14,16,,,
83,,,3,4,1,47,
84,3,100,4,17,,,
85,2,60,6,9,,,
86,1,86,10,16,,,
87,2,85,21,26,,,
88,,,12,11,3,100,
89,3,100,10,26,,,
90,1,84,12,25,,,
91,,,8,2,3,100,
92,3,100,4,18,,,
93,,,11,10,2,83,
94,1,50,9,2,,,
95,,,17,22,2,69,
96,3,100,2,10,,,
97,,,17,11,3,100,
98,3,100,6,16,,,
99,3,100,11,22,,,
100,2,89,7,11,,,
101,2,55,8,1,,,
102,,,10,7,3,100,
103,2,82,2,9,,,
104,2,99,1,6,,,
105,2,97,3,5,,,
106,3,100,5,13,,,
107,,,4,3,3,100,
108,,,21,10,3,100,
109,,,9,2,3,100,
110,1,95,7,19,,,
111,1,42,29,7,,,
112,,,11,7,2,99,
113,3,100,9,19,,,
114,2,60,13,4,,,
115,2,96,8,11,,,
116,2,55,3,2,,,
117,2,61,1,3,,,
118,2,71,11,25,,,
119,,,3,3,2,66,
120,2,65,13,7,,,
