version,2,reserved,reserved,reserved,reserved,reserved,reserved
Rising Indians,2VYYRU0V,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/11,,,,,,,
1,DarthCarlos11,11,RVQRQL2Y,108,1,11,108
2,NHHung,11,UJLUU9CR,107,,11,107
3,Darth Carlos,10,VJG8CCUG,89,1,10,88
4,Chris,10,229YCRYQV,89,1,10,88
5,SwuTangClan,10,8G9LVLP0,87,1,10,87
6,Aboy,10,VQ9PUJV2,87,,10,86
7,nato,10,2PQ9OVQOV,84,,10,85
8,ThatAmagnus,10,GPGQC89C,85,,10,85
9,Czech1Czech2,9,22CP2Y828,70,1,9,70
10,Slim Shady,9,202VRUP9G,70,1,9,70
11,Dirk N,9,8Y8V8J9C,70,1,9,70
12,corey,9,GLJRRGV9,70,1,9,70
13,Batman,9,2QU9CC8,69,1,9,69
14,UTiger13,9,2OVQLGRUJ,69,1,9,69
15,Eleazar,9,C8GRJVL0,69,1,9,69
16,Ohio-Legend-216,9,29QLGYC9Q,69,1,9,69
17,Jippieh Yeah,9,YCYV88UV,69,1,9,69
18,Amagnus,9,JVQ8JPQV,69,1,9,69
19,Mr. Pizza,9,LU2L8JUV,69,1,9,69
20,Whooboy,9,22UOVV2JJ,69,1,9,69
21,Dada 1974,9,GQ0JCQJQ,69,1,9,69
22,RedACE,9,GRJLGCUQ,68,1,9,69
23,sharent,9,YGQQ89LR,68,1,9,69
24,Michael,9,VU2V9CLV,68,1,9,69
25,RealSide,9,2000CJ8,67,1,9,69
26,Swu2,9,ULYCYCRR,66,1,9,68
27,Aleister Crowle,9,Q9922RUU,66,1,9,68
28,Joe,9,LG9GQQJ8,66,1,9,68
29,Poz,9,PPRYLOUY,66,1,9,68
30,okbit,9,G8UY09QQ,65,1,9,68
1,2,68,10,11,,,
2,3,100,13,9,,,
3,3,100,16,23,,,
4,3,100,16,14,,,
5,1,73,26,30,,,
6,2,86,19,16,,,
7,1,65,19,26,,,
8,,,9,26,3,100,
9,2,90,21,27,,,
10,,,21,21,3,100,
11,,,19,28,3,100,
12,,,17,26,2,82,
13,,,1,5,1,46,
14,3,100,30,28,,,
15,2,56,26,5,,,
16,,,14,13,2,86,
17,,,18,21,1,82,
18,,,22,25,2,57,
19,,,23,27,2,56,
20,1,55,11,21,,,
21,3,100,29,30,,,
22,,,11,13,2,97,
23,,,15,12,2,72,
24,,,11,9,2,98,
25,,,26,25,1,68,
26,,,14,24,3,100,
27,3,100,11,20,,,
28,,,15,16,2,97,
29,,,27,27,2,83,
30,,,29,24,2,58,
31,2,56,30,8,,,
32,,,10,12,2,75,
33,,,16,23,3,100,
34,,,22,15,3,100,
35,1,49,27,7,,,
36,2,85,22,12,,,
37,,,13,20,2,85,
38,2,78,23,17,,,
39,,,30,30,3,100,
40,2,71,24,3,,,
41,,,18,18,2,98,
42,,,28,29,3,100,
43,,,20,20,2,98,
44,2,67,27,6,,,
45,,,23,9,2,86,
46,,,23,22,2,91,
47,,,27,29,3,100,
48,,,26,30,3,100,
49,,,2,5,2,52,
50,,,3,17,2,71,
51,,,24,14,3,100,
52,,,29,28,3,100,
53,1,88,17,16,,,
54,,,1,7,2,52,
55,2,55,3,2,,,
56,,,10,16,2,81,
57,3,100,15,29,,,
58,,,12,22,1,81,
59,2,76,21,10,,,
60,,,20,23,3,100,
61,,,25,18,2,94,
62,2,94,15,27,,,
63,2,69,23,25,,,
64,2,62,3,1,,,
65,2,94,14,12,,,
66,2,91,13,16,,,
67,1,91,20,21,,,
68,2,95,24,24,,,
69,,,12,14,3,100,
70,2,71,14,22,,,
71,,,18,11,2,86,
72,3,100,7,19,,,
73,,,11,19,2,69,
74,3,100,12,21,,,
75,,,15,17,2,97,
76,,,23,11,3,100,
77,3,100,20,24,,,
78,,,18,15,0,45,
79,2,74,5,8,,,
80,,,15,10,2,93,
81,3,100,7,18,,,
82,3,100,12,26,,,
83,,,10,6,3,100,
84,2,95,22,10,,,
85,1,91,28,25,,,
86,,,25,7,3,100,
87,2,57,25,4,,,
88,,,4,10,2,53,
89,2,93,18,17,,,
90,3,100,18,12,,,
91,,,18,19,2,99,
92,1,63,28,16,,,
93,3,100,2,6,,,
94,,,7,3,2,85,
95,2,99,9,17,,,
96,,,5,1,3,100,
97,2,54,1,5,,,
98,2,93,10,17,,,
99,3,100,6,11,,,
100,,,18,6,3,100,
101,,,15,4,2,72,
102,3,100,4,10,,,
103,2,99,25,27,,,
104,3,100,8,15,,,
105,,,8,1,3,100,
106,,,11,3,3,100,
107,,,7,2,3,100,
108,2,58,9,16,,,
109,2,86,29,27,,,
110,3,100,6,13,,,
111,3,100,8,25,,,
112,3,100,17,27,,,
113,3,100,4,16,,,
114,3,100,2,7,,,
115,,,17,8,3,100,
116,3,100,1,17,,,
117,,,13,4,3,100,
118,,,6,2,2,84,
119,,,15,8,3,100,
120,1,64,5,5,,,
