version,2,reserved,reserved,reserved,reserved,reserved,reserved
True Spartans,P99GGQU,,JTJ,2R9RCV9V,,S7,
30,,,,,,,
2016/12/13,,,,,,,
1,Wryhorn,11,JQJQVL8Y,109,1,11,109
2,DarthCarlos11,11,RVQRQL2Y,108,1,11,108
3,NHHung,11,UJLUU9CR,107,,11,106
4,MGK,11,2UUG9VG9,102,,11,106
5,Space12345,10,8002Y989,89,,11,91
6,CactusClan,10,2PQ89PQ82,89,1,10,90
7,Darth Carlos,10,VJG8CCUG,89,1,10,89
8,Chris,10,229YCRYQV,89,1,10,88
9,SwuTangClan,10,8G9LVLP0,87,1,10,88
10,Aboy,10,VQ9PUJV2,87,1,10,88
11,ThatAmagnus,10,GPGQC89C,85,,10,83
12,Dang,10,R2RRRQ9Y,70,1,9,70
13,Czech1Czech2,9,22CP2Y828,70,1,9,69
14,Dirk N,9,8Y8V8J9C,70,1,9,69
15,Corey,9,GLJRRGV9,70,1,9,69
16,Chop Chef Jr,9,82U9J8C,70,1,9,68
17,Batman,9,2QU9CC8,69,1,9,68
18,UTiger13,9,2OVQLGRUJ,69,1,9,68
19,Eleazar,9,C8GRJVL0,69,,9,67
20,Ohio-Legend-216,9,29QLGYC9Q,69,,9,67
21,Jippieh Yeah,9,YCYV88UV,69,,9,67
22,Amagnus,9,JVQ8JPQV,69,,9,66
23,Lacey Clan,9,R08YP9Q8,69,,9,65
24,Dada 1974,9,GQ0JCQJQ,69,,9,65
25,RedACE,9,GRJLGCUQ,69,,10,64
26,sharent,9,YGQQ89LR,68,,9,64
27,king necto,9,V8QRQU9Y,68,,9,61
28,michael,9,VU2V9CLV,68,,9,58
29,Swu2,9,ULYCYCRR,66,,9,55
30,Aleister Crowle,9,Q9922RUU,66,,11,38
1,,,29,27,2,72,
2,,,16,14,3,100,
3,,,29,26,2,82,
4,,,30,27,2,85,
5,3,100,29,30,,,
6,,,15,13,1,84,
7,,,22,22,2,76,
8,,,29,25,2,68,
9,,,7,3,3,100,
10,,,30,26,3,100,
11,,,25,28,1,70,
12,,,28,25,3,100,
13,,,24,20,2,85,
14,,,29,23,3,100,
15,3,100,23,29,,,
16,,,27,22,2,93,
17,,,26,28,1,41,
18,,,18,29,0,38,
19,3,100,22,18,,,
20,3,100,29,27,,,
21,3,100,23,28,,,
22,,,24,18,3,100,
23,2,62,14,13,,,
24,3,100,27,26,,,
25,,,20,13,1,77,
26,1,77,4,5,,,
27,,,26,15,2,53,
28,,,12,9,2,77,
29,,,21,29,0,38,
30,2,55,18,21,,,
31,,,27,24,2,83,
32,1,58,25,17,,,
33,,,22,18,2,89,
34,1,63,14,21,,,
35,3,100,20,15,,,
36,,,27,19,1,54,
37,,,23,16,1,69,
38,2,61,25,19,,,
39,,,25,16,1,72,
40,,,14,11,3,100,
41,,,5,3,3,100,
42,,,4,4,3,100,
43,,,17,10,2,73,
44,3,100,19,25,,,
45,3,100,28,25,,,
46,3,100,20,14,,,
47,1,77,17,12,,,
48,2,82,17,17,,,
49,3,100,26,23,,,
50,3,100,21,17,,,
51,3,100,19,16,,,
52,3,100,24,22,,,
53,,,13,5,3,100,
54,1,86,28,21,,,
55,1,68,15,12,,,
56,,,18,17,2,50,
57,3,100,26,20,,,
58,2,99,24,19,,,
59,,,26,19,1,32,
60,3,100,15,21,,,
61,1,64,18,12,,,
62,,,26,21,2,69,
63,,,25,23,2,65,
64,,,26,24,2,69,
65,3,100,16,13,,,
66,,,26,12,3,100,
67,1,89,21,19,,,
68,,,19,10,2,93,
69,3,100,16,19,,,
70,,,21,21,2,99,
71,,,15,7,0,7,
72,,,23,20,2,78,
73,,,17,7,3,100,
74,0,37,22,1,,,
75,2,99,12,12,,,
76,,,15,8,3,100,
77,0,31,30,2,,,
78,2,50,11,1,,,
79,2,62,12,4,,,
80,2,84,2,8,,,
81,,,18,8,3,100,
82,,,19,11,2,99,
83,,,20,17,2,67,
84,1,66,8,9,,,
85,2,76,2,9,,,
86,0,37,30,6,,,
87,1,35,27,3,,,
88,,,23,12,2,85,
89,1,44,7,5,,,
90,,,2,6,2,60,
91,1,52,6,2,,,
92,2,60,9,2,,,
93,2,54,7,3,,,
94,2,76,5,7,,,
95,3,100,11,12,,,
96,,,20,14,2,93,
97,,,6,30,1,67,
98,,,11,30,2,95,
99,3,100,1,9,,,
100,,,3,1,1,47,
101,3,100,4,8,,,
102,2,87,3,7,,,
103,,,20,6,3,100,
104,2,81,5,10,,,
105,1,84,8,11,,,
106,,,25,15,3,100,
107,2,78,13,11,,,
108,1,48,6,5,,,
109,3,100,3,6,,,
110,2,71,10,11,,,
111,2,64,13,6,,,
112,,,1,1,2,52,
113,2,53,9,5,,,
114,,,10,9,2,74,
115,2,91,10,10,,,
116,,,6,4,2,75,
117,,,8,2,3,100,
118,3,100,1,11,,,
119,,,9,2,3,100,
